ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
AAPL,2005-01-03,64.78,65.11,62.6,63.29,12357000,0.9695781984,0.9745173896,0.9369496021,0.9472770018,691992691,0.0,1.0,0.9472770018,0.9369496021,0.9745173896
AAPL,2005-01-04,63.8,65.47,62.97,63.94,19585900,0.9549102973,0.9799055982,0.9424874831,0.9570057118,1096811496,0.0,1.0,0.9570057118,0.9424874831,0.9799055982
AAPL,2005-01-05,64.47,65.25,64.05,64.5,12150600,0.9649383522,0.9766128041,0.9586521088,0.9653873696,680434280,0.0,1.0,0.9653873696,0.9586521088,0.9766128041
AAPL,2005-01-06,64.685,64.91,63.33,64.55,12599200,0.9681563101,0.9715239404,0.9478756917,0.9661357319,705555905,0.0,1.0,0.9661357319,0.9478756917,0.9715239404
AAPL,2005-01-07,65.0,69.63,64.75,69.25,39775900,0.9728709926,1.0421693417,0.9691291811,1.0364817882,2227452627,0.0,1.0,1.0364817882,0.9691291811,1.0421693417
AAPL,2005-01-10,69.9,70.7,67.88,68.96,30809100,1.0462104982,1.058184295,1.0159766612,1.0321412869,1725311325,0.0,1.0,1.0321412869,1.0159766612,1.058184295
AAPL,2005-01-11,68.26,69.15,64.14,64.56,46636200,1.0216642147,1.0349850636,0.959999161,0.9662854043,2611629811,0.0,1.0,0.9662854043,0.959999161,1.0349850636
AAPL,2005-01-12,65.35,65.9,63.3,65.46,34280400,0.9781095287,0.986341514,0.9474266743,0.9797559258,1919704319,0.0,1.0,0.9797559258,0.9474266743,0.986341514
AAPL,2005-01-13,73.65,74.42,69.73,69.8,56512800,1.1023376708,1.1138624503,1.0436660663,1.0447137736,3164719964,0.0,1.0,1.0447137736,1.0436660663,1.1138624503
AAPL,2005-01-14,70.24,71.72,69.19,70.2,31620400,1.0512993618,1.073450886,1.0355837535,1.050700672,1770744170,0.0,1.0,1.050700672,1.0355837535,1.073450886
AAPL,2005-01-18,69.74,70.7,69.21,70.65,17972500,1.0438157388,1.058184295,1.0358830984,1.0574359327,1006461006,0.0,1.0,1.0574359327,1.0358830984,1.058184295
AAPL,2005-01-19,70.6,71.46,69.75,69.88,13426700,1.0566875704,1.069559402,1.0439654113,1.0459111533,751895951,0.0,1.0,1.0459111533,1.0439654113,1.069559402
