ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ABNB,2020-12-10,146.0,165.0,141.25,144.71,70447537,146.0,165.0,141.25,144.71,70447537,0.0,1.0,144.71,141.25,165.0
ABNB,2020-12-11,146.55,151.5,135.1,139.25,26980830,146.55,151.5,135.1,139.25,26980830,0.0,1.0,139.25,135.1,151.5
ABNB,2020-12-14,135.0,135.3,125.1601,130.0,16966089,135.0,135.3,125.1601,130.0,16966089,0.0,1.0,130.0,125.1601,135.3
ABNB,2020-12-15,126.69,127.6,121.5,124.8,10914432,126.69,127.6,121.5,124.8,10914432,0.0,1.0,124.8,121.5,127.6
ABNB,2020-12-16,125.83,142.0,124.91,137.99,20409551,125.83,142.0,124.91,137.99,20409551,0.0,1.0,137.99,124.91,142.0
ABNB,2020-12-17,143.0,152.4499,142.67,147.05,15054725,143.0,152.4499,142.67,147.05,15054725,0.0,1.0,147.05,142.67,152.4499
ABNB,2020-12-18,150.4497,159.0,150.3,157.3,15954235,150.4497,159.0,150.3,157.3,15954235,0.0,1.0,157.3,150.3,159.0
ABNB,2020-12-21,155.31,172.0,145.11,163.02,17788120,155.31,172.0,145.11,163.02,17788120,0.0,1.0,163.02,145.11,172.0
ABNB,2020-12-22,170.0,174.97,161.05,163.19,9886633,170.0,174.97,161.05,163.19,9886633,0.0,1.0,163.19,161.05,174.97
ABNB,2020-12-23,162.8137,168.25,155.5,158.01,5852486,162.8137,168.25,155.5,158.01,5852486,0.0,1.0,158.01,155.5,168.25
ABNB,2020-12-24,159.16,162.79,154.1124,154.84,3621360,159.16,162.79,154.1124,154.84,3621360,0.0,1.0,154.84,154.1124,162.79
ABNB,2020-12-28,158.6,163.64,147.52,149.0,6205197,158.6,163.64,147.52,149.0,6205197,0.0,1.0,149.0,147.52,163.64
ABNB,2020-12-29,150.0,151.6511,143.12,150.0,5402266,150.0,151.6511,143.12,150.0,5402266,0.0,1.0,150.0,143.12,151.6511
ABNB,2020-12-30,151.34,152.813,145.6,148.43,3462445,151.34,152.813,145.6,148.43,3462445,0.0,1.0,148.43,145.6,152.813
ABNB,2020-12-31,146.9,147.89,144.51,146.8,2795813,146.9,147.89,144.51,146.8,2795813,0.0,1.0,146.8,144.51,147.89
ABNB,2021-01-04,150.99,151.005,137.0,139.15,6409884,150.99,151.005,137.0,139.15,6409884,0.0,1.0,139.15,137.0,151.005
