ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
AMZN,2005-01-03,44.95,45.44,44.21,44.52,10446500,2.2475,2.272,2.2105,2.226,208930000,0.0,1.0,2.226,2.2105,2.272
AMZN,2005-01-04,42.62,43.26,41.5,42.14,19418500,2.131,2.163,2.075,2.107,388370000,0.0,1.0,2.107,2.075,2.163
AMZN,2005-01-05,41.57,42.76,41.56,41.77,8354200,2.0785,2.138,2.078,2.0885,167084000,0.0,1.0,2.0885,2.078,2.138
AMZN,2005-01-06,41.81,42.25,40.9,41.05,8700900,2.0905,2.1125,2.045,2.0525,174018000,0.0,1.0,2.0525,2.045,2.1125
AMZN,2005-01-07,41.33,42.69,41.16,42.32,9836600,2.0665,2.1345,2.058,2.116,196732000,0.0,1.0,2.116,2.058,2.1345
AMZN,2005-01-10,42.05,42.96,41.71,41.84,7347900,2.1025,2.148,2.0855,2.092,146958000,0.0,1.0,2.092,2.0855,2.148
AMZN,2005-01-11,41.4,42.16,41.01,41.64,7920300,2.07,2.108,2.0505,2.082,158406000,0.0,1.0,2.082,2.0505,2.108
AMZN,2005-01-12,41.49,42.48,40.82,42.3,8072300,2.0745,2.124,2.041,2.115,161446000,0.0,1.0,2.115,2.041,2.124
AMZN,2005-01-13,42.45,44.58,42.34,42.6,17393600,2.1225,2.229,2.117,2.13,347872000,0.0,1.0,2.13,2.117,2.229
AMZN,2005-01-14,42.9,44.66,42.36,44.55,12533000,2.145,2.233,2.118,2.2275,250660000,0.0,1.0,2.2275,2.118,2.233
AMZN,2005-01-18,44.24,45.0,44.15,44.58,7131600,2.212,2.25,2.2075,2.229,142632000,0.0,1.0,2.229,2.2075,2.25
AMZN,2005-01-19,44.44,44.74,43.43,43.96,7396700,2.222,2.237,2.1715,2.198,147934000,0.0,1.0,2.198,2.1715,2.237
AMZN,2005-01-20,41.69,42.68,41.64,42.36,12830600,2.0845,2.134,2.082,2.118,256612000,0.0,1.0,2.118,2.082,2.134
