ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ARKK,2014-10-31,20.42,20.42,20.38,20.38,2661,18.4684000874,18.4684000874,18.4322230059,18.4322230059,2661,0.0,1.0,18.4322230059,18.4322230059,18.4684000874
ARKK,2014-11-03,20.49,20.49,20.35,20.38,2270,18.5317099799,18.5317099799,18.4050901948,18.4322230059,2270,0.0,1.0,18.4322230059,18.4050901948,18.5317099799
ARKK,2014-11-04,20.2,20.27,20.2,20.26,7893,18.2694261393,18.3327360319,18.2694261393,18.3236917615,7893,0.0,1.0,18.3236917615,18.2694261393,18.3327360319
ARKK,2014-11-05,20.51,20.51,20.0,20.0,14913,18.5497985207,18.5497985207,18.088540732,18.088540732,14913,0.0,1.0,18.088540732,18.088540732,18.5497985207
ARKK,2014-11-06,20.09,20.14,20.07,20.14,2000,18.1699391653,18.2151605171,18.1518506246,18.2151605171,2000,0.0,1.0,18.2151605171,18.1518506246,18.2151605171
ARKK,2014-11-07,20.15,20.15,20.08,20.12,1450,18.2242047875,18.2242047875,18.1608948949,18.1970719764,1450,0.0,1.0,18.1970719764,18.1608948949,18.2242047875
ARKK,2014-11-10,20.16,20.3,20.16,20.3,3870,18.2332490579,18.359868843,18.2332490579,18.359868843,3870,0.0,1.0,18.359868843,18.2332490579,18.359868843
ARKK,2014-11-11,20.69,20.69,20.2337,20.29,2850,18.7125953873,18.7125953873,18.2999053305,18.3508245726,2850,0.0,1.0,18.3508245726,18.2999053305,18.7125953873
ARKK,2014-11-12,20.26,20.36,20.24,20.36,2300,18.3236917615,18.4141344652,18.3056032208,18.4141344652,2300,0.0,1.0,18.4141344652,18.3056032208,18.4141344652
ARKK,2014-11-13,20.4,20.42,20.3,20.34,11867,18.4503115466,18.4684000874,18.359868843,18.3960459244,11867,0.0,1.0,18.3960459244,18.359868843,18.4684000874
ARKK,2014-11-14,20.42,20.44,20.42,20.44,1314,18.4684000874,18.4864886281,18.4684000874,18.4864886281,1314,0.0,1.0,18.4864886281,18.4684000874,18.4864886281
ARKK,2014-11-17,20.59,20.59,20.36,20.41,3414,18.6221526836,18.6221526836,18.4141344652,18.459355817,3414,0.0,1.0,18.459355817,18.4141344652,18.6221526836
ARKK,2014-11-18,20.6,20.6,20.6,20.6,1000,18.631196954,18.631196954,18.631196954,18.631196954,1000,0.0,1.0,18.631196954,18.631196954,18.631196954
ARKK,2014-11-19,20.29,20.29,20.29,20.29,1060,18.3508245726,18.3508245726,18.3508245726,18.3508245726,1060,0.0,1.0,18.3508245726,18.3508245726,18.3508245726
ARKK,2014-11-20,20.12,20.28,20.1,20.28,1250,18.1970719764,18.3417803023,18.1789834357,18.3417803023,1250,0.0,1.0,18.3417803023,18.1789834357,18.3417803023
ARKK,2014-11-21,20.37,20.37,20.358,20.36,1297,18.4231787355,18.4231787355,18.4123256111,18.4141344652,1297,0.0,1.0,18.4141344652,18.4123256111,18.4231787355
ARKK,2014-11-24,20.35,20.49,20.35,20.49,1953,18.4050901948,18.5317099799,18.4050901948,18.5317099799,1953,0.0,1.0,18.5317099799,18.4050901948,18.5317099799
ARKK,2014-11-25,20.52,20.52,20.52,20.52,597,18.558842791,18.558842791,18.558842791,18.558842791,597,0.0,1.0,18.558842791,18.558842791,18.558842791
ARKK,2014-11-26,20.53,20.56,20.53,20.56,900,18.5678870614,18.5950198725,18.5678870614,18.5950198725,900,0.0,1.0,18.5950198725,18.5678870614,18.5950198725
ARKK,2014-11-28,20.54,20.65,20.53,20.59,1500,18.5769313318,18.6764183058,18.5678870614,18.6221526836,1500,0.0,1.0,18.6221526836,18.5678870614,18.6764183058
ARKK,2014-12-01,20.27,20.27,20.27,20.27,550,18.3327360319,18.3327360319,18.3327360319,18.3327360319,550,0.0,1.0,18.3327360319,18.3327360319,18.3327360319
ARKK,2014-12-02,20.05,20.05,20.05,20.05,850,18.1337620838,18.1337620838,18.1337620838,18.1337620838,850,0.0,1.0,18.1337620838,18.1337620838,18.1337620838
ARKK,2014-12-03,20.09,20.09,20.09,20.09,600,18.1699391653,18.1699391653,18.1699391653,18.1699391653,600,0.0,1.0,18.1699391653,18.1699391653,18.1699391653
ARKK,2014-12-04,20.13,20.18,20.04,20.06,1903,18.2061162468,18.2513375986,18.1247178135,18.1428063542,1903,0.0,1.0,18.1428063542,18.1247178135,18.2513375986
ARKK,2014-12-05,20.19,20.19,20.1,20.11,7392,18.260381869,18.260381869,18.1789834357,18.188027706,7392,0.0,1.0,18.188027706,18.1789834357,18.260381869
