ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ASML,2005-01-03,16.07,16.16,15.68,15.73,2153766,8.5326127366,8.5803996157,8.3255362608,8.3520845269,2068740,0.0,1.0,8.3520845269,8.3255362608,8.5803996157
ASML,2005-01-04,15.69,15.74,15.1,15.21,2729351,8.330845914,8.3573941801,8.0175763736,8.0759825591,2621603,0.0,1.0,8.0759825591,8.0175763736,8.3573941801
ASML,2005-01-05,15.09,15.18,14.94,14.99,3013377,8.0122667203,8.0600535994,7.9326219219,7.9591701881,2894416,0.0,1.0,7.9591701881,7.9326219219,8.0600535994
ASML,2005-01-06,14.88,14.95,14.71,14.75,2860260,7.9007640026,7.9379315752,7.8104998977,7.8317385106,2747344,0.0,1.0,7.8317385106,7.8104998977,7.9379315752
ASML,2005-01-07,14.79,14.87,14.48,14.62,2540260,7.8529771235,7.8954543493,7.6883778735,7.7627130187,2439976,0.0,1.0,7.7627130187,7.6883778735,7.8954543493
ASML,2005-01-10,14.62,15.11,14.56,14.87,3375714,7.7627130187,8.0228860268,7.7308550993,7.8954543493,3242449,0.0,1.0,7.8954543493,7.7308550993,8.0228860268
ASML,2005-01-11,14.74,14.85,14.45,14.48,3834805,7.8264288574,7.8848350429,7.6724489138,7.6883778735,3683416,0.0,1.0,7.6883778735,7.6724489138,7.8848350429
ASML,2005-01-12,15.16,15.32,14.99,15.27,6078312,8.0494342929,8.1343887446,7.9591701881,8.1078404784,5838355,0.0,1.0,8.1078404784,7.9591701881,8.1343887446
ASML,2005-01-13,15.24,15.27,15.02,15.06,2095065,8.0919115188,8.1078404784,7.9750991478,7.9963377607,2012357,0.0,1.0,7.9963377607,7.9750991478,8.1078404784
ASML,2005-01-14,15.19,15.49,15.17,15.45,4877792,8.0653632526,8.2246528494,8.0547439462,8.2034142365,4685229,0.0,1.0,8.2034142365,8.0547439462,8.2246528494
ASML,2005-01-18,15.23,15.48,15.17,15.195,4642078,8.0866018655,8.2193431962,8.0547439462,8.0680180792,4458820,0.0,1.0,8.0680180792,8.0547439462,8.2193431962
ASML,2005-01-19,15.26,15.29,14.73,14.8,6169351,8.1025308252,8.1184597849,7.8211192042,7.8582867767,5925800,0.0,1.0,7.8582867767,7.8211192042,8.1184597849
ASML,2005-01-20,14.65,14.98,14.61,14.71,4052987,7.7786419783,7.9538605348,7.7574033654,7.8104998977,3892985,0.0,1.0,7.8104998977,7.7574033654,7.9538605348
ASML,2005-01-21,14.87,15.01,14.81,14.94,3540909,7.8954543493,7.9697894945,7.86359643,7.9326219219,3401122,0.0,1.0,7.9326219219,7.86359643,7.9697894945
ASML,2005-01-24,14.96,15.04,14.7,14.71,2788312,7.9432412284,7.9857184542,7.8051902445,7.8104998977,2678236,0.0,1.0,7.8104998977,7.8051902445,7.9857184542
ASML,2005-01-25,14.87,15.09,14.85,14.98,1785325,7.8954543493,8.0122667203,7.8848350429,7.9538605348,1714844,0.0,1.0,7.9538605348,7.8848350429,8.0122667203
ASML,2005-01-26,15.11,15.23,14.98,15.15,2585325,8.0228860268,8.0866018655,7.9538605348,8.0441246397,2483262,0.0,1.0,8.0441246397,7.9538605348,8.0866018655
ASML,2005-01-27,15.67,16.04,15.56,15.99,4804805,8.3202266075,8.516683777,8.261820422,8.4901355108,4615123,0.0,1.0,8.4901355108,8.261820422,8.516683777
ASML,2005-01-28,16.14,16.18,15.74,15.97,2280000,8.5697803092,8.5910189221,8.3573941801,8.4795162044,2189991,0.0,1.0,8.4795162044,8.3573941801,8.5910189221
ASML,2005-01-31,16.14,16.49,16.11,16.43,4615065,8.5697803092,8.7556181722,8.5538513496,8.7237602528,4432873,0.0,1.0,8.7237602528,8.5538513496,8.7556181722
ASML,2005-02-01,16.35,16.5,16.22,16.46,2614026,8.681283027,8.7609278254,8.6122575351,8.7396892125,2510830,0.0,1.0,8.7396892125,8.6122575351,8.7609278254
ASML,2005-02-02,16.49,16.7,16.45,16.54,4454026,8.7556181722,8.86712089,8.7343795593,8.7821664383,4278192,0.0,1.0,8.7821664383,8.7343795593,8.86712089
ASML,2005-02-03,16.22,16.26,16.04,16.18,2138312,8.6122575351,8.633496148,8.516683777,8.5910189221,2053896,0.0,1.0,8.5910189221,8.516683777,8.633496148
ASML,2005-02-04,16.18,16.9,16.18,16.84,3494026,8.5910189221,8.9733139545,8.5910189221,8.9414560352,3356090,0.0,1.0,8.9414560352,8.5910189221,8.9733139545
ASML,2005-02-07,16.81,16.89,16.67,16.69,3004026,8.9255270755,8.9680043013,8.8511919303,8.8618112368,2885434,0.0,1.0,8.8618112368,8.8511919303,8.9680043013
ASML,2005-02-08,16.47,16.85,16.46,16.82,4488831,8.7449988657,8.9467656884,8.7396892125,8.9308367287,4311623,0.0,1.0,8.9308367287,8.7396892125,8.9467656884
ASML,2005-02-09,16.64,16.7,16.47,16.54,2725195,8.8352629706,8.86712089,8.7449988657,8.7821664383,2617611,0.0,1.0,8.7821664383,8.7449988657,8.86712089
ASML,2005-02-10,16.68,16.82,16.54,16.67,2498182,8.8565015835,8.9308367287,8.7821664383,8.8511919303,2399560,0.0,1.0,8.8511919303,8.7821664383,8.9308367287
ASML,2005-02-11,16.65,17.47,16.62,17.34,6745195,8.8405726238,9.2759641885,8.8246436642,9.2069386965,6478911,0.0,1.0,9.2069386965,8.8246436642,9.2759641885
ASML,2005-02-14,17.75,17.9,17.72,17.78,5970260,9.4246344789,9.5042792773,9.4087055192,9.4405634386,5734569,0.0,1.0,9.4405634386,9.4087055192,9.5042792773
ASML,2005-02-15,17.75,18.06,17.68,17.86,4041429,9.4246344789,9.5892337289,9.3874669063,9.4830406644,3881883,0.0,1.0,9.4830406644,9.3874669063,9.5892337289
ASML,2005-02-16,17.63,17.73,17.5,17.68,3085195,9.3609186401,9.4140151724,9.2918931482,9.3874669063,2963399,0.0,1.0,9.3874669063,9.2918931482,9.4140151724
ASML,2005-02-17,17.93,17.98,17.54,17.65,2353247,9.520208237,9.5467565031,9.3131317611,9.3715379466,2260346,0.0,1.0,9.3715379466,9.3131317611,9.5467565031
ASML,2005-02-18,17.64,17.85,17.56,17.71,1478571,9.3662282934,9.4777310111,9.3237510675,9.403395866,1420200,0.0,1.0,9.403395866,9.3237510675,9.4777310111
ASML,2005-02-22,17.76,18.35,17.71,17.96,5379221,9.4299441321,9.7432136725,9.403395866,9.5361371966,5166862,0.0,1.0,9.5361371966,9.403395866,9.7432136725
ASML,2005-02-23,18.47,18.49,17.96,18.15,6974675,9.8069295113,9.8175488177,9.5361371966,9.637020608,6699332,0.0,1.0,9.637020608,9.5361371966,9.8175488177
