ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ASTS,2019-11-01,9.77,9.77,9.77,9.77,300000,9.77,9.77,9.77,9.77,300000,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-04,9.77,9.77,9.77,9.77,11,9.77,9.77,9.77,9.77,11,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-05,9.77,9.77,9.77,9.77,11,9.77,9.77,9.77,9.77,11,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-06,9.78,9.78,9.77,9.77,161191,9.78,9.78,9.77,9.77,161191,0.0,1.0,9.77,9.77,9.78
ASTS,2019-11-07,9.77,9.77,9.77,9.77,0,9.77,9.77,9.77,9.77,0,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-08,9.77,9.77,9.77,9.77,0,9.77,9.77,9.77,9.77,0,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-11,9.77,9.77,9.77,9.77,0,9.77,9.77,9.77,9.77,0,0.0,1.0,9.77,9.77,9.77
ASTS,2019-11-12,9.78,9.78,9.78,9.78,1000,9.78,9.78,9.78,9.78,1000,0.0,1.0,9.78,9.78,9.78
ASTS,2019-11-13,9.78,9.79,9.78,9.78,393001,9.78,9.79,9.78,9.78,393001,0.0,1.0,9.78,9.78,9.79
ASTS,2019-11-14,10.125,10.125,10.125,10.125,0,10.125,10.125,10.125,10.125,0,0.0,1.0,10.125,10.125,10.125
ASTS,2019-11-15,10.14,10.14,10.14,10.14,500,10.14,10.14,10.14,10.14,500,0.0,1.0,10.14,10.14,10.14
ASTS,2019-11-18,10.15,10.16,10.14,10.16,312600,10.15,10.16,10.14,10.16,312600,0.0,1.0,10.16,10.14,10.16
ASTS,2019-11-19,9.79,9.82,9.79,9.8,532701,9.79,9.82,9.79,9.8,532701,0.0,1.0,9.8,9.79,9.82
ASTS,2019-11-20,9.82,9.82,9.82,9.82,100,9.82,9.82,9.82,9.82,100,0.0,1.0,9.82,9.82,9.82
ASTS,2019-11-21,9.82,9.83,9.82,9.83,523500,9.82,9.83,9.82,9.83,523500,0.0,1.0,9.83,9.82,9.83
ASTS,2019-11-22,9.85,9.85,9.83,9.83,248797,9.85,9.85,9.83,9.83,248797,0.0,1.0,9.83,9.83,9.85
ASTS,2019-11-25,9.84,9.84,9.8297,9.8297,882,9.84,9.84,9.8297,9.8297,882,0.0,1.0,9.8297,9.8297,9.84
ASTS,2019-11-26,9.83,9.83,9.83,9.83,3608,9.83,9.83,9.83,9.83,3608,0.0,1.0,9.83,9.83,9.83
ASTS,2019-11-27,9.83,9.83,9.83,9.83,4,9.83,9.83,9.83,9.83,4,0.0,1.0,9.83,9.83,9.83
ASTS,2019-11-29,9.81,9.8184,9.81,9.8184,60882,9.81,9.8184,9.81,9.8184,60882,0.0,1.0,9.8184,9.81,9.8184
ASTS,2019-12-02,9.82,9.84,9.82,9.83,6500,9.82,9.84,9.82,9.83,6500,0.0,1.0,9.83,9.82,9.84
ASTS,2019-12-03,9.83,9.83,9.83,9.83,0,9.83,9.83,9.83,9.83,0,0.0,1.0,9.83,9.83,9.83
ASTS,2019-12-04,9.83,9.9,9.83,9.85,316000,9.83,9.9,9.83,9.85,316000,0.0,1.0,9.85,9.83,9.9
ASTS,2019-12-05,9.85,9.85,9.85,9.85,45,9.85,9.85,9.85,9.85,45,0.0,1.0,9.85,9.85,9.85
ASTS,2019-12-06,9.8499,9.8499,9.8499,9.8499,450,9.8499,9.8499,9.8499,9.8499,450,0.0,1.0,9.8499,9.8499,9.8499
ASTS,2019-12-09,9.83,9.83,9.83,9.83,31796,9.83,9.83,9.83,9.83,31796,0.0,1.0,9.83,9.83,9.83
ASTS,2019-12-10,9.83,9.83,9.83,9.83,109200,9.83,9.83,9.83,9.83,109200,0.0,1.0,9.83,9.83,9.83
ASTS,2019-12-11,9.83,9.83,9.83,9.83,18,9.83,9.83,9.83,9.83,18,0.0,1.0,9.83,9.83,9.83
ASTS,2019-12-12,9.83,9.84,9.83,9.84,155182,9.83,9.84,9.83,9.84,155182,0.0,1.0,9.84,9.83,9.84
ASTS,2019-12-13,9.84,9.84,9.84,9.84,10,9.84,9.84,9.84,9.84,10,0.0,1.0,9.84,9.84,9.84
ASTS,2019-12-16,9.85,9.85,9.85,9.85,4448,9.85,9.85,9.85,9.85,4448,0.0,1.0,9.85,9.85,9.85
ASTS,2019-12-17,9.85,9.87,9.85,9.86,100392,9.85,9.87,9.85,9.86,100392,0.0,1.0,9.86,9.85,9.87
ASTS,2019-12-18,9.85,9.85,9.85,9.85,43318,9.85,9.85,9.85,9.85,43318,0.0,1.0,9.85,9.85,9.85
ASTS,2019-12-19,9.87,9.87,9.87,9.87,2800,9.87,9.87,9.87,9.87,2800,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-20,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-23,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-24,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-26,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-27,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-30,9.87,9.87,9.87,9.87,1,9.87,9.87,9.87,9.87,1,0.0,1.0,9.87,9.87,9.87
ASTS,2019-12-31,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2020-01-02,9.87,9.87,9.87,9.87,0,9.87,9.87,9.87,9.87,0,0.0,1.0,9.87,9.87,9.87
ASTS,2020-01-03,9.87,9.89,9.87,9.89,105006,9.87,9.89,9.87,9.89,105006,0.0,1.0,9.89,9.87,9.89
ASTS,2020-01-06,9.9,9.9,9.89,9.89,127300,9.9,9.9,9.89,9.89,127300,0.0,1.0,9.89,9.89,9.9
ASTS,2020-01-07,9.92,9.92,9.92,9.92,200,9.92,9.92,9.92,9.92,200,0.0,1.0,9.92,9.92,9.92
ASTS,2020-01-08,9.92,9.92,9.92,9.92,0,9.92,9.92,9.92,9.92,0,0.0,1.0,9.92,9.92,9.92
ASTS,2020-01-09,9.92,9.92,9.92,9.92,50000,9.92,9.92,9.92,9.92,50000,0.0,1.0,9.92,9.92,9.92
ASTS,2020-01-10,9.92,9.92,9.9,9.9,253200,9.92,9.92,9.9,9.9,253200,0.0,1.0,9.9,9.9,9.92
ASTS,2020-01-13,9.9,9.9,9.9,9.9,0,9.9,9.9,9.9,9.9,0,0.0,1.0,9.9,9.9,9.9
ASTS,2020-01-14,9.92,9.94,9.92,9.94,49273,9.92,9.94,9.92,9.94,49273,0.0,1.0,9.94,9.92,9.94
ASTS,2020-01-15,9.95,9.96,9.94,9.94,35282,9.95,9.96,9.94,9.94,35282,0.0,1.0,9.94,9.94,9.96
ASTS,2020-01-16,9.95,9.95,9.95,9.95,154249,9.95,9.95,9.95,9.95,154249,0.0,1.0,9.95,9.95,9.95
ASTS,2020-01-17,9.95,9.95,9.95,9.95,50100,9.95,9.95,9.95,9.95,50100,0.0,1.0,9.95,9.95,9.95
ASTS,2020-01-21,9.97,9.98,9.97,9.98,101704,9.97,9.98,9.97,9.98,101704,0.0,1.0,9.98,9.97,9.98
ASTS,2020-01-22,10.0,10.0,10.0,10.0,26103,10.0,10.0,10.0,10.0,26103,0.0,1.0,10.0,10.0,10.0
ASTS,2020-01-23,10.0,10.01,9.99,9.99,226300,10.0,10.01,9.99,9.99,226300,0.0,1.0,9.99,9.99,10.01
ASTS,2020-01-24,10.0,10.0,9.99,9.99,246447,10.0,10.0,9.99,9.99,246447,0.0,1.0,9.99,9.99,10.0
ASTS,2020-01-27,9.99,9.99,9.98,9.99,105400,9.99,9.99,9.98,9.99,105400,0.0,1.0,9.99,9.98,9.99
ASTS,2020-01-28,10.04,10.04,10.04,10.04,400,10.04,10.04,10.04,10.04,400,0.0,1.0,10.04,10.04,10.04
ASTS,2020-01-29,10.02,10.02,10.01,10.01,1600,10.02,10.02,10.01,10.01,1600,0.0,1.0,10.01,10.01,10.02
ASTS,2020-01-30,10.01,10.01,10.01,10.01,11,10.01,10.01,10.01,10.01,11,0.0,1.0,10.01,10.01,10.01
ASTS,2020-01-31,10.0,10.0,10.0,10.0,200,10.0,10.0,10.0,10.0,200,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-03,10.0,10.01,10.0,10.01,18221,10.0,10.01,10.0,10.01,18221,0.0,1.0,10.01,10.0,10.01
ASTS,2020-02-04,10.0,10.0,10.0,10.0,3400,10.0,10.0,10.0,10.0,3400,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-05,10.0,10.0,10.0,10.0,300,10.0,10.0,10.0,10.0,300,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-06,10.0,10.0,10.0,10.0,1,10.0,10.0,10.0,10.0,1,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-07,10.01,10.01,10.0,10.0,1421,10.01,10.01,10.0,10.0,1421,0.0,1.0,10.0,10.0,10.01
ASTS,2020-02-10,10.0,10.01,9.99,10.01,121303,10.0,10.01,9.99,10.01,121303,0.0,1.0,10.01,9.99,10.01
ASTS,2020-02-11,10.0,10.0,10.0,10.0,100000,10.0,10.0,10.0,10.0,100000,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-12,10.0,10.0,10.0,10.0,0,10.0,10.0,10.0,10.0,0,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-13,10.01,10.01,10.01,10.01,196213,10.01,10.01,10.01,10.01,196213,0.0,1.0,10.01,10.01,10.01
ASTS,2020-02-14,10.01,10.01,10.0,10.0,150226,10.01,10.01,10.0,10.0,150226,0.0,1.0,10.0,10.0,10.01
ASTS,2020-02-18,10.01,10.0184,10.01,10.01,176701,10.01,10.0184,10.01,10.01,176701,0.0,1.0,10.01,10.01,10.0184
ASTS,2020-02-19,10.01,10.01,10.01,10.01,0,10.01,10.01,10.01,10.01,0,0.0,1.0,10.01,10.01,10.01
ASTS,2020-02-20,10.01,10.01,10.01,10.01,0,10.01,10.01,10.01,10.01,0,0.0,1.0,10.01,10.01,10.01
ASTS,2020-02-21,10.01,10.01,10.01,10.01,0,10.01,10.01,10.01,10.01,0,0.0,1.0,10.01,10.01,10.01
ASTS,2020-02-24,10.01,10.01,10.01,10.01,57000,10.01,10.01,10.01,10.01,57000,0.0,1.0,10.01,10.01,10.01
ASTS,2020-02-25,10.0,10.0,10.0,10.0,120200,10.0,10.0,10.0,10.0,120200,0.0,1.0,10.0,10.0,10.0
ASTS,2020-02-26,10.0,10.01,10.0,10.01,88550,10.0,10.01,10.0,10.01,88550,0.0,1.0,10.01,10.0,10.01
ASTS,2020-02-27,10.0,10.0,9.98,9.98,207800,10.0,10.0,9.98,9.98,207800,0.0,1.0,9.98,9.98,10.0
ASTS,2020-02-28,9.98,9.98,9.98,9.98,0,9.98,9.98,9.98,9.98,0,0.0,1.0,9.98,9.98,9.98
ASTS,2020-03-02,9.98,9.98,9.98,9.98,0,9.98,9.98,9.98,9.98,0,0.0,1.0,9.98,9.98,9.98
ASTS,2020-03-03,9.98,9.98,9.98,9.98,0,9.98,9.98,9.98,9.98,0,0.0,1.0,9.98,9.98,9.98
ASTS,2020-03-04,9.98,9.98,9.98,9.98,0,9.98,9.98,9.98,9.98,0,0.0,1.0,9.98,9.98,9.98
ASTS,2020-03-05,9.98,10.0973,9.97,9.97,100501,9.98,10.0973,9.97,9.97,100501,0.0,1.0,9.97,9.97,10.0973
ASTS,2020-03-06,9.97,9.9727,9.97,9.9727,300238,9.97,9.9727,9.97,9.9727,300238,0.0,1.0,9.9727,9.97,9.9727
ASTS,2020-03-09,9.95,9.95,9.95,9.95,100044,9.95,9.95,9.95,9.95,100044,0.0,1.0,9.95,9.95,9.95
ASTS,2020-03-10,9.95,9.9502,9.91,9.91,748655,9.95,9.9502,9.91,9.91,748655,0.0,1.0,9.91,9.91,9.9502
ASTS,2020-03-11,9.91,9.91,9.91,9.91,26,9.91,9.91,9.91,9.91,26,0.0,1.0,9.91,9.91,9.91
ASTS,2020-03-12,9.88,9.88,9.76,9.7952,1618305,9.88,9.88,9.76,9.7952,1618305,0.0,1.0,9.7952,9.76,9.88
ASTS,2020-03-13,9.82,9.95,9.8,9.8,1549,9.82,9.95,9.8,9.8,1549,0.0,1.0,9.8,9.8,9.95
ASTS,2020-03-16,9.6,9.62,9.6,9.6,666397,9.6,9.62,9.6,9.6,666397,0.0,1.0,9.6,9.6,9.62
ASTS,2020-03-17,9.55,9.805,9.55,9.6,115818,9.55,9.805,9.55,9.6,115818,0.0,1.0,9.6,9.55,9.805
ASTS,2020-03-18,9.5001,9.52,9.5,9.52,272201,9.5001,9.52,9.5,9.52,272201,0.0,1.0,9.52,9.5,9.52
ASTS,2020-03-19,9.51,9.51,9.51,9.51,177314,9.51,9.51,9.51,9.51,177314,0.0,1.0,9.51,9.51,9.51
ASTS,2020-03-20,9.51,9.51,9.51,9.51,150000,9.51,9.51,9.51,9.51,150000,0.0,1.0,9.51,9.51,9.51
ASTS,2020-03-23,9.51,9.51,9.51,9.51,0,9.51,9.51,9.51,9.51,0,0.0,1.0,9.51,9.51,9.51
ASTS,2020-03-24,9.6288,9.6288,9.6,9.6288,9210,9.6288,9.6288,9.6,9.6288,9210,0.0,1.0,9.6288,9.6,9.6288
ASTS,2020-03-25,9.675,9.69,9.675,9.69,120123,9.675,9.69,9.675,9.69,120123,0.0,1.0,9.69,9.675,9.69
ASTS,2020-03-26,9.69,9.96,9.69,9.73,36424,9.69,9.96,9.69,9.73,36424,0.0,1.0,9.73,9.69,9.96
ASTS,2020-03-27,9.8,9.8,9.8,9.8,1001,9.8,9.8,9.8,9.8,1001,0.0,1.0,9.8,9.8,9.8
ASTS,2020-03-30,9.8,9.8,9.8,9.8,0,9.8,9.8,9.8,9.8,0,0.0,1.0,9.8,9.8,9.8
ASTS,2020-03-31,9.77,9.77,9.77,9.77,290,9.77,9.77,9.77,9.77,290,0.0,1.0,9.77,9.77,9.77
ASTS,2020-04-01,10.08,10.1,10.08,10.1,4814,10.08,10.1,10.08,10.1,4814,0.0,1.0,10.1,10.08,10.1
ASTS,2020-04-02,9.95,9.95,9.95,9.95,327678,9.95,9.95,9.95,9.95,327678,0.0,1.0,9.95,9.95,9.95
ASTS,2020-04-03,9.8,9.85,9.75,9.85,102647,9.8,9.85,9.75,9.85,102647,0.0,1.0,9.85,9.75,9.85
ASTS,2020-04-06,9.82,9.82,9.82,9.82,177,9.82,9.82,9.82,9.82,177,0.0,1.0,9.82,9.82,9.82
ASTS,2020-04-07,9.82,9.82,9.82,9.82,0,9.82,9.82,9.82,9.82,0,0.0,1.0,9.82,9.82,9.82
ASTS,2020-04-08,9.8697,9.8697,9.8697,9.8697,537,9.8697,9.8697,9.8697,9.8697,537,0.0,1.0,9.8697,9.8697,9.8697
ASTS,2020-04-09,9.8139,9.8139,9.8139,9.8139,229,9.8139,9.8139,9.8139,9.8139,229,0.0,1.0,9.8139,9.8139,9.8139
ASTS,2020-04-13,9.85,9.85,9.85,9.85,245,9.85,9.85,9.85,9.85,245,0.0,1.0,9.85,9.85,9.85
ASTS,2020-04-14,9.85,9.875,9.85,9.87,9211,9.85,9.875,9.85,9.87,9211,0.0,1.0,9.87,9.85,9.875
