ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
CFLT,2021-06-24,44.0,47.0,42.31,45.02,12012744,44.0,47.0,42.31,45.02,12012744,0.0,1.0,45.02,42.31,47.0
CFLT,2021-06-25,45.84,46.77,45.0,46.15,2108742,45.84,46.77,45.0,46.15,2108742,0.0,1.0,46.15,45.0,46.77
CFLT,2021-06-28,46.99,55.12,46.86,53.16,3479539,46.99,55.12,46.86,53.16,3479539,0.0,1.0,53.16,46.86,55.12
CFLT,2021-06-29,54.66,57.9899,48.34,50.0,3230379,54.66,57.9899,48.34,50.0,3230379,0.0,1.0,50.0,48.34,57.9899
CFLT,2021-06-30,50.0,50.0,46.3975,47.5,3747419,50.0,50.0,46.3975,47.5,3747419,0.0,1.0,47.5,46.3975,50.0
CFLT,2021-07-01,47.8,48.66,43.575,44.25,1693012,47.8,48.66,43.575,44.25,1693012,0.0,1.0,44.25,43.575,48.66
CFLT,2021-07-02,45.07,45.4,43.25,43.5,983054,45.07,45.4,43.25,43.5,983054,0.0,1.0,43.5,43.25,45.4
CFLT,2021-07-06,43.18,44.6,42.64,43.0,972978,43.18,44.6,42.64,43.0,972978,0.0,1.0,43.0,42.64,44.6
CFLT,2021-07-07,42.51,43.57,41.1038,42.0,562624,42.51,43.57,41.1038,42.0,562624,0.0,1.0,42.0,41.1038,43.57
CFLT,2021-07-08,41.17,43.9109,40.5,42.65,520731,41.17,43.9109,40.5,42.65,520731,0.0,1.0,42.65,40.5,43.9109
CFLT,2021-07-09,42.5,46.27,42.5,45.81,730971,42.5,46.27,42.5,45.81,730971,0.0,1.0,45.81,42.5,46.27
CFLT,2021-07-12,45.31,46.01,43.68,45.06,528361,45.31,46.01,43.68,45.06,528361,0.0,1.0,45.06,43.68,46.01
CFLT,2021-07-13,44.55,46.735,42.97,43.33,526831,44.55,46.735,42.97,43.33,526831,0.0,1.0,43.33,42.97,46.735
CFLT,2021-07-14,42.99,43.8,41.4,41.5,685269,42.99,43.8,41.4,41.5,685269,0.0,1.0,41.5,41.4,43.8
CFLT,2021-07-15,41.43,41.45,39.71,40.48,493799,41.43,41.45,39.71,40.48,493799,0.0,1.0,40.48,39.71,41.45
CFLT,2021-07-16,40.28,41.48,40.2,40.4,329661,40.28,41.48,40.2,40.4,329661,0.0,1.0,40.4,40.2,41.48
