ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
COIN,2021-04-14,381.0,429.54,310.0,328.28,81065746,381.0,429.54,310.0,328.28,81065746,0.0,1.0,328.28,310.0,429.54
COIN,2021-04-15,348.9,349.2,317.2701,322.75,39777858,348.9,349.2,317.2701,322.75,39777858,0.0,1.0,322.75,317.2701,349.2
COIN,2021-04-16,327.5,345.99,321.03,342.0,22654542,327.5,345.99,321.03,342.0,22654542,0.0,1.0,342.0,321.03,345.99
COIN,2021-04-19,337.26,341.01,326.79,333.0,11405556,337.26,341.01,326.79,333.0,11405556,0.0,1.0,333.0,326.79,341.01
COIN,2021-04-20,333.425,334.83,312.0201,320.82,18082257,333.425,334.83,312.0201,320.82,18082257,0.0,1.0,320.82,312.0201,334.83
COIN,2021-04-21,312.52,327.47,302.1,311.92,10103896,312.52,327.47,302.1,311.92,10103896,0.0,1.0,311.92,302.1,327.47
COIN,2021-04-22,305.7595,313.5,287.2033,293.45,14991941,305.7595,313.5,287.2033,293.45,14991941,0.0,1.0,293.45,287.2033,313.5
COIN,2021-04-23,282.75,303.0,282.07,291.6,9891146,282.75,303.0,282.07,291.6,9891146,0.0,1.0,291.6,282.07,303.0
COIN,2021-04-26,304.29,306.1,296.9,304.54,6330230,304.29,306.1,296.9,304.54,6330230,0.0,1.0,304.54,296.9,306.1
COIN,2021-04-27,306.7,306.7,299.5,302.0,3901957,306.7,306.7,299.5,302.0,3901957,0.0,1.0,302.0,299.5,306.7
COIN,2021-04-28,301.01,302.8999,298.05,298.05,2746079,301.01,302.8999,298.05,298.05,2746079,0.0,1.0,298.05,298.05,302.8999
COIN,2021-04-29,298.4494,300.0,292.1,294.77,2845798,298.4494,300.0,292.1,294.77,2845798,0.0,1.0,294.77,292.1,300.0
COIN,2021-04-30,293.0,302.7399,291.0,297.64,3997384,293.0,302.7399,291.0,297.64,3997384,0.0,1.0,297.64,291.0,302.7399
COIN,2021-05-03,304.0,305.03,293.94,294.21,3333846,304.0,305.03,293.94,294.21,3333846,0.0,1.0,294.21,293.94,305.03
COIN,2021-05-04,292.0622,292.19,275.61,280.66,5707704,292.0622,292.19,275.61,280.66,5707704,0.0,1.0,280.66,275.61,292.19
COIN,2021-05-05,284.9521,289.15,269.0,273.0,5074631,284.9521,289.15,269.0,273.0,5074631,0.0,1.0,273.0,269.0,289.15
COIN,2021-05-06,271.15,272.14,250.51,256.76,8342002,271.15,272.14,250.51,256.76,8342002,0.0,1.0,256.76,250.51,272.14
COIN,2021-05-07,261.1519,267.072,258.3801,263.7,4243741,261.1519,267.072,258.3801,263.7,4243741,0.0,1.0,263.7,258.3801,267.072
COIN,2021-05-10,266.4,297.5,259.37,293.45,10268641,266.4,297.5,259.37,293.45,10268641,0.0,1.0,293.45,259.37,297.5
COIN,2021-05-11,281.05,303.32,276.51,303.0,7456019,281.05,303.32,276.51,303.0,7456019,0.0,1.0,303.0,276.51,303.32
COIN,2021-05-12,299.5428,306.98,280.79,283.61,7214195,299.5428,306.98,280.79,283.61,7214195,0.0,1.0,283.61,280.79,306.98
COIN,2021-05-13,276.46,285.0,252.26,265.1,11226843,276.46,285.0,252.26,265.1,11226843,0.0,1.0,265.1,252.26,285.0
COIN,2021-05-14,280.37,280.64,256.351,258.37,11751752,280.37,280.64,256.351,258.37,11751752,0.0,1.0,258.37,256.351,280.64
COIN,2021-05-17,250.0,250.25,238.25,248.24,8828143,250.0,250.25,238.25,248.24,8828143,0.0,1.0,248.24,238.25,250.25
COIN,2021-05-18,238.83,252.165,238.5,239.0,7852101,238.83,252.165,238.5,239.0,7852101,0.0,1.0,239.0,238.5,252.165
COIN,2021-05-19,212.9256,229.0,208.0,224.8,16765954,212.9256,229.0,208.0,224.8,16765954,0.0,1.0,224.8,208.0,229.0
COIN,2021-05-20,236.1,238.8,226.2601,233.4,10386891,236.1,238.8,226.2601,233.4,10386891,0.0,1.0,233.4,226.2601,238.8
COIN,2021-05-21,235.97,238.97,223.9,224.35,7554937,235.97,238.97,223.9,224.35,7554937,0.0,1.0,224.35,223.9,238.97
COIN,2021-05-24,227.28,231.0,224.04,225.3,10185621,227.28,231.0,224.04,225.3,10185621,0.0,1.0,225.3,224.04,231.0
COIN,2021-05-25,230.0,243.99,228.0,242.41,11827823,230.0,243.99,228.0,242.41,11827823,0.0,1.0,242.41,228.0,243.99
COIN,2021-05-26,247.5,249.39,239.3727,241.52,6602815,247.5,249.39,239.3727,241.52,6602815,0.0,1.0,241.52,239.3727,249.39
COIN,2021-05-27,245.21,247.24,240.32,247.09,5083274,245.21,247.24,240.32,247.09,5083274,0.0,1.0,247.09,240.32,247.24
COIN,2021-05-28,243.57,244.63,236.54,236.54,5091479,243.57,244.63,236.54,236.54,5091479,0.0,1.0,236.54,236.54,244.63
COIN,2021-06-01,238.51,244.7094,238.1,238.93,3962697,238.51,244.7094,238.1,238.93,3962697,0.0,1.0,238.93,238.1,244.7094
COIN,2021-06-02,242.7962,243.9,238.71,240.48,3383753,242.7962,243.9,238.71,240.48,3383753,0.0,1.0,240.48,238.71,243.9
COIN,2021-06-03,241.39,241.5,233.5001,233.66,3091112,241.39,241.5,233.5001,233.66,3091112,0.0,1.0,233.66,233.5001,241.5
COIN,2021-06-04,229.9939,233.36,227.5,228.79,3775123,229.9939,233.36,227.5,228.79,3775123,0.0,1.0,228.79,227.5,233.36
COIN,2021-06-07,229.9179,232.56,226.5,231.45,2658314,229.9179,232.56,226.5,231.45,2658314,0.0,1.0,231.45,226.5,232.56
COIN,2021-06-08,227.16,229.329,217.4,220.66,6015772,227.16,229.329,217.4,220.66,6015772,0.0,1.0,220.66,217.4,229.329
COIN,2021-06-09,222.795,229.789,217.4,224.32,6865914,222.795,229.789,217.4,224.32,6865914,0.0,1.0,224.32,217.4,229.789
COIN,2021-06-10,226.22,229.7856,221.47,221.85,3955294,226.22,229.7856,221.47,221.85,3955294,0.0,1.0,221.85,221.47,229.7856
COIN,2021-06-11,223.5,225.74,221.96,223.92,2383458,223.5,225.74,221.96,223.92,2383458,0.0,1.0,223.92,221.96,225.74
COIN,2021-06-14,231.265,239.76,229.76,239.1,6151688,231.265,239.76,229.76,239.1,6151688,0.0,1.0,239.1,229.76,239.76
COIN,2021-06-15,236.227,237.6699,230.96,232.21,3007899,236.227,237.6699,230.96,232.21,3007899,0.0,1.0,232.21,230.96,237.6699
COIN,2021-06-16,231.4,234.68,226.28,228.05,2853257,231.4,234.68,226.28,228.05,2853257,0.0,1.0,228.05,226.28,234.68
COIN,2021-06-17,226.88,233.23,226.35,230.66,2589611,226.88,233.23,226.35,230.66,2589611,0.0,1.0,230.66,226.35,233.23
COIN,2021-06-18,226.92,232.69,226.5,229.29,3265165,226.92,232.69,226.5,229.29,3265165,0.0,1.0,229.29,226.5,232.69
COIN,2021-06-21,223.14,224.99,218.7672,222.6,4687569,223.14,224.99,218.7672,222.6,4687569,0.0,1.0,222.6,218.7672,224.99
COIN,2021-06-22,216.25,223.15,210.77,222.47,6206112,216.25,223.15,210.77,222.47,6206112,0.0,1.0,222.47,210.77,223.15
COIN,2021-06-23,225.54,230.5231,224.5001,226.01,3394664,225.54,230.5231,224.5001,226.01,3394664,0.0,1.0,226.01,224.5001,230.5231
COIN,2021-06-24,228.46,230.04,226.665,229.93,2857722,228.46,230.04,226.665,229.93,2857722,0.0,1.0,229.93,226.665,230.04
COIN,2021-06-25,226.97,227.82,223.22,224.54,2506957,226.97,227.82,223.22,224.54,2506957,0.0,1.0,224.54,223.22,227.82
COIN,2021-06-28,227.64,248.06,226.13,246.69,7449035,227.64,248.06,226.13,246.69,7449035,0.0,1.0,246.69,226.13,248.06
COIN,2021-06-29,250.2,261.15,250.01,254.9,7867552,250.2,261.15,250.01,254.9,7867552,0.0,1.0,254.9,250.01,261.15
COIN,2021-06-30,248.3,254.67,247.0,253.3,4143487,248.3,254.67,247.0,253.3,4143487,0.0,1.0,253.3,247.0,254.67
COIN,2021-07-01,251.09,255.15,240.53,241.44,3627357,251.09,255.15,240.53,241.44,3627357,0.0,1.0,241.44,240.53,255.15
COIN,2021-07-02,242.0,246.8004,238.88,240.72,2328028,242.0,246.8004,238.88,240.72,2328028,0.0,1.0,240.72,238.88,246.8004
COIN,2021-07-06,243.0,243.0,234.0201,235.41,2212615,243.0,243.0,234.0201,235.41,2212615,0.0,1.0,235.41,234.0201,243.0
COIN,2021-07-07,238.9608,252.99,232.3362,251.97,4804431,238.9608,252.99,232.3362,251.97,4804431,0.0,1.0,251.97,232.3362,252.99
COIN,2021-07-08,239.0,246.6,233.61,244.29,4349961,239.0,246.6,233.61,244.29,4349961,0.0,1.0,244.29,233.61,246.6
COIN,2021-07-09,245.0,256.99,244.21,253.88,4457367,245.0,256.99,244.21,253.88,4457367,0.0,1.0,253.88,244.21,256.99
COIN,2021-07-12,254.0,254.89,246.83,247.67,2222085,254.0,254.89,246.83,247.67,2222085,0.0,1.0,247.67,246.83,254.89
COIN,2021-07-13,245.51,249.15,242.9303,243.31,3307965,245.51,249.15,242.9303,243.31,3307965,0.0,1.0,243.31,242.9303,249.15
COIN,2021-07-14,244.9,247.45,229.16,229.94,4808426,244.9,247.45,229.16,229.94,4808426,0.0,1.0,229.94,229.16,247.45
COIN,2021-07-15,229.94,234.47,220.37,224.63,3635910,229.94,234.47,220.37,224.63,3635910,0.0,1.0,224.63,220.37,234.47
COIN,2021-07-16,227.2,231.3,220.6645,225.01,3373060,227.2,231.3,220.6645,225.01,3373060,0.0,1.0,225.01,220.6645,231.3
COIN,2021-07-19,216.92,221.89,213.22,220.61,3149313,216.92,221.89,213.22,220.61,3149313,0.0,1.0,220.61,213.22,221.89
COIN,2021-07-20,216.71,226.89,213.23,224.96,3104775,216.71,226.89,213.23,224.96,3104775,0.0,1.0,224.96,213.23,226.89
COIN,2021-07-21,231.6975,237.15,229.19,230.87,3677370,231.6975,237.15,229.19,230.87,3677370,0.0,1.0,230.87,229.19,237.15
COIN,2021-07-22,232.0,232.32,224.5,226.08,2551694,232.0,232.32,224.5,226.08,2551694,0.0,1.0,226.08,224.5,232.32
COIN,2021-07-23,226.22,227.3465,222.73,224.92,1574726,226.22,227.3465,222.73,224.92,1574726,0.0,1.0,224.92,222.73,227.3465
COIN,2021-07-26,240.0835,249.8,237.88,245.45,7615718,240.0835,249.8,237.88,245.45,7615718,0.0,1.0,245.45,237.88,249.8
COIN,2021-07-27,243.0,243.21,229.12,235.08,5636360,243.0,243.21,229.12,235.08,5636360,0.0,1.0,235.08,229.12,243.21
COIN,2021-07-28,240.3,242.8657,238.03,241.75,2065223,240.3,242.8657,238.03,241.75,2065223,0.0,1.0,241.75,238.03,242.8657
COIN,2021-07-29,241.77,245.1599,235.33,235.78,2413569,241.77,245.1599,235.33,235.78,2413569,0.0,1.0,235.78,235.33,245.1599
COIN,2021-07-30,233.28,238.07,231.8956,236.58,2041063,233.28,238.07,231.8956,236.58,2041063,0.0,1.0,236.58,231.8956,238.07
COIN,2021-08-02,237.28,240.3765,233.8,235.4,2151346,237.28,240.3765,233.8,235.4,2151346,0.0,1.0,235.4,233.8,240.3765
COIN,2021-08-03,233.87,235.6899,226.91,230.18,2850545,233.87,235.6899,226.91,230.18,2850545,0.0,1.0,230.18,226.91,235.6899
COIN,2021-08-04,231.06,245.4683,229.85,244.36,3684694,231.06,245.4683,229.85,244.36,3684694,0.0,1.0,244.36,229.85,245.4683
COIN,2021-08-05,239.76,258.31,237.59,255.5,6017849,239.76,258.31,237.59,255.5,6017849,0.0,1.0,255.5,237.59,258.31
COIN,2021-08-06,255.5,263.9,250.23,258.26,5579943,255.5,263.9,250.23,258.26,5579943,0.0,1.0,258.26,250.23,263.9
COIN,2021-08-09,267.85,282.43,267.5,280.47,8892383,267.85,282.43,267.5,280.47,8892383,0.0,1.0,280.47,267.5,282.43
COIN,2021-08-10,280.67,281.5,264.25,269.67,7723436,280.67,281.5,264.25,269.67,7723436,0.0,1.0,269.67,264.25,281.5
COIN,2021-08-11,282.338,294.0,274.3501,278.4,13998306,282.338,294.0,274.3501,278.4,13998306,0.0,1.0,278.4,274.3501,294.0
COIN,2021-08-12,266.39,267.75,255.2,256.5,8266747,266.39,267.75,255.2,256.5,8266747,0.0,1.0,256.5,255.2,267.75
COIN,2021-08-13,262.82,266.5,259.97,261.25,4388845,262.82,266.5,259.97,261.25,4388845,0.0,1.0,261.25,259.97,266.5
COIN,2021-08-16,265.26,265.43,253.6018,256.83,3241136,265.26,265.43,253.6018,256.83,3241136,0.0,1.0,256.83,253.6018,265.43
COIN,2021-08-17,253.14,260.74,246.23,250.8,3101977,253.14,260.74,246.23,250.8,3101977,0.0,1.0,250.8,246.23,260.74
COIN,2021-08-18,249.0,254.4,243.76,244.39,2564969,249.0,254.4,243.76,244.39,2564969,0.0,1.0,244.39,243.76,254.4
COIN,2021-08-19,240.6,249.77,239.1916,248.24,3247230,240.6,249.77,239.1916,248.24,3247230,0.0,1.0,248.24,239.1916,249.77
COIN,2021-08-20,252.0,260.62,251.42,257.32,4031097,252.0,260.62,251.42,257.32,4031097,0.0,1.0,257.32,251.42,260.62
COIN,2021-08-23,263.6663,266.5,255.0,256.0,5705279,263.6663,266.5,255.0,256.0,5705279,0.0,1.0,256.0,255.0,266.5
COIN,2021-08-24,256.99,260.2499,253.2,259.28,3982757,256.99,260.2499,253.2,259.28,3982757,0.0,1.0,259.28,253.2,260.2499
COIN,2021-08-25,257.0,262.11,256.0,256.77,2675110,257.0,262.11,256.0,256.77,2675110,0.0,1.0,256.77,256.0,262.11
COIN,2021-08-26,253.21,255.2,248.5,248.54,3038888,253.21,255.2,248.5,248.54,3038888,0.0,1.0,248.54,248.5,255.2
COIN,2021-08-27,249.39,259.67,248.0863,259.12,3201369,249.39,259.67,248.0863,259.12,3201369,0.0,1.0,259.12,248.0863,259.67
COIN,2021-08-30,256.3482,263.3369,256.2501,262.66,2687570,256.3482,263.3369,256.2501,262.66,2687570,0.0,1.0,262.66,256.2501,263.3369
COIN,2021-08-31,260.0172,263.4,257.18,259.0,2493804,260.0172,263.4,257.18,259.0,2493804,0.0,1.0,259.0,257.18,263.4
COIN,2021-09-01,260.3127,272.1,258.6301,265.9,4789631,260.3127,272.1,258.6301,265.9,4789631,0.0,1.0,265.9,258.6301,272.1
COIN,2021-09-02,272.54,275.66,266.0,268.18,3736924,272.54,275.66,266.0,268.18,3736924,0.0,1.0,268.18,266.0,275.66
COIN,2021-09-03,272.0,280.61,270.03,278.44,4438250,272.0,280.61,270.03,278.44,4438250,0.0,1.0,278.44,270.03,280.61
COIN,2021-09-07,277.0,278.87,262.6001,266.81,5173032,277.0,278.87,262.6001,266.81,5173032,0.0,1.0,266.81,262.6001,278.87
COIN,2021-09-08,257.0,262.95,253.88,258.2,4507574,257.0,262.95,253.88,258.2,4507574,0.0,1.0,258.2,253.88,262.95
COIN,2021-09-09,260.3,263.81,255.7,256.42,3074527,260.3,263.81,255.7,256.42,3074527,0.0,1.0,256.42,255.7,263.81
COIN,2021-09-10,257.31,258.87,247.4,248.32,3191273,257.31,258.87,247.4,248.32,3191273,0.0,1.0,248.32,247.4,258.87
COIN,2021-09-13,246.51,251.88,239.6,242.84,4021434,246.51,251.88,239.6,242.84,4021434,0.0,1.0,242.84,239.6,251.88
COIN,2021-09-14,247.25,248.7899,241.272,243.0,2748872,247.25,248.7899,241.272,243.0,2748872,0.0,1.0,243.0,241.272,248.7899
COIN,2021-09-15,244.0,249.47,242.05,247.07,2148260,244.0,249.47,242.05,247.07,2148260,0.0,1.0,247.07,242.05,249.47
COIN,2021-09-16,247.38,247.46,239.61,243.21,2596793,247.38,247.46,239.61,243.21,2596793,0.0,1.0,243.21,239.61,247.46
COIN,2021-09-17,243.125,245.63,238.75,245.19,2947971,243.125,245.63,238.75,245.19,2947971,0.0,1.0,245.19,238.75,245.63
COIN,2021-09-20,234.45,237.36,231.15,236.53,4192592,234.45,237.36,231.15,236.53,4192592,0.0,1.0,236.53,231.15,237.36
COIN,2021-09-21,237.01,240.26,234.26,238.46,2174748,237.01,240.26,234.26,238.46,2174748,0.0,1.0,238.46,234.26,240.26
COIN,2021-09-22,239.91,243.2,237.76,241.85,1660175,239.91,243.2,237.76,241.85,1660175,0.0,1.0,241.85,237.76,243.2
COIN,2021-09-23,244.57,245.8,237.07,237.5,3151330,244.57,245.8,237.07,237.5,3151330,0.0,1.0,237.5,237.07,245.8
COIN,2021-09-24,231.0,235.31,229.1701,231.82,3699987,231.0,235.31,229.1701,231.82,3699987,0.0,1.0,231.82,229.1701,235.31
COIN,2021-09-27,231.88,233.399,227.35,232.24,3234810,231.88,233.399,227.35,232.24,3234810,0.0,1.0,232.24,227.35,233.399
COIN,2021-09-28,229.68,232.5126,227.52,229.84,3231210,229.68,232.5126,227.52,229.84,3231210,0.0,1.0,229.84,227.52,232.5126
COIN,2021-09-29,231.0,233.77,225.04,225.28,2547285,231.0,233.77,225.04,225.28,2547285,0.0,1.0,225.28,225.04,233.77
COIN,2021-09-30,227.0,229.99,225.28,227.48,2522537,227.0,229.99,225.28,227.48,2522537,0.0,1.0,227.48,225.28,229.99
COIN,2021-10-01,232.8869,235.76,226.929,231.15,3457269,232.8869,235.76,226.929,231.15,3457269,0.0,1.0,231.15,226.929,235.76
COIN,2021-10-04,231.49,233.1,224.51,229.31,2591132,231.49,233.1,224.51,229.31,2591132,0.0,1.0,229.31,224.51,233.1
COIN,2021-10-05,231.35,240.09,230.785,240.09,2994406,231.35,240.09,230.785,240.09,2994406,0.0,1.0,240.09,230.785,240.09
COIN,2021-10-06,242.4,252.14,242.2,250.38,5747679,242.4,252.14,242.2,250.38,5747679,0.0,1.0,250.38,242.2,252.14
COIN,2021-10-07,248.0,253.0,245.651,251.59,3213151,248.0,253.0,245.651,251.59,3213151,0.0,1.0,251.59,245.651,253.0
COIN,2021-10-08,253.525,256.18,246.9,248.14,2873719,253.525,256.18,246.9,248.14,2873719,0.0,1.0,248.14,246.9,256.18
COIN,2021-10-11,249.57,263.19,248.485,256.5,4945286,249.57,263.19,248.485,256.5,4945286,0.0,1.0,256.5,248.485,263.19
COIN,2021-10-12,254.26,256.3721,246.08,249.33,3971908,254.26,256.3721,246.08,249.33,3971908,0.0,1.0,249.33,246.08,256.3721
COIN,2021-10-13,246.5,249.73,244.56,246.78,2886897,246.5,249.73,244.56,246.78,2886897,0.0,1.0,246.78,244.56,249.73
