ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
COST,2005-01-03,48.4,48.99,47.75,47.9,2219300,32.4839440074,32.8799259695,32.0476926933,32.1483660735,2219300,0.0,1.0,32.1483660735,32.0476926933,32.8799259695
COST,2005-01-04,48.19,48.34,47.04,47.04,3280200,32.3430012752,32.4436746554,31.5711720271,31.5711720271,3280200,0.0,1.0,31.5711720271,31.5711720271,32.4436746554
COST,2005-01-05,47.2,47.86,46.92,47.22,2672900,31.6785569659,32.1215198388,31.4906333229,31.6919800833,2672900,0.0,1.0,31.6919800833,31.4906333229,32.1215198388
COST,2005-01-06,48.86,48.89,47.76,47.9,3771700,32.7926757067,32.8128103827,32.054404252,32.1483660735,3771700,0.0,1.0,32.1483660735,32.054404252,32.8128103827
COST,2005-01-07,47.83,47.96,47.37,47.49,2448200,32.1013851627,32.1886354256,31.7926534635,31.8731921676,2448200,0.0,1.0,31.8731921676,31.7926534635,32.1886354256
COST,2005-01-10,47.411,47.94,47.27,47.58,2053100,31.8201708541,32.1752123082,31.7255378767,31.9335961957,2053100,0.0,1.0,31.9335961957,31.7255378767,32.1752123082
COST,2005-01-11,47.37,47.56,47.1,47.32,2364500,31.7926534635,31.9201730784,31.6114413791,31.7590956701,2364500,0.0,1.0,31.7590956701,31.6114413791,31.9201730784
COST,2005-01-12,47.26,47.64,47.0,47.53,2310700,31.718826318,31.9738655478,31.5443257924,31.9000384023,2310700,0.0,1.0,31.9000384023,31.5443257924,31.9738655478
COST,2005-01-13,47.8,48.4,47.53,47.74,2913600,32.0812504867,32.4839440074,31.9000384023,32.0409811346,2913600,0.0,1.0,32.0409811346,31.9000384023,32.4839440074
COST,2005-01-14,47.88,48.49,47.8,48.27,3035500,32.1349429561,32.5443480356,32.0812504867,32.3966937446,3035500,0.0,1.0,32.3966937446,32.0812504867,32.5443480356
COST,2005-01-18,48.15,49.18,47.84,49.14,3119800,32.3161550405,33.0074455844,32.1080967214,32.9805993497,3119800,0.0,1.0,32.9805993497,32.1080967214,33.0074455844
COST,2005-01-19,49.15,49.16,48.33,48.36,1830000,32.9873109084,32.9940224671,32.4369630967,32.4570977727,1830000,0.0,1.0,32.4570977727,32.4369630967,32.9940224671
COST,2005-01-20,48.49,48.64,47.7,47.79,1871400,32.5443480356,32.6450214157,32.0141348999,32.074538928,1871400,0.0,1.0,32.074538928,32.0141348999,32.6450214157
COST,2005-01-21,47.69,47.94,46.43,46.51,3102700,32.0074233412,32.1752123082,31.1617669476,31.2154594171,3102700,0.0,1.0,31.2154594171,31.1617669476,32.1752123082
COST,2005-01-24,46.6,47.15,46.33,46.42,2487800,31.2758634452,31.6449991725,31.0946513608,31.155055389,2487800,0.0,1.0,31.155055389,31.0946513608,31.6449991725
COST,2005-01-25,46.899,47.2354,46.52,47.08,2145800,31.4765390497,31.7023158837,31.2221709757,31.5980182618,2145800,0.0,1.0,31.5980182618,31.2221709757,31.7023158837
COST,2005-01-26,47.2,47.51,47.18,47.36,2598200,31.6785569659,31.886615285,31.6651338486,31.7859419048,2598200,0.0,1.0,31.7859419048,31.6651338486,31.886615285
COST,2005-01-27,47.24,47.79,46.93,47.23,2257600,31.7054032007,32.074538928,31.4973448816,31.698691642,2257600,0.0,1.0,31.698691642,31.4973448816,32.074538928
COST,2005-01-28,47.22,47.46,46.6,47.29,2648800,31.6919800833,31.8530574916,31.2758634452,31.738960994,2648800,0.0,1.0,31.738960994,31.2758634452,31.8530574916
COST,2005-01-31,47.76,48.24,47.13,47.27,2845700,32.054404252,32.3765590686,31.6315760552,31.7255378767,2845700,0.0,1.0,31.7255378767,31.6315760552,32.3765590686
COST,2005-02-01,47.19,47.36,46.89,46.96,2634200,31.6718454073,31.7859419048,31.4704986469,31.5174795576,2634200,0.0,1.0,31.5174795576,31.4704986469,31.7859419048
COST,2005-02-02,47.1,47.18,46.52,47.17,2259000,31.6114413791,31.6651338486,31.2221709757,31.6584222899,2259000,0.0,1.0,31.6584222899,31.2221709757,31.6651338486
COST,2005-02-03,46.5,46.64,45.75,46.37,4782300,31.2087478584,31.3027096799,30.7053809574,31.1214975956,4782300,0.0,1.0,31.1214975956,30.7053809574,31.3027096799
COST,2005-02-04,46.36,46.82,45.92,46.18,3578300,31.1821632262,31.4915634653,30.8862151714,31.0610935674,3578300,0.1,1.0,31.0610935674,30.8862151714,31.4915634653
COST,2005-02-07,46.2,46.6,46.0,46.1,2565400,31.0745457518,31.3435894379,30.9400239087,31.0072848302,2565400,0.0,1.0,31.0072848302,30.9400239087,31.3435894379
COST,2005-02-08,46.48,46.5,45.69,45.88,2893400,31.2628763321,31.2763285164,30.7315150519,30.8593108028,2893400,0.0,1.0,30.8593108028,30.7315150519,31.2763285164
COST,2005-02-09,45.84,46.01,45.42,45.51,2132900,30.8324064342,30.9467500008,30.5499105637,30.6104453931,2132900,0.0,1.0,30.6104453931,30.5499105637,30.9467500008
COST,2005-02-10,45.58,46.29,45.45,45.86,1966300,30.6575280382,31.1350805811,30.5700888402,30.8458586185,1966300,0.0,1.0,30.8458586185,30.5700888402,31.1350805811
COST,2005-02-11,45.98,46.91,45.73,46.44,2959000,30.9265717244,31.5520982947,30.7584194205,31.2359719635,2959000,0.0,1.0,31.2359719635,30.7584194205,31.5520982947
COST,2005-02-14,46.55,46.76,46.15,46.51,2043900,31.3099589771,31.4512069124,31.040915291,31.2830546085,2043900,0.0,1.0,31.2830546085,31.040915291,31.4512069124
COST,2005-02-15,46.74,47.02,46.3,47.0,2079100,31.4377547281,31.6260853084,31.1418066733,31.6126331241,2079100,0.0,1.0,31.6126331241,31.1418066733,31.6260853084
COST,2005-02-16,47.0,47.1,46.66,46.94,1791700,31.6126331241,31.6798940456,31.3839459908,31.5722765712,1791700,0.0,1.0,31.5722765712,31.3839459908,31.6798940456
COST,2005-02-17,46.8,47.08,46.0,46.1,2179600,31.478111281,31.6664418613,30.9400239087,31.0072848302,2179600,0.0,1.0,31.0072848302,30.9400239087,31.6664418613
COST,2005-02-18,45.99,46.13,45.74,45.8,2028100,30.9332978165,31.0274631067,30.7651455127,30.8055020656,2028100,0.0,1.0,30.8055020656,30.7651455127,31.0274631067
COST,2005-02-22,45.53,46.71,45.4,45.4,3505200,30.6238975774,31.4175764516,30.5364583794,30.5364583794,3505200,0.0,1.0,30.5364583794,30.5364583794,31.4175764516
COST,2005-02-23,45.75,46.12,45.49,45.65,2810400,30.7718716048,31.0207370145,30.5969932088,30.7046106833,2810400,0.0,1.0,30.7046106833,30.5969932088,31.0207370145
COST,2005-02-24,45.66,46.69,45.6,46.54,2348800,30.7113367754,31.4041242673,30.6709802225,31.303232885,2348800,0.0,1.0,31.303232885,30.6709802225,31.4041242673
COST,2005-02-25,46.42,46.76,46.35,46.57,1525800,31.2225197791,31.4512069124,31.1754371341,31.3234111615,1525800,0.0,1.0,31.3234111615,31.1754371341,31.4512069124
COST,2005-02-28,46.71,47.0,46.18,46.59,2425000,31.4175764516,31.6126331241,31.0610935674,31.3368633458,2425000,0.0,1.0,31.3368633458,31.0610935674,31.6126331241
COST,2005-03-01,46.75,47.27,46.61,46.71,2890600,31.4444808202,31.7942376122,31.3503155301,31.4175764516,2890600,0.0,1.0,31.4175764516,31.3503155301,31.7942376122
COST,2005-03-02,45.41,46.07,44.31,45.02,12766600,30.5431844716,30.9871065538,29.8033143346,30.2808668776,12766600,0.0,1.0,30.2808668776,29.8033143346,30.9871065538
COST,2005-03-03,45.1,45.25,44.73,44.8,4944200,30.3346756148,30.4355669971,30.0858102051,30.1328928502,4944200,0.0,1.0,30.1328928502,30.0858102051,30.4355669971
COST,2005-03-04,45.24,45.25,44.5,44.76,4714100,30.428840905,30.4355669971,29.9311100856,30.1059884816,4714100,0.0,1.0,30.1059884816,29.9311100856,30.4355669971
COST,2005-03-07,44.73,45.15,44.37,44.54,3306200,30.0858102051,30.3683060756,29.8436708876,29.9580144542,3306200,0.0,1.0,29.9580144542,29.8436708876,30.3683060756
COST,2005-03-08,44.8,46.63,44.5,46.06,8118000,30.1328928502,31.3637677144,29.9311100856,30.9803804616,8118000,0.0,1.0,30.9803804616,29.9311100856,31.3637677144
COST,2005-03-09,45.94,46.21,45.33,45.61,4918800,30.8996673557,31.0812718439,30.4893757344,30.6777063147,4918800,0.0,1.0,30.6777063147,30.4893757344,31.0812718439
COST,2005-03-10,45.76,45.84,44.59,44.75,4417300,30.778597697,30.8324064342,29.991644915,30.0992623894,4417300,0.0,1.0,30.0992623894,29.991644915,30.8324064342
COST,2005-03-11,44.94,45.35,44.68,44.94,2518300,30.2270581403,30.5028279187,30.0521797443,30.2270581403,2518300,0.0,1.0,30.2270581403,30.0521797443,30.5028279187
