ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
CRM,2005-01-03,16.41,16.98,16.41,16.6,926000,4.0315917576,4.1716287656,4.0315917576,4.0782707602,3704000,0.0,1.0,4.0782707602,4.0315917576,4.1716287656
CRM,2005-01-04,16.55,16.7,16.13,16.36,710800,4.0659868122,4.1028386564,3.9628016483,4.0193078095,2843200,0.0,1.0,4.0193078095,3.9628016483,4.1028386564
CRM,2005-01-05,16.78,17.98,16.71,17.95,3041100,4.1224929733,4.417307727,4.105295446,4.4099373582,12164400,0.0,1.0,4.4099373582,4.105295446,4.417307727
CRM,2005-01-06,17.95,18.2,17.5,17.72,1657100,4.4099373582,4.4713570986,4.2993818255,4.3534311971,6628400,0.0,1.0,4.3534311971,4.2993818255,4.4713570986
CRM,2005-01-07,17.93,17.99,17.39,17.55,1152000,4.405023779,4.4197645167,4.2723571398,4.3116657736,4608000,0.0,1.0,4.3116657736,4.2723571398,4.4197645167
CRM,2005-01-10,17.0,17.58,16.95,16.98,947100,4.1765423448,4.3190361425,4.1642583967,4.1716287656,3788400,0.0,1.0,4.1716287656,4.1642583967,4.3190361425
CRM,2005-01-11,16.98,17.0,16.37,16.42,715500,4.1716287656,4.1765423448,4.0217645991,4.0340485472,2862000,0.0,1.0,4.0340485472,4.0217645991,4.1765423448
CRM,2005-01-12,15.0,15.45,14.71,15.1,4657000,3.6851844219,3.7957399546,3.6139375231,3.709752318,18628000,0.0,1.0,3.709752318,3.6139375231,3.7957399546
CRM,2005-01-13,15.25,15.68,15.05,15.25,1094200,3.7466041623,3.8522461157,3.69746837,3.7466041623,4376800,0.0,1.0,3.7466041623,3.69746837,3.8522461157
CRM,2005-01-14,15.25,15.3,14.71,15.0,951500,3.7466041623,3.7588881103,3.6139375231,3.6851844219,3806000,0.0,1.0,3.6851844219,3.6139375231,3.7588881103
