ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
CRWD,2019-06-12,63.5,67.0,56.0,58.0,19449162,15.875,16.75,14.0,14.5,77796648,0.0,1.0,14.5,14.0,16.75
CRWD,2019-06-13,63.86,69.67,61.6,67.56,10923944,15.965,17.4175,15.4,16.89,43695776,0.0,1.0,16.89,15.4,17.4175
CRWD,2019-06-14,69.78,70.79,63.02,64.16,6264212,17.445,17.6975,15.755,16.04,25056848,0.0,1.0,16.04,15.755,17.6975
CRWD,2019-06-17,64.75,70.01,62.0,70.01,3247471,16.1875,17.5025,15.5,17.5025,12989884,0.0,1.0,17.5025,15.5,17.5025
CRWD,2019-06-18,73.0,78.7,71.5,76.5,6612626,18.25,19.675,17.875,19.125,26450504,0.0,1.0,19.125,17.875,19.675
CRWD,2019-06-19,78.75,79.79,73.555,77.22,3319070,19.6875,19.9475,18.38875,19.305,13276280,0.0,1.0,19.305,18.38875,19.9475
CRWD,2019-06-20,78.0,78.22,70.69,74.85,3429610,19.5,19.555,17.6725,18.7125,13718440,0.0,1.0,18.7125,17.6725,19.555
CRWD,2019-06-21,72.46,73.928,68.3,72.23,2657468,18.115,18.482,17.075,18.0575,10629872,0.0,1.0,18.0575,17.075,18.482
CRWD,2019-06-24,71.05,72.39,65.08,67.97,2448037,17.7625,18.0975,16.27,16.9925,9792148,0.0,1.0,16.9925,16.27,18.0975
CRWD,2019-06-25,67.1,68.99,61.17,61.52,2482213,16.775,17.2475,15.2925,15.38,9928852,0.0,1.0,15.38,15.2925,17.2475
CRWD,2019-06-26,63.3,64.92,62.005,62.65,1625502,15.825,16.23,15.50125,15.6625,6502008,0.0,1.0,15.6625,15.50125,16.23
CRWD,2019-06-27,63.39,64.995,62.571,63.28,914612,15.8475,16.24875,15.64275,15.82,3658448,0.0,1.0,15.82,15.64275,16.24875
CRWD,2019-06-28,64.36,68.38,63.3,68.29,1474303,16.09,17.095,15.825,17.0725,5897212,0.0,1.0,17.0725,15.825,17.095
CRWD,2019-07-01,69.1,69.729,61.81,63.2,2675367,17.275,17.43225,15.4525,15.8,10701468,0.0,1.0,15.8,15.4525,17.43225
CRWD,2019-07-02,63.3,65.03,61.721,64.52,1738845,15.825,16.2575,15.43025,16.13,6955380,0.0,1.0,16.13,15.43025,16.2575
CRWD,2019-07-03,64.68,67.48,64.52,67.24,1564108,16.17,16.87,16.13,16.81,6256432,0.0,1.0,16.81,16.13,16.87
CRWD,2019-07-05,67.15,67.25,64.84,67.21,805222,16.7875,16.8125,16.21,16.8025,3220888,0.0,1.0,16.8025,16.21,16.8125
CRWD,2019-07-08,68.26,71.715,66.9,66.91,4567154,17.065,17.92875,16.725,16.7275,18268616,0.0,1.0,16.7275,16.725,17.92875
CRWD,2019-07-09,67.42,69.2,66.88,68.45,1782694,16.855,17.3,16.72,17.1125,7130776,0.0,1.0,17.1125,16.72,17.3
CRWD,2019-07-10,70.0,74.5,69.5,74.34,2719347,17.5,18.625,17.375,18.585,10877388,0.0,1.0,18.585,17.375,18.625
CRWD,2019-07-11,74.5,74.98,70.5,70.88,2351834,18.625,18.745,17.625,17.72,9407336,0.0,1.0,17.72,17.625,18.745
CRWD,2019-07-12,71.6,75.2,70.5,73.5,1838306,17.9,18.8,17.625,18.375,7353224,0.0,1.0,18.375,17.625,18.8
