ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
CSCO,2005-01-03,19.42,19.61,19.269,19.32,56725600,12.4562573425,12.5781259777,12.3594038482,12.3921159556,56725600,0.0,1.0,12.3921159556,12.3594038482,12.5781259777
CSCO,2005-01-04,19.38,19.39,18.54,18.56,106241900,12.4306007877,12.4370149264,11.8918131375,11.9046414149,106241900,0.0,1.0,11.9046414149,11.8918131375,12.4370149264
CSCO,2005-01-05,18.47,18.88,18.45,18.57,66100500,11.8469141666,12.1098938531,11.8340858892,11.9110555536,66100500,0.0,1.0,11.9110555536,11.8340858892,12.1098938531
CSCO,2005-01-06,18.67,18.86,18.56,18.85,63790900,11.9751969405,12.0970655757,11.9046414149,12.090651437,63790900,0.0,1.0,12.090651437,11.9046414149,12.0970655757
CSCO,2005-01-07,18.92,18.98,18.62,18.72,54415000,12.1355504078,12.17403524,11.943126247,12.007267634,54415000,0.0,1.0,12.007267634,11.943126247,12.17403524
CSCO,2005-01-10,18.66,18.84,18.6,18.72,47183300,11.9687828018,12.0842372983,11.9302979696,12.007267634,47183300,0.0,1.0,12.007267634,11.9302979696,12.0842372983
CSCO,2005-01-11,18.57,18.72,18.46,18.64,53236100,11.9110555536,12.007267634,11.8405000279,11.9559545244,53236100,0.0,1.0,11.9559545244,11.8405000279,12.007267634
CSCO,2005-01-12,18.76,18.97,18.709,18.93,65081900,12.0329241887,12.1676211013,12.0002120814,12.1419645465,65081900,0.0,1.0,12.1419645465,12.0002120814,12.1676211013
CSCO,2005-01-13,18.93,18.99,18.63,18.78,56893000,12.1419645465,12.1804493787,11.9495403857,12.0457524661,56893000,0.0,1.0,12.0457524661,11.9495403857,12.1804493787
CSCO,2005-01-14,18.88,18.97,18.78,18.88,51197100,12.1098938531,12.1676211013,12.0457524661,12.1098938531,51197100,0.0,1.0,12.1098938531,12.0457524661,12.1676211013
CSCO,2005-01-18,18.74,18.8,18.63,18.74,51416900,12.0200959114,12.0585807435,11.9495403857,12.0200959114,51416900,0.0,1.0,12.0200959114,11.9495403857,12.0585807435
CSCO,2005-01-19,18.66,18.68,18.11,18.15,72873000,11.9687828018,11.9816110792,11.6160051737,11.6416617284,72873000,0.0,1.0,11.6416617284,11.6160051737,11.9816110792
CSCO,2005-01-20,18.07,18.43,17.91,18.32,83539400,11.5903486189,11.8212576119,11.4877223998,11.7507020862,83539400,0.0,1.0,11.7507020862,11.4877223998,11.8212576119
CSCO,2005-01-21,18.3,18.49,18.0,18.01,56209900,11.7378738088,11.859742444,11.545449648,11.5518637867,56209900,0.0,1.0,11.5518637867,11.545449648,11.859742444
CSCO,2005-01-24,18.16,18.2,17.7,17.75,80477000,11.6480758671,11.6737324219,11.3530254872,11.3850961807,80477000,0.0,1.0,11.3850961807,11.3530254872,11.6737324219
CSCO,2005-01-25,17.9,17.98,17.41,17.51,76495900,11.4813082611,11.5326213707,11.1670154651,11.2311568521,76495900,0.0,1.0,11.2311568521,11.1670154651,11.5326213707
CSCO,2005-01-26,17.8,17.86,17.55,17.69,73530300,11.4171668742,11.4556517063,11.2568134068,11.3466113486,73530300,0.0,1.0,11.3466113486,11.2568134068,11.4556517063
CSCO,2005-01-27,17.77,18.22,17.73,18.18,76947600,11.3979244581,11.6865606993,11.3722679033,11.6609041445,76947600,0.0,1.0,11.6609041445,11.3722679033,11.6865606993
CSCO,2005-01-28,18.27,18.39,17.85,17.9,77990000,11.7186313928,11.7956010571,11.4492375676,11.4813082611,77990000,0.0,1.0,11.4813082611,11.4492375676,11.7956010571
CSCO,2005-01-31,18.16,18.3,17.98,18.04,51573700,11.6480758671,11.7378738088,11.5326213707,11.5711062028,51573700,0.0,1.0,11.5711062028,11.5326213707,11.7378738088
CSCO,2005-02-01,18.09,18.25,17.999,18.13,55135300,11.6031768963,11.7058031154,11.5448082342,11.6288334511,55135300,0.0,1.0,11.6288334511,11.5448082342,11.7058031154
