ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
DLR,2005-01-03,13.54,13.6,13.39,13.59,189100,5.8173870834,5.8431657559,5.7529404023,5.8388693104,189100,0.0,1.0,5.8388693104,5.7529404023,5.8431657559
DLR,2005-01-04,13.61,13.77,13.55,13.65,154400,5.8474622013,5.9162053278,5.8216835288,5.8646479829,154400,0.0,1.0,5.8646479829,5.8216835288,5.9162053278
DLR,2005-01-05,13.6,13.66,12.5,13.2,302600,5.8431657559,5.8689444283,5.3705567609,5.6713079395,302600,0.0,1.0,5.6713079395,5.3705567609,5.8689444283
DLR,2005-01-06,13.1,13.65,13.0,13.39,93300,5.6283434854,5.8646479829,5.5853790313,5.7529404023,93300,0.0,1.0,5.7529404023,5.5853790313,5.8646479829
DLR,2005-01-07,13.42,13.42,13.08,13.26,124300,5.7658297385,5.7658297385,5.6197505946,5.697086612,124300,0.0,1.0,5.697086612,5.6197505946,5.7658297385
DLR,2005-01-10,13.2,13.74,13.1,13.3,79800,5.6713079395,5.9033159916,5.6283434854,5.7142723936,79800,0.0,1.0,5.7142723936,5.6283434854,5.9033159916
DLR,2005-01-11,13.3,13.53,13.05,13.26,136400,5.7142723936,5.813090638,5.6068612584,5.697086612,136400,0.0,1.0,5.697086612,5.6068612584,5.813090638
DLR,2005-01-12,13.27,13.4,13.2,13.3,111600,5.7013830574,5.7572368477,5.6713079395,5.7142723936,111600,0.0,1.0,5.7142723936,5.6713079395,5.7572368477
DLR,2005-01-13,13.3,13.6,13.28,13.37,77500,5.7142723936,5.8431657559,5.7056795028,5.7443475115,77500,0.0,1.0,5.7443475115,5.7056795028,5.8431657559
DLR,2005-01-14,13.38,13.77,13.38,13.59,28100,5.7486439569,5.9162053278,5.7486439569,5.8388693104,28100,0.0,1.0,5.8388693104,5.7486439569,5.9162053278
DLR,2005-01-18,13.49,13.8,13.23,13.7,185900,5.7959048564,5.929094664,5.6841972757,5.8861302099,185900,0.0,1.0,5.8861302099,5.6841972757,5.929094664
DLR,2005-01-19,13.7,13.87,13.5,13.65,233600,5.8861302099,5.9591697819,5.8002013018,5.8646479829,233600,0.0,1.0,5.8646479829,5.8002013018,5.9591697819
DLR,2005-01-20,13.6,13.65,13.4,13.56,42100,5.8431657559,5.8646479829,5.7572368477,5.8259799742,42100,0.0,1.0,5.8259799742,5.7572368477,5.8646479829
DLR,2005-01-21,13.6,13.64,13.46,13.6,51400,5.8431657559,5.8603515375,5.7830155201,5.8431657559,51400,0.0,1.0,5.8431657559,5.7830155201,5.8603515375
DLR,2005-01-24,13.7,13.75,13.45,13.52,48000,5.8861302099,5.907612437,5.7787190747,5.8087941926,48000,0.0,1.0,5.8087941926,5.7787190747,5.907612437
DLR,2005-01-25,13.5,13.66,13.5,13.5,61100,5.8002013018,5.8689444283,5.8002013018,5.8002013018,61100,0.0,1.0,5.8002013018,5.8002013018,5.8689444283
DLR,2005-01-26,13.55,13.84,13.55,13.71,105300,5.8216835288,5.9462804457,5.8216835288,5.8904266553,105300,0.0,1.0,5.8904266553,5.8216835288,5.9462804457
DLR,2005-01-27,13.63,13.8,13.57,13.7,106000,5.8560550921,5.929094664,5.8302764196,5.8861302099,106000,0.0,1.0,5.8861302099,5.8302764196,5.929094664
DLR,2005-01-28,13.7,13.83,13.65,13.8,48100,5.8861302099,5.9419840003,5.8646479829,5.929094664,48100,0.0,1.0,5.929094664,5.8646479829,5.9419840003
DLR,2005-01-31,13.85,14.0,13.79,13.8,64800,5.9505768911,6.0150235722,5.9247982186,5.929094664,64800,0.0,1.0,5.929094664,5.9247982186,6.0150235722
DLR,2005-02-01,13.75,13.83,13.6,13.8,102900,5.907612437,5.9419840003,5.8431657559,5.929094664,102900,0.0,1.0,5.929094664,5.8431657559,5.9419840003
DLR,2005-02-02,13.85,14.03,13.84,13.95,118100,5.9505768911,6.0279129084,5.9462804457,5.9935413452,118100,0.0,1.0,5.9935413452,5.9462804457,6.0279129084
DLR,2005-02-03,13.97,14.05,13.85,13.98,51200,6.002134236,6.0365057992,5.9505768911,6.0064306814,51200,0.0,1.0,6.0064306814,5.9505768911,6.0365057992
DLR,2005-02-04,13.98,14.05,13.93,13.96,122900,6.0064306814,6.0365057992,5.9849484543,5.9978377906,122900,0.0,1.0,5.9978377906,5.9849484543,6.0365057992
DLR,2005-02-07,13.9,14.15,13.9,14.05,48300,5.9720591181,6.0794702533,5.9720591181,6.0365057992,48300,0.0,1.0,6.0365057992,5.9720591181,6.0794702533
DLR,2005-02-08,13.95,14.09,13.93,14.0,251800,5.9935413452,6.0536915809,5.9849484543,6.0150235722,251800,0.0,1.0,6.0150235722,5.9849484543,6.0536915809
DLR,2005-02-09,14.02,14.05,13.84,13.85,122000,6.023616463,6.0365057992,5.9462804457,5.9505768911,122000,0.0,1.0,5.9505768911,5.9462804457,6.0365057992
DLR,2005-02-10,13.9,14.22,13.9,14.11,75400,5.9720591181,6.1095453712,5.9720591181,6.0622844717,75400,0.0,1.0,6.0622844717,5.9720591181,6.1095453712
DLR,2005-02-11,14.05,14.6,14.0,14.56,125800,6.0365057992,6.2728102967,6.0150235722,6.2556245151,125800,0.0,1.0,6.2556245151,6.0150235722,6.2728102967
DLR,2005-02-14,14.6,14.63,14.4,14.5,120600,6.2728102967,6.285699633,6.1868813886,6.2298458426,120600,0.0,1.0,6.2298458426,6.1868813886,6.285699633
DLR,2005-02-15,14.51,14.61,14.3,14.47,89700,6.234142288,6.2771067421,6.1439169345,6.2169565064,89700,0.0,1.0,6.2169565064,6.1439169345,6.2771067421
DLR,2005-02-16,14.4,14.55,14.4,14.5,115600,6.1868813886,6.2513280697,6.1868813886,6.2298458426,115600,0.0,1.0,6.2298458426,6.1868813886,6.2513280697
DLR,2005-02-17,14.45,14.45,13.96,14.0,70000,6.2083636156,6.2083636156,5.9978377906,6.0150235722,70000,0.0,1.0,6.0150235722,5.9978377906,6.2083636156
