ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ESTC,2018-10-05,70.0,74.2,66.17,70.0,7173290,70.0,74.2,66.17,70.0,7173290,0.0,1.0,70.0,66.17,74.2
ESTC,2018-10-08,73.0,73.4,64.0,65.94,983684,73.0,73.4,64.0,65.94,983684,0.0,1.0,65.94,64.0,73.4
ESTC,2018-10-09,65.59,68.0,62.57,66.45,370441,65.59,68.0,62.57,66.45,370441,0.0,1.0,66.45,62.57,68.0
ESTC,2018-10-10,65.61,66.0,60.61,62.5,479619,65.61,66.0,60.61,62.5,479619,0.0,1.0,62.5,60.61,66.0
ESTC,2018-10-11,62.43,63.25,58.5516,60.87,751112,62.43,63.25,58.5516,60.87,751112,0.0,1.0,60.87,58.5516,63.25
ESTC,2018-10-12,63.0,64.0,61.06,62.68,178030,63.0,64.0,61.06,62.68,178030,0.0,1.0,62.68,61.06,64.0
ESTC,2018-10-15,63.0,63.94,59.39,60.94,239604,63.0,63.94,59.39,60.94,239604,0.0,1.0,60.94,59.39,63.94
ESTC,2018-10-16,62.05,65.4297,61.0,65.33,338080,62.05,65.4297,61.0,65.33,338080,0.0,1.0,65.33,61.0,65.4297
ESTC,2018-10-17,66.0,70.055,64.37,69.89,185261,66.0,70.055,64.37,69.89,185261,0.0,1.0,69.89,64.37,70.055
ESTC,2018-10-18,69.9,70.66,66.98,67.49,137187,69.9,70.66,66.98,67.49,137187,0.0,1.0,67.49,66.98,70.66
ESTC,2018-10-19,67.22,67.416,64.25,64.46,201904,67.22,67.416,64.25,64.46,201904,0.0,1.0,64.46,64.25,67.416
ESTC,2018-10-22,64.47,65.48,62.21,63.77,126784,64.47,65.48,62.21,63.77,126784,0.0,1.0,63.77,62.21,65.48
ESTC,2018-10-23,62.99,64.8,58.88,63.56,359894,62.99,64.8,58.88,63.56,359894,0.0,1.0,63.56,58.88,64.8
ESTC,2018-10-24,63.29,64.1999,60.85,60.95,138952,63.29,64.1999,60.85,60.95,138952,0.0,1.0,60.95,60.85,64.1999
ESTC,2018-10-25,61.03,63.55,61.0,61.85,114506,61.03,63.55,61.0,61.85,114506,0.0,1.0,61.85,61.0,63.55
ESTC,2018-10-26,61.14,62.581,59.1,60.52,102709,61.14,62.581,59.1,60.52,102709,0.0,1.0,60.52,59.1,62.581
ESTC,2018-10-29,61.41,62.555,60.0101,62.44,121338,61.41,62.555,60.0101,62.44,121338,0.0,1.0,62.44,60.0101,62.555
ESTC,2018-10-30,62.92,68.68,61.06,67.98,308581,62.92,68.68,61.06,67.98,308581,0.0,1.0,67.98,61.06,68.68
ESTC,2018-10-31,68.48,70.3,66.0,68.0,507295,68.48,70.3,66.0,68.0,507295,0.0,1.0,68.0,66.0,70.3
ESTC,2018-11-01,68.07,68.8839,66.4844,67.2,123760,68.07,68.8839,66.4844,67.2,123760,0.0,1.0,67.2,66.4844,68.8839
ESTC,2018-11-02,67.52,67.52,63.25,64.52,236310,67.52,67.52,63.25,64.52,236310,0.0,1.0,64.52,63.25,67.52
ESTC,2018-11-05,65.0,65.0,61.63,64.5,115987,65.0,65.0,61.63,64.5,115987,0.0,1.0,64.5,61.63,65.0
ESTC,2018-11-06,64.35,67.43,64.0,67.05,138153,64.35,67.43,64.0,67.05,138153,0.0,1.0,67.05,64.0,67.43
ESTC,2018-11-07,67.82,76.8,67.22,72.2,611967,67.82,76.8,67.22,72.2,611967,0.0,1.0,72.2,67.22,76.8
ESTC,2018-11-08,71.99,75.9,71.2412,73.01,316243,71.99,75.9,71.2412,73.01,316243,0.0,1.0,73.01,71.2412,75.9
ESTC,2018-11-09,72.54,72.54,69.0,71.4,221990,72.54,72.54,69.0,71.4,221990,0.0,1.0,71.4,69.0,72.54
ESTC,2018-11-12,71.61,72.53,63.5,66.5,171410,71.61,72.53,63.5,66.5,171410,0.0,1.0,66.5,63.5,72.53
ESTC,2018-11-13,66.55,68.8,64.11,64.52,192581,66.55,68.8,64.11,64.52,192581,0.0,1.0,64.52,64.11,68.8
ESTC,2018-11-14,65.25,66.09,62.5,62.85,119422,65.25,66.09,62.5,62.85,119422,0.0,1.0,62.85,62.5,66.09
ESTC,2018-11-15,62.51,66.66,62.51,66.29,105024,62.51,66.66,62.51,66.29,105024,0.0,1.0,66.29,62.51,66.66
ESTC,2018-11-16,65.37,71.23,65.37,70.75,201678,65.37,71.23,65.37,70.75,201678,0.0,1.0,70.75,65.37,71.23
ESTC,2018-11-19,70.0,71.8649,66.91,67.0,481811,70.0,71.8649,66.91,67.0,481811,0.0,1.0,67.0,66.91,71.8649
ESTC,2018-11-20,65.51,65.95,62.5,63.3,348092,65.51,65.95,62.5,63.3,348092,0.0,1.0,63.3,62.5,65.95
ESTC,2018-11-21,64.37,66.28,63.35,63.9,133770,64.37,66.28,63.35,63.9,133770,0.0,1.0,63.9,63.35,66.28
ESTC,2018-11-23,63.8,67.141,63.34,66.07,45631,63.8,67.141,63.34,66.07,45631,0.0,1.0,66.07,63.34,67.141
ESTC,2018-11-26,67.25,68.6593,65.4132,68.07,84353,67.25,68.6593,65.4132,68.07,84353,0.0,1.0,68.07,65.4132,68.6593
ESTC,2018-11-27,67.73,68.44,66.36,68.17,102496,67.73,68.44,66.36,68.17,102496,0.0,1.0,68.17,66.36,68.44
