ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
GE,2005-01-03,36.71,36.89,36.44,36.59,22229100,105.6375427158,106.1555148675,104.8605844882,105.292227948,4635810,0.0,1.0,105.292227948,104.8605844882,106.1555148675
GE,2005-01-04,36.6,36.85,36.12,36.15,18847600,105.3210041786,106.0404099449,103.9397451074,104.0260737994,3930608,0.0,1.0,104.0260737994,103.9397451074,106.0404099449
GE,2005-01-05,36.15,36.34,35.93,35.93,18957100,104.0260737994,104.5728221817,103.3929967251,103.3929967251,3953444,0.0,1.0,103.3929967251,103.3929967251,104.5728221817
GE,2005-01-06,36.03,36.42,35.94,36.22,19134500,103.6807590316,104.8030320269,103.4217729557,104.2275074139,3990441,0.0,1.0,104.2275074139,103.4217729557,104.8030320269
GE,2005-01-07,36.36,36.3685,35.85,36.0,15004000,104.630374643,104.6548344391,103.1627868799,103.5944303396,3129038,0.0,1.0,103.5944303396,103.1627868799,104.6548344391
GE,2005-01-10,35.88,36.14,35.73,35.91,16452500,103.2491155718,103.9972975687,102.8174721121,103.3354442638,3431118,0.0,1.0,103.3354442638,102.8174721121,103.9972975687
GE,2005-01-11,35.6,35.73,35.32,35.4,18909500,102.4433811136,102.8174721121,101.6376466554,101.8678565006,3943518,0.0,1.0,101.8678565006,101.6376466554,102.8174721121
GE,2005-01-12,35.43,35.7,35.1,35.68,22979500,101.9541851926,102.7311434201,101.0045695811,102.6735909588,4792303,0.0,1.0,102.6735909588,101.0045695811,102.7311434201
GE,2005-01-13,35.6,35.64,35.1,35.23,14432800,102.4433811136,102.5584860362,101.0045695811,101.3786605796,3009916,0.0,1.0,101.3786605796,101.0045695811,102.5584860362
GE,2005-01-14,35.36,35.62,35.27,35.52,14576900,101.752751578,102.5009335749,101.4937655022,102.2131712684,3039967,0.0,1.0,102.2131712684,101.4937655022,102.5009335749
GE,2005-01-18,35.28,35.98,35.07,35.96,20237800,101.5225417328,103.5368778783,100.9182408892,103.479325417,4220530,0.0,1.0,103.479325417,100.9182408892,103.5368778783
GE,2005-01-19,35.82,35.9,35.41,35.44,12727900,103.0764581879,103.3066680331,101.8966327313,101.9829614232,2654364,0.0,1.0,101.9829614232,101.8966327313,103.3066680331
GE,2005-01-20,35.45,35.7,35.28,35.37,17902900,102.0117376539,102.7311434201,101.5225417328,101.7815278087,3733594,0.0,1.0,101.7815278087,101.5225417328,102.7311434201
