ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
GOOGL,2005-01-03,197.4,203.64,195.46,202.71,31656700,4.906519765,5.0616194779,4.8582996619,5.0385036553,1262359151,0.0,1.0,5.0385036553,4.8582996619,5.0616194779
GOOGL,2005-01-04,201.33,202.93,193.48,194.5,27484200,5.0042027573,5.0439719144,4.80908533,4.8344381676,1095974356,0.0,1.0,4.8344381676,4.80908533,5.0439719144
GOOGL,2005-01-05,193.45,196.9,192.23,193.51,16456700,4.8083396583,4.8940919034,4.7780156759,4.8098310017,656235989,0.0,1.0,4.8098310017,4.7780156759,4.8940919034
GOOGL,2005-01-06,195.25,195.9,187.72,188.55,20753400,4.8530799601,4.8692361802,4.6659163642,4.6865466144,827573449,0.0,1.0,4.6865466144,4.6659163642,4.8692361802
GOOGL,2005-01-07,190.64,194.25,188.78,193.85,19306400,4.738495076,4.8282242368,4.6922634308,4.8182819475,769872119,0.0,1.0,4.8182819475,4.6922634308,4.8282242368
GOOGL,2005-01-10,194.5,198.1,191.83,195.06,15064100,4.8344381676,4.9239187713,4.7680733866,4.8483573727,600703942,0.0,1.0,4.8483573727,4.7680733866,4.9239187713
GOOGL,2005-01-11,195.62,197.71,193.18,193.54,13903400,4.8622765777,4.9142250392,4.801628613,4.8105766733,554419261,0.0,1.0,4.8105766733,4.801628613,4.9142250392
GOOGL,2005-01-12,194.33,195.93,190.5,195.38,16339200,4.8302126947,4.8699818519,4.7350152747,4.8563112041,651550498,0.0,1.0,4.8563112041,4.7350152747,4.8699818519
GOOGL,2005-01-13,195.38,197.39,194.05,195.33,13685100,4.8563112041,4.9062712078,4.8232530922,4.8550684179,545714216,0.0,1.0,4.8550684179,4.8232530922,4.9062712078
GOOGL,2005-01-14,196.0,200.01,194.13,199.97,19261300,4.8717217525,4.9713932026,4.8252415501,4.9703989737,768073688,0.0,1.0,4.9703989737,4.8252415501,4.9713932026
GOOGL,2005-01-18,200.89,205.02,198.66,203.9,26318800,4.9932662391,5.095920376,4.9378379763,5.068081966,1049502255,0.0,1.0,5.068081966,4.9378379763,5.095920376
GOOGL,2005-01-19,204.64,205.3,196.71,197.3,22492800,5.0864752012,5.1028799785,4.889369316,4.9040341927,896934675,0.0,1.0,4.9040341927,4.889369316,5.1028799785
GOOGL,2005-01-20,192.58,196.25,192.0,193.92,17985100,4.7867151791,4.8779356833,4.7722988596,4.8200218482,717183268,0.0,1.0,4.8200218482,4.7722988596,4.8779356833
GOOGL,2005-01-21,194.44,195.36,188.12,188.28,18498200,4.8329468243,4.8558140896,4.6758586535,4.6798355692,737643913,0.0,1.0,4.6798355692,4.6758586535,4.8558140896
GOOGL,2005-01-24,188.69,189.33,180.32,180.72,28017300,4.6900264157,4.7059340786,4.4819840123,4.4919263016,1117232531,0.0,1.0,4.4919263016,4.4819840123,4.7059340786
GOOGL,2005-01-25,182.2,182.24,176.29,177.12,21297000,4.528712772,4.5297070009,4.3818154477,4.402445698,849250328,0.0,1.0,4.402445698,4.3818154477,4.5297070009
GOOGL,2005-01-26,179.27,189.41,179.15,189.24,24591100,4.4558855029,4.7079225364,4.4529028161,4.7036970635,980607585,0.0,1.0,4.7036970635,4.4529028161,4.7079225364
GOOGL,2005-01-27,188.76,188.86,185.2,188.08,13241500,4.6917663163,4.6942518886,4.6032799416,4.6748644245,528024990,0.0,1.0,4.6748644245,4.6032799416,4.6942518886
GOOGL,2005-01-28,190.13,194.7,186.34,190.34,24391900,4.7258186571,4.8394093123,4.6316154661,4.731038359,972664181,0.0,1.0,4.731038359,4.6316154661,4.8394093123
GOOGL,2005-01-31,193.69,196.36,191.72,195.62,19174200,4.8143050318,4.8806698128,4.7653392571,4.8622765777,764600443,0.0,1.0,4.8622765777,4.7653392571,4.8806698128
GOOGL,2005-02-01,194.38,203.75,190.63,191.9,37640300,4.8314554809,5.0643536075,4.7382465188,4.7698132873,1500964319,0.0,1.0,4.7698132873,4.7382465188,5.0643536075
GOOGL,2005-02-02,215.55,216.8,203.66,205.96,65533000,5.3576511416,5.3887207956,5.0621165924,5.1192847558,2613228236,0.0,1.0,5.1192847558,5.0621165924,5.3887207956
GOOGL,2005-02-03,205.99,213.37,205.81,210.86,25950200,5.1200304275,5.3034656649,5.1155563973,5.2410777996,1034803768,0.0,1.0,5.2410777996,5.1155563973,5.3034656649
GOOGL,2005-02-04,206.47,207.75,202.6,204.36,29608900,5.1319611747,5.1637765004,5.0357695258,5.0795155987,1180700006,0.0,1.0,5.0795155987,5.0357695258,5.1637765004
GOOGL,2005-02-07,205.26,206.4,195.51,196.03,25894800,5.1018857496,5.130221274,4.8595424481,4.8724674242,1032594609,0.0,1.0,4.8724674242,4.8595424481,5.130221274
GOOGL,2005-02-08,196.96,200.02,194.53,198.64,22937000,4.8955832468,4.9716417599,4.8351838393,4.9373408618,914647827,0.0,1.0,4.9373408618,4.8351838393,4.9716417599
GOOGL,2005-02-09,200.76,201.6,189.46,191.58,34308600,4.990034995,5.0109138026,4.7091653226,4.7618594558,1368107705,0.0,1.0,4.7618594558,4.7091653226,5.0109138026
GOOGL,2005-02-10,191.97,192.21,185.25,187.98,37927400,4.7715531879,4.7775185615,4.6045227278,4.6723788522,1512412869,0.0,1.0,4.6723788522,4.6045227278,4.7775185615
GOOGL,2005-02-11,186.66,192.32,186.07,187.4,26205700,4.6395692975,4.780252691,4.6249044208,4.6579625327,1044992220,0.0,1.0,4.6579625327,4.6249044208,4.780252691
GOOGL,2005-02-14,186.08,193.08,181.0,192.99,77047200,4.6251529781,4.7991430407,4.4988859041,4.7969060256,3072374506,0.0,1.0,4.7969060256,4.4988859041,4.7991430407
