ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
GRID,2009-11-17,30.1,30.32,29.98,30.15,43500,25.0678230156,25.2510429845,24.9678848508,25.1094639176,43500,0.0,1.0,25.1094639176,24.9678848508,25.2510429845
GRID,2009-11-18,30.66,30.765,30.2425,30.34,206600,25.5342011182,25.6216470125,25.1864995864,25.2676993453,206600,0.0,1.0,25.2676993453,25.1864995864,25.6216470125
GRID,2009-11-19,30.47,30.47,29.0201,29.52,107000,25.3759656906,25.3759656906,24.1684628138,24.5847885522,107000,0.0,1.0,24.5847885522,24.1684628138,25.3759656906
GRID,2009-11-20,29.58,29.58,29.25,29.328,29900,24.6347576346,24.6347576346,24.3599276813,24.4248874884,29900,0.0,1.0,24.4248874884,24.3599276813,24.6347576346
GRID,2009-11-23,30.13,30.28,29.8,30.04,29400,25.0928075568,25.2177302629,24.8179776035,25.0178539332,29400,0.0,1.0,25.0178539332,24.8179776035,25.2177302629
GRID,2009-11-24,30.2,30.2,29.64,30.17,75400,25.1511048196,25.1511048196,24.684726717,25.1261202784,75400,0.0,1.0,25.1261202784,24.684726717,25.1511048196
GRID,2009-11-25,30.04,30.49,30.04,30.43,62300,25.0178539332,25.3926220514,25.0178539332,25.3426529689,62300,0.0,1.0,25.3426529689,25.0178539332,25.3926220514
GRID,2009-11-27,29.95,29.99,29.48,29.87,21600,24.9429003096,24.9762130312,24.5514758306,24.8762748663,21600,0.0,1.0,24.8762748663,24.5514758306,24.9762130312
GRID,2009-11-30,29.99,29.99,29.6301,29.81,10900,24.9762130312,24.9762130312,24.6764818184,24.8263057839,10900,0.0,1.0,24.8263057839,24.6764818184,24.9762130312
GRID,2009-12-01,30.05,30.6699,30.02,30.5401,32400,25.0261821136,25.5424460168,25.0011975724,25.4343462352,32400,0.0,1.0,25.4343462352,25.0011975724,25.5424460168
GRID,2009-12-02,30.7,30.99,30.53,30.7,16500,25.5675138398,25.8090310716,25.425934773,25.5675138398,16500,0.0,1.0,25.5675138398,25.425934773,25.8090310716
GRID,2009-12-03,31.53,31.53,30.5,30.59,31000,26.2587528134,26.2587528134,25.4009502318,25.4759038554,31000,0.0,1.0,25.4759038554,25.4009502318,26.2587528134
GRID,2009-12-04,30.95,31.1904,30.39,30.76,19400,25.7757183499,25.9759278068,25.3093402473,25.6174829223,19400,0.0,1.0,25.6174829223,25.3093402473,25.9759278068
GRID,2009-12-07,30.6,31.17,30.6,31.09,16000,25.4842320358,25.9589383188,25.4842320358,25.8923128756,16000,0.0,1.0,25.8923128756,25.4842320358,25.9589383188
GRID,2009-12-08,31.08,31.08,30.64,30.83,13300,25.8839846952,25.8839846952,25.5175447574,25.6757801851,13300,0.0,1.0,25.6757801851,25.5175447574,25.8839846952
GRID,2009-12-09,31.1,31.1,30.385,30.73,11100,25.900641056,25.900641056,25.3051761571,25.5924983811,11100,0.0,1.0,25.5924983811,25.3051761571,25.900641056
GRID,2009-12-10,30.53,30.9,30.53,30.86,15100,25.425934773,25.7340774479,25.425934773,25.7007647263,15100,0.0,1.0,25.7007647263,25.425934773,25.7340774479
GRID,2009-12-11,31.0,31.05,30.848,31.0,9800,25.817359252,25.859000154,25.6907709098,25.817359252,9800,0.0,1.0,25.817359252,25.6907709098,25.859000154
GRID,2009-12-14,31.8,31.8,30.9415,31.55,18700,26.4836136843,26.4836136843,25.7686393966,26.2754091742,18700,0.0,1.0,26.2754091742,25.7686393966,26.4836136843
GRID,2009-12-15,31.53,31.69,31.19,31.54,17100,26.2587528134,26.3920036998,25.9755946796,26.2670809938,17100,0.0,1.0,26.2670809938,25.9755946796,26.3920036998
GRID,2009-12-16,31.74,31.97,31.685,31.82,20700,26.4336446018,26.6251927511,26.3878396096,26.5002700451,20700,0.0,1.0,26.5002700451,26.3878396096,26.6251927511
GRID,2009-12-17,31.71,31.71,31.22,31.3,18900,26.4086600606,26.4086600606,26.0005792208,26.0672046641,18900,0.0,1.0,26.0672046641,26.0005792208,26.4086600606
GRID,2009-12-18,31.56,31.57,31.25,31.57,31000,26.2837373546,26.292065535,26.0255637621,26.292065535,31000,0.0,1.0,26.292065535,26.0255637621,26.292065535
GRID,2009-12-21,31.47,31.92,31.32,31.85,13900,26.2087837309,26.5835518491,26.0838610249,26.5252545863,13900,0.0,1.0,26.5252545863,26.0838610249,26.5835518491
GRID,2009-12-22,32.06,32.3699,32.06,32.28,22700,26.7199977847,26.9782799841,26.7199977847,26.9033539766,22700,0.024,1.0,26.9033539766,26.7199977847,26.9782799841
GRID,2009-12-23,32.5,32.5,32.096,32.37,17400,27.0867101685,27.0867101685,26.7500015252,26.9783633279,17400,0.0,1.0,26.9783633279,26.7500015252,27.0867101685
GRID,2009-12-24,32.58,32.58,32.4,32.58,109500,27.1533851474,27.1533851474,27.0033664449,27.1533851474,109500,0.0,1.0,27.1533851474,27.0033664449,27.1533851474
GRID,2009-12-28,32.49,32.66,32.38,32.513,18900,27.0783757962,27.2200601263,26.9866977002,27.0975448526,18900,0.0,1.0,27.0975448526,26.9866977002,27.2200601263
GRID,2009-12-29,32.6088,32.6088,32.2705,32.34,15200,27.1773881398,27.1773881398,26.8954363229,26.9533602108,15200,0.0,1.0,26.9533602108,26.8954363229,27.1773881398
GRID,2009-12-30,32.45,32.45,32.15,32.3,10600,27.0450383067,27.0450383067,26.7950071359,26.9200227213,10600,0.0,1.0,26.9200227213,26.7950071359,27.0450383067
GRID,2009-12-31,32.47,32.47,32.11,32.11,9900,27.0617070515,27.0617070515,26.7616696465,26.7616696465,9900,0.0,1.0,26.7616696465,26.7616696465,27.0617070515
GRID,2010-01-04,32.48,32.85,32.48,32.82,11700,27.0700414238,27.3784132011,27.0700414238,27.353410084,11700,0.0,1.0,27.353410084,27.0700414238,27.3784132011
GRID,2010-01-05,33.0,33.1789,32.9,33.05,21400,27.5034287865,27.652530708,27.4200850629,27.5451006483,21400,0.0,1.0,27.5451006483,27.4200850629,27.652530708
GRID,2010-01-06,33.1,33.48,33.1,33.36,15000,27.5867725101,27.9034786598,27.5867725101,27.8034661914,15000,0.0,1.0,27.8034661914,27.5867725101,27.9034786598
GRID,2010-01-07,33.28,33.38,32.91,33.37,24800,27.7367912126,27.8201349362,27.4284194353,27.8118005638,24800,0.0,1.0,27.8118005638,27.4284194353,27.8201349362
GRID,2010-01-08,33.32,33.5,33.07,33.5,25600,27.770128702,27.9201474045,27.561769393,27.9201474045,25600,0.0,1.0,27.9201474045,27.561769393,27.9201474045
GRID,2010-01-11,33.72,33.72,33.2095,33.36,22800,28.1035035964,28.1035035964,27.6780338874,27.8034661914,22800,0.0,1.0,27.8034661914,27.6780338874,28.1035035964
GRID,2010-01-12,33.37,33.37,32.83,33.02,22700,27.8118005638,27.8118005638,27.3617444564,27.5200975312,22700,0.0,1.0,27.5200975312,27.3617444564,27.8118005638
GRID,2010-01-13,33.21,33.4,32.63,33.37,14000,27.6784506061,27.8368036809,27.1950570092,27.8118005638,14000,0.0,1.0,27.8118005638,27.1950570092,27.8368036809
GRID,2010-01-14,33.4001,33.4598,33.25,33.3,9500,27.8368870246,27.8866432276,27.7117880955,27.7534599573,9500,0.0,1.0,27.7534599573,27.7117880955,27.8866432276
GRID,2010-01-15,33.06,33.06,32.17,32.4,13900,27.5534350207,27.5534350207,26.8116758807,27.0033664449,13900,0.0,1.0,27.0033664449,26.8116758807,27.5534350207
GRID,2010-01-19,32.37,32.67,32.14,32.67,5200,26.9783633279,27.2283944986,26.7866727636,27.2283944986,5200,0.0,1.0,27.2283944986,26.7866727636,27.2283944986
GRID,2010-01-20,32.2,32.25,31.62,31.93,20100,26.8366789977,26.8783508595,26.3532854009,26.611650944,20100,0.0,1.0,26.611650944,26.3532854009,26.8783508595
GRID,2010-01-21,32.1,32.1,30.95,31.122,24900,26.7533352741,26.7533352741,25.7948824528,25.9382336574,24900,0.0,1.0,25.9382336574,25.7948824528,26.7533352741
GRID,2010-01-22,31.19,31.19,30.07,30.07,40700,25.9949073894,25.9949073894,25.0614576852,25.0614576852,40700,0.0,1.0,25.0614576852,25.0614576852,25.9949073894
GRID,2010-01-25,31.3,31.3,30.194,30.3544,25000,26.0865854854,26.0865854854,25.1648039024,25.2984872351,25000,0.0,1.0,25.2984872351,25.1648039024,26.0865854854
GRID,2010-01-26,30.37,30.6,30.0,30.17,41900,25.3114888559,25.5031794202,25.0031170786,25.1448014088,41900,0.0,1.0,25.1448014088,25.0031170786,25.5031794202
GRID,2010-01-27,30.28,30.28,29.6101,30.26,48300,25.2364795047,25.2364795047,24.6781599003,25.21981076,48300,0.0,1.0,25.21981076,24.6781599003,25.2364795047
GRID,2010-01-28,30.31,30.37,29.4401,29.64,34300,25.2614826218,25.3114888559,24.5364755702,24.7030796737,34300,0.0,1.0,24.7030796737,24.5364755702,25.3114888559
GRID,2010-01-29,29.65,30.157,29.38,29.43,25100,24.7114140461,25.1339667247,24.4863859924,24.5280578541,25100,0.0,1.0,24.5280578541,24.4863859924,25.1339667247
GRID,2010-02-01,29.82,29.979,29.65,29.89,24700,24.8530983762,24.9856148967,24.7114140461,24.9114389827,24700,0.0,1.0,24.9114389827,24.7114140461,24.9856148967
GRID,2010-02-02,30.01,30.4,29.9,30.38,57000,25.011451451,25.336491973,24.919773355,25.3198232283,57000,0.0,1.0,25.3198232283,24.919773355,25.336491973
GRID,2010-02-03,30.09,30.36,29.9665,30.046,3400,25.0781264299,25.3031544836,24.9751969312,25.0414551915,3400,0.0,1.0,25.0414551915,24.9751969312,25.3031544836
GRID,2010-02-04,29.5169,29.5169,28.9,28.9,17400,24.60048355,24.60048355,24.0863361191,24.0863361191,17400,0.0,1.0,24.0863361191,24.0863361191,24.60048355
GRID,2010-02-05,28.9,28.9,28.0,28.63,17200,24.0863361191,24.0863361191,23.3362426067,23.8613080654,17200,0.0,1.0,23.8613080654,23.3362426067,24.0863361191
GRID,2010-02-08,28.77,28.96,28.45,28.46,5000,23.9779892784,24.1363423532,23.7112893629,23.7196237353,5000,0.0,1.0,23.7196237353,23.7112893629,24.1363423532
GRID,2010-02-09,28.59,29.26,28.59,28.99,21900,23.8279705759,24.386373524,23.8279705759,24.1613454703,21900,0.0,1.0,24.1613454703,23.8279705759,24.386373524
GRID,2010-02-10,28.835,28.94,28.555,28.8424,6400,24.0321626988,24.1196736085,23.7988002727,24.0383301343,6400,0.0,1.0,24.0383301343,23.7988002727,24.1196736085
GRID,2010-02-11,29.02,29.3199,28.6,29.2186,2400,24.1863485874,24.4362964145,23.8363049483,24.3518692225,2400,0.0,1.0,24.3518692225,23.8363049483,24.4362964145
GRID,2010-02-12,29.1,29.1,28.58,28.975,4300,24.2530235663,24.2530235663,23.8196362036,24.1488439118,4300,0.0,1.0,24.1488439118,23.8196362036,24.2530235663
GRID,2010-02-16,29.01,29.79,29.01,29.4,8900,24.178014215,24.8280952591,24.178014215,24.5030547371,8900,0.0,1.0,24.5030547371,24.178014215,24.8280952591
GRID,2010-02-17,29.58,29.62,29.43,29.47,4700,24.6530734395,24.686410929,24.5280578541,24.5613953436,4700,0.0,1.0,24.5613953436,24.5280578541,24.686410929
GRID,2010-02-18,29.24,30.045,29.24,30.0045,3100,24.3697047793,25.0406217543,24.3697047793,25.0068675462,3100,0.0,1.0,25.0068675462,24.3697047793,25.0406217543
GRID,2010-02-19,29.6701,29.98,29.5215,29.98,3300,24.7281661345,24.9864483339,24.6043173612,24.9864483339,3300,0.0,1.0,24.9864483339,24.6043173612,24.9864483339
GRID,2010-02-22,30.25,30.25,29.8701,29.94,2200,25.2114763876,25.2114763876,24.8948535817,24.9531108445,2200,0.0,1.0,24.9531108445,24.8948535817,25.2114763876
GRID,2010-02-23,29.555,29.555,29.26,29.38,2400,24.6322375086,24.6322375086,24.386373524,24.4863859924,2400,0.0,1.0,24.4863859924,24.386373524,24.6322375086
GRID,2010-02-24,29.42,29.605,29.3755,29.45,2400,24.5197234818,24.6739093704,24.4826355248,24.5447265989,2400,0.0,1.0,24.5447265989,24.4826355248,24.6739093704
GRID,2010-02-25,28.98,28.9978,28.69,28.9978,4800,24.153011098,24.1678462808,23.9113142995,24.1678462808,4800,0.0,1.0,24.1678462808,23.9113142995,24.1678462808
GRID,2010-02-26,28.95,29.08,28.94,29.07,26700,24.1280079809,24.2363548216,24.1196736085,24.2280204492,26700,0.0,1.0,24.2280204492,24.1196736085,24.2363548216
GRID,2010-03-01,30.52,30.52,29.275,29.63,85100,25.4365044413,25.4365044413,24.3988750826,24.6947453013,85100,0.0,1.0,24.6947453013,24.3988750826,25.4365044413
GRID,2010-03-02,29.86,30.07,29.78,29.93,59500,24.8864358656,25.0614576852,24.8197608867,24.9447764721,59500,0.0,1.0,24.9447764721,24.8197608867,25.0614576852
GRID,2010-03-03,30.09,30.43,30.0638,30.16,27900,25.0781264299,25.3614950901,25.0562903743,25.1364670364,27900,0.0,1.0,25.1364670364,25.0562903743,25.3614950901
GRID,2010-03-04,30.29,30.314,29.9155,30.13,30900,25.2448138771,25.2648163707,24.9326916322,25.1114639193,30900,0.0,1.0,25.1114639193,24.9326916322,25.2648163707
GRID,2010-03-05,30.37,30.47,30.158,30.42,25600,25.3114888559,25.3948325795,25.1348001619,25.3531607177,25600,0.0,1.0,25.3531607177,25.1348001619,25.3948325795
GRID,2010-03-08,30.67,30.67,30.39,30.48,28700,25.5615200267,25.5615200267,25.3281576007,25.4031669519,28700,0.0,1.0,25.4031669519,25.3281576007,25.5615200267
GRID,2010-03-09,30.45,30.52,30.2,30.33,40700,25.3781638348,25.4365044413,25.1698045258,25.2781513665,40700,0.0,1.0,25.2781513665,25.1698045258,25.4365044413
GRID,2010-03-10,30.55,30.664,30.3801,30.54,8600,25.4615075584,25.5565194033,25.319906572,25.4531731861,8600,0.0,1.0,25.4531731861,25.319906572,25.5565194033
GRID,2010-03-11,30.49,30.79,30.38,30.79,22500,25.4115013243,25.661532495,25.3198232283,25.661532495,22500,0.0,1.0,25.661532495,25.3198232283,25.661532495
GRID,2010-03-12,31.0,31.0,30.678,30.89,19300,25.8365543146,25.8365543146,25.5681875246,25.7448762186,19300,0.0,1.0,25.7448762186,25.5681875246,25.8365543146
GRID,2010-03-15,30.93,30.93,30.39,30.4976,21400,25.7782137081,25.7782137081,25.3281576007,25.4178354473,21400,0.0,1.0,25.4178354473,25.3281576007,25.7782137081
GRID,2010-03-16,30.73,30.84,30.56,30.84,7600,25.6115262609,25.7032043568,25.4698419308,25.7032043568,7600,0.0,1.0,25.7032043568,25.4698419308,25.7032043568
GRID,2010-03-17,31.02,31.12,30.96,30.96,11300,25.8532230593,25.9365667829,25.8032168252,25.8032168252,11300,0.0,1.0,25.8032168252,25.8032168252,25.9365667829
GRID,2010-03-18,31.02,31.02,30.7064,30.86,6800,25.8532230593,25.8532230593,25.5918571421,25.7198731016,6800,0.0,1.0,25.7198731016,25.5918571421,25.8532230593
GRID,2010-03-19,30.6701,30.68,30.3301,30.4,9300,25.5616033705,25.5698543991,25.2782347102,25.336491973,9300,0.0,1.0,25.336491973,25.2782347102,25.5698543991
GRID,2010-03-22,30.25,30.7625,30.205,30.7625,3800,25.2114763876,25.6386129711,25.173971712,25.6386129711,3800,0.0,1.0,25.6386129711,25.173971712,25.6386129711
GRID,2010-03-23,30.89,31.184,30.73,31.184,8200,25.7448762186,25.989906766,25.6115262609,25.989906766,8200,0.0,1.0,25.989906766,25.6115262609,25.989906766
GRID,2010-03-24,31.12,31.12,30.7524,30.76,7300,25.9365667829,25.9365667829,25.630195255,25.636529378,7300,0.0,1.0,25.636529378,25.630195255,25.9365667829
GRID,2010-03-25,30.991,31.19,30.72,30.72,8000,25.8290533795,25.9949073894,25.6031918885,25.6031918885,8000,0.0,1.0,25.6031918885,25.6031918885,25.9949073894
GRID,2010-03-26,31.05,31.05,30.6991,30.794,7900,25.8782261764,25.8782261764,25.5857730503,25.664866244,7900,0.0,1.0,25.664866244,25.5857730503,25.8782261764
GRID,2010-03-29,30.9601,31.06,30.9601,31.06,3000,25.8033001689,25.8865605488,25.8033001689,25.8865605488,3000,0.0,1.0,25.8865605488,25.8033001689,25.8865605488
GRID,2010-03-30,31.25,31.25,30.807,30.87,5000,26.0449136236,26.0449136236,25.6757009281,25.7282074739,5000,0.0,1.0,25.7282074739,25.6757009281,26.0449136236
GRID,2010-03-31,30.66,31.039,30.66,30.739,21500,25.5531856544,25.8690583668,25.5531856544,25.619027196,21500,0.0,1.0,25.619027196,25.5531856544,25.8690583668
GRID,2010-04-01,31.02,31.109,30.93,31.06,7300,25.8532230593,25.9273989733,25.7782137081,25.8865605488,7300,0.0,1.0,25.8865605488,25.7782137081,25.9273989733
GRID,2010-04-05,31.31,31.33,31.2,31.32,5200,26.0949198577,26.1115886025,26.0032417618,26.1032542301,5200,0.0,1.0,26.1032542301,26.0032417618,26.1115886025
GRID,2010-04-06,31.34,31.54,31.3,31.54,16400,26.1199229748,26.286610422,26.0865854854,26.286610422,16400,0.0,1.0,26.286610422,26.0865854854,26.286610422
GRID,2010-04-07,31.55,31.58,31.421,31.48,4400,26.2949447944,26.3199479115,26.1874313909,26.2366041879,4400,0.0,1.0,26.2366041879,26.1874313909,26.3199479115
GRID,2010-04-08,31.3,31.66,31.2735,31.66,6000,26.0865854854,26.3866228903,26.0644993986,26.3866228903,6000,0.0,1.0,26.3866228903,26.0644993986,26.3866228903
GRID,2010-04-09,31.6525,31.79,31.6525,31.7556,7100,26.3803721111,26.494969731,26.3803721111,26.4662994901,7100,0.0,1.0,26.4662994901,26.3803721111,26.494969731
GRID,2010-04-12,31.78,31.86,31.7401,31.796,8100,26.4866353586,26.5533103375,26.4533812129,26.4999703544,8100,0.0,1.0,26.4999703544,26.4533812129,26.5533103375
GRID,2010-04-13,31.76,31.76,31.45,31.7599,9500,26.4699666139,26.4699666139,26.2116010708,26.4698832702,9500,0.0,1.0,26.4698832702,26.2116010708,26.4699666139
GRID,2010-04-14,31.85,31.8701,31.85,31.87,1400,26.5449759652,26.5617280536,26.5449759652,26.5616447099,1400,0.0,1.0,26.5616447099,26.5449759652,26.5617280536
