ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
HOOD,2021-07-29,38.0,40.25,33.35,34.82,101816824,38.0,40.25,33.35,34.82,101816824,0.0,1.0,34.82,33.35,40.25
HOOD,2021-07-30,34.93,36.9795,33.25,35.15,40632228,34.93,36.9795,33.25,35.15,40632228,0.0,1.0,35.15,33.25,36.9795
HOOD,2021-08-02,35.97,37.98,35.3,37.68,19948534,35.97,37.98,35.3,37.68,19948534,0.0,1.0,37.68,35.3,37.98
HOOD,2021-08-03,37.911,48.59,37.1594,46.8,93819198,37.911,48.59,37.1594,46.8,93819198,0.0,1.0,46.8,37.1594,48.59
HOOD,2021-08-04,54.45,85.0,54.4,70.39,172986777,54.45,85.0,54.4,70.39,172986777,0.0,1.0,70.39,54.4,85.0
HOOD,2021-08-05,62.9,66.5,50.46,50.97,82470402,62.9,66.5,50.46,50.97,82470402,0.0,1.0,50.97,50.46,66.5
HOOD,2021-08-06,57.77,60.88,53.1,55.01,70131720,57.77,60.88,53.1,55.01,70131720,0.0,1.0,55.01,53.1,60.88
HOOD,2021-08-09,59.0835,59.96,56.0,56.83,27495240,59.0835,59.96,56.0,56.83,27495240,0.0,1.0,56.83,56.0,59.96
HOOD,2021-08-10,56.4852,58.49,53.5,53.94,17066352,56.4852,58.49,53.5,53.94,17066352,0.0,1.0,53.94,53.5,58.49
HOOD,2021-08-11,54.5683,54.6058,49.0,51.19,15893137,54.5683,54.6058,49.0,51.19,15893137,0.0,1.0,51.19,49.0,54.6058
HOOD,2021-08-12,50.125,50.39,47.52,48.1,13426242,50.125,50.39,47.52,48.1,13426242,0.0,1.0,48.1,47.52,50.39
HOOD,2021-08-13,48.45,53.2,48.22,50.63,25522129,48.45,53.2,48.22,50.63,25522129,0.0,1.0,50.63,48.22,53.2
HOOD,2021-08-16,49.4,49.79,47.0,47.19,12052503,49.4,49.79,47.0,47.19,12052503,0.0,1.0,47.19,47.0,49.79
HOOD,2021-08-17,47.3,48.85,46.01,46.67,9160299,47.3,48.85,46.01,46.67,9160299,0.0,1.0,46.67,46.01,48.85
HOOD,2021-08-18,47.9651,52.06,47.2,49.8,24407995,47.9651,52.06,47.2,49.8,24407995,0.0,1.0,49.8,47.2,52.06
HOOD,2021-08-19,45.06,46.88,44.135,44.69,18517574,45.06,46.88,44.135,44.69,18517574,0.0,1.0,44.69,44.135,46.88
HOOD,2021-08-20,45.2,45.56,42.44,42.64,11764299,45.2,45.56,42.44,42.64,11764299,0.0,1.0,42.64,42.44,45.56
HOOD,2021-08-23,44.16,46.85,43.32,45.29,15664716,44.16,46.85,43.32,45.29,15664716,0.0,1.0,45.29,43.32,46.85
HOOD,2021-08-24,46.46,50.24,46.0,49.38,17122747,46.46,50.24,46.0,49.38,17122747,0.0,1.0,49.38,46.0,50.24
HOOD,2021-08-25,48.425,50.99,47.5,48.98,10837516,48.425,50.99,47.5,48.98,10837516,0.0,1.0,48.98,47.5,50.99
HOOD,2021-08-26,48.0,49.8499,46.4,46.86,7187728,48.0,49.8499,46.4,46.86,7187728,0.0,1.0,46.86,46.4,49.8499
HOOD,2021-08-27,46.7986,48.1,46.14,46.87,6058053,46.7986,48.1,46.14,46.87,6058053,0.0,1.0,46.87,46.14,48.1
HOOD,2021-08-30,46.3,46.6,42.56,43.64,12363840,46.3,46.6,42.56,43.64,12363840,0.0,1.0,43.64,42.56,46.6
HOOD,2021-08-31,42.03,44.5,41.51,44.32,8847512,42.03,44.5,41.51,44.32,8847512,0.0,1.0,44.32,41.51,44.5
HOOD,2021-09-01,43.76,47.12,43.7,44.57,11012953,43.76,47.12,43.7,44.57,11012953,0.0,1.0,44.57,43.7,47.12
HOOD,2021-09-02,45.202,45.7999,44.2,44.49,4099172,45.202,45.7999,44.2,44.49,4099172,0.0,1.0,44.49,44.2,45.7999
HOOD,2021-09-03,44.6928,44.88,43.15,43.35,4676645,44.6928,44.88,43.15,43.35,4676645,0.0,1.0,43.35,43.15,44.88
HOOD,2021-09-07,43.33,43.39,41.75,42.13,6179176,43.33,43.39,41.75,42.13,6179176,0.0,1.0,42.13,41.75,43.39
HOOD,2021-09-08,42.0,42.21,39.81,40.05,7834862,42.0,42.21,39.81,40.05,7834862,0.0,1.0,40.05,39.81,42.21
HOOD,2021-09-09,40.5,42.54,40.3813,41.28,6981918,40.5,42.54,40.3813,41.28,6981918,0.0,1.0,41.28,40.3813,42.54
HOOD,2021-09-10,41.5,42.52,40.72,41.17,5521802,41.5,42.52,40.72,41.17,5521802,0.0,1.0,41.17,40.72,42.52
HOOD,2021-09-13,41.22,41.3899,39.8,40.6,4309173,41.22,41.3899,39.8,40.6,4309173,0.0,1.0,40.6,39.8,41.3899
HOOD,2021-09-14,41.0,41.0,39.23,40.02,4298047,41.0,41.0,39.23,40.02,4298047,0.0,1.0,40.02,39.23,41.0
HOOD,2021-09-15,40.2,41.94,39.83,41.87,5835873,40.2,41.94,39.83,41.87,5835873,0.0,1.0,41.87,39.83,41.94
HOOD,2021-09-16,41.62,42.43,40.91,41.95,4206706,41.62,42.43,40.91,41.95,4206706,0.0,1.0,41.95,40.91,42.43
HOOD,2021-09-17,41.92,42.9012,41.9,42.38,5000840,41.92,42.9012,41.9,42.38,5000840,0.0,1.0,42.38,41.9,42.9012
HOOD,2021-09-20,40.62,41.56,40.0301,40.7,4437794,40.62,41.56,40.0301,40.7,4437794,0.0,1.0,40.7,40.0301,41.56
HOOD,2021-09-21,41.04,42.69,40.7938,42.29,5984827,41.04,42.69,40.7938,42.29,5984827,0.0,1.0,42.29,40.7938,42.69
HOOD,2021-09-22,43.0004,46.94,42.76,46.88,14619488,43.0004,46.94,42.76,46.88,14619488,0.0,1.0,46.88,42.76,46.94
HOOD,2021-09-23,46.285,47.84,44.71,45.94,12129439,46.285,47.84,44.71,45.94,12129439,0.0,1.0,45.94,44.71,47.84
HOOD,2021-09-24,44.7,46.55,44.35,44.91,6057991,44.7,46.55,44.35,44.91,6057991,0.0,1.0,44.91,44.35,46.55
HOOD,2021-09-27,44.93,45.91,43.95,44.76,4041686,44.93,45.91,43.95,44.76,4041686,0.0,1.0,44.76,43.95,45.91
HOOD,2021-09-28,43.92,45.96,42.51,44.62,5791895,43.92,45.96,42.51,44.62,5791895,0.0,1.0,44.62,42.51,45.96
HOOD,2021-09-29,44.17,45.4625,43.1,43.13,4597599,44.17,45.4625,43.1,43.13,4597599,0.0,1.0,43.13,43.1,45.4625
HOOD,2021-09-30,43.13,43.13,41.41,42.08,3535993,43.13,43.13,41.41,42.08,3535993,0.0,1.0,42.08,41.41,43.13
HOOD,2021-10-01,42.3617,42.78,41.12,41.9,2655845,42.3617,42.78,41.12,41.9,2655845,0.0,1.0,41.9,41.12,42.78
HOOD,2021-10-04,41.8,41.8123,40.25,40.93,2647750,41.8,41.8123,40.25,40.93,2647750,0.0,1.0,40.93,40.25,41.8123
HOOD,2021-10-05,41.074,42.4899,41.0509,42.01,2813392,41.074,42.4899,41.0509,42.01,2813392,0.0,1.0,42.01,41.0509,42.4899
HOOD,2021-10-06,42.0,42.65,41.7,42.06,2730242,42.0,42.65,41.7,42.06,2730242,0.0,1.0,42.06,41.7,42.65
HOOD,2021-10-07,42.2374,42.84,41.68,41.84,2895418,42.2374,42.84,41.68,41.84,2895418,0.0,1.0,41.84,41.68,42.84
HOOD,2021-10-08,41.8,42.06,41.05,41.78,3688931,41.8,42.06,41.05,41.78,3688931,0.0,1.0,41.78,41.05,42.06
HOOD,2021-10-11,41.1723,42.468,41.01,42.07,3733178,41.1723,42.468,41.01,42.07,3733178,0.0,1.0,42.07,41.01,42.468
HOOD,2021-10-12,42.0,42.05,40.5,40.53,3717965,42.0,42.05,40.5,40.53,3717965,0.0,1.0,40.53,40.5,42.05
HOOD,2021-10-13,40.62,40.83,39.86,40.52,3914428,40.62,40.83,39.86,40.52,3914428,0.0,1.0,40.52,39.86,40.83
HOOD,2021-10-14,40.59,41.79,40.55,40.93,3827495,40.59,41.79,40.55,40.93,3827495,0.0,1.0,40.93,40.55,41.79
HOOD,2021-10-15,41.641,41.7,40.8601,41.03,2579553,41.641,41.7,40.8601,41.03,2579553,0.0,1.0,41.03,40.8601,41.7
HOOD,2021-10-18,40.95,41.25,40.31,40.65,4019789,40.95,41.25,40.31,40.65,4019789,0.0,1.0,40.65,40.31,41.25
HOOD,2021-10-19,40.91,41.8,40.54,41.7,4529214,40.91,41.8,40.54,41.7,4529214,0.0,1.0,41.7,40.54,41.8
HOOD,2021-10-20,41.8933,42.44,41.02,41.83,4057555,41.8933,42.44,41.02,41.83,4057555,0.0,1.0,41.83,41.02,42.44
HOOD,2021-10-21,41.93,43.36,41.21,41.28,5377739,41.93,43.36,41.21,41.28,5377739,0.0,1.0,41.28,41.21,43.36
HOOD,2021-10-22,41.125,41.13,39.59,39.59,5916837,41.125,41.13,39.59,39.59,5916837,0.0,1.0,39.59,39.59,41.13
HOOD,2021-10-25,39.76,39.87,38.15,39.01,8081732,39.76,39.87,38.15,39.01,8081732,0.0,1.0,39.01,38.15,39.87
HOOD,2021-10-26,39.61,40.25,39.0,39.57,13250919,39.61,40.25,39.0,39.57,13250919,0.0,1.0,39.57,39.0,40.25
HOOD,2021-10-27,35.98,36.19,34.44,35.44,29082790,35.98,36.19,34.44,35.44,29082790,0.0,1.0,35.44,34.44,36.19
HOOD,2021-10-28,35.21,35.52,33.99,35.47,17441533,35.21,35.52,33.99,35.47,17441533,0.0,1.0,35.47,33.99,35.52
HOOD,2021-10-29,35.65,35.85,34.8,34.97,10687377,35.65,35.85,34.8,34.97,10687377,0.0,1.0,34.97,34.8,35.85
HOOD,2021-11-01,35.2,35.215,34.42,34.85,7855096,35.2,35.215,34.42,34.85,7855096,0.0,1.0,34.85,34.42,35.215
HOOD,2021-11-02,34.72,34.99,34.34,34.99,5480062,34.72,34.99,34.34,34.99,5480062,0.0,1.0,34.99,34.34,34.99
HOOD,2021-11-03,34.94,37.5,34.6752,37.04,15342781,34.94,37.5,34.6752,37.04,15342781,0.0,1.0,37.04,34.6752,37.5
HOOD,2021-11-04,37.03,37.95,36.5,37.07,6474368,37.03,37.95,36.5,37.07,6474368,0.0,1.0,37.07,36.5,37.95
HOOD,2021-11-05,37.0,37.41,36.65,37.01,4744776,37.0,37.41,36.65,37.01,4744776,0.0,1.0,37.01,36.65,37.41
HOOD,2021-11-08,37.06,38.17,36.52,37.98,7149237,37.06,38.17,36.52,37.98,7149237,0.0,1.0,37.98,36.52,38.17
HOOD,2021-11-09,36.76,37.199,36.45,36.7,7071149,36.76,37.199,36.45,36.7,7071149,0.0,1.0,36.7,36.45,37.199
HOOD,2021-11-10,35.9,36.11,33.7501,34.49,14707521,35.9,36.11,33.7501,34.49,14707521,0.0,1.0,34.49,33.7501,36.11
HOOD,2021-11-11,34.82,34.84,34.04,34.17,6037956,34.82,34.84,34.04,34.17,6037956,0.0,1.0,34.17,34.04,34.84
HOOD,2021-11-12,34.645,35.9,34.59,35.21,8707266,34.645,35.9,34.59,35.21,8707266,0.0,1.0,35.21,34.59,35.9
HOOD,2021-11-15,35.5,35.61,34.23,34.96,6219582,35.5,35.61,34.23,34.96,6219582,0.0,1.0,34.96,34.23,35.61
HOOD,2021-11-16,34.37,34.44,32.87,33.87,8929807,34.37,34.44,32.87,33.87,8929807,0.0,1.0,33.87,32.87,34.44
HOOD,2021-11-17,33.8,33.98,32.81,32.88,6763787,33.8,33.98,32.81,32.88,6763787,0.0,1.0,32.88,32.81,33.98
HOOD,2021-11-18,32.9,32.93,30.41,30.53,12654119,32.9,32.93,30.41,30.53,12654119,0.0,1.0,30.53,30.41,32.93
HOOD,2021-11-19,30.3,30.8,28.8,28.99,14289543,30.3,30.8,28.8,28.99,14289543,0.0,1.0,28.99,28.8,30.8
HOOD,2021-11-22,29.0,29.36,27.44,27.84,12690388,29.0,29.36,27.44,27.84,12690388,0.0,1.0,27.84,27.44,29.36
HOOD,2021-11-23,27.6,28.3001,26.57,27.65,8654347,27.6,28.3001,26.57,27.65,8654347,0.0,1.0,27.65,26.57,28.3001
HOOD,2021-11-24,27.54,28.54,27.51,27.98,5980076,27.54,28.54,27.51,27.98,5980076,0.0,1.0,27.98,27.51,28.54
HOOD,2021-11-26,27.075,29.22,27.05,27.92,5503000,27.075,29.22,27.05,27.92,5503000,0.0,1.0,27.92,27.05,29.22
HOOD,2021-11-29,28.095,28.29,25.75,27.07,15203897,28.095,28.29,25.75,27.07,15203897,0.0,1.0,27.07,25.75,28.29
HOOD,2021-11-30,26.6949,27.56,25.81,25.94,22291032,26.6949,27.56,25.81,25.94,22291032,0.0,1.0,25.94,25.81,27.56
HOOD,2021-12-01,26.35,26.39,23.89,23.93,37653088,26.35,26.39,23.89,23.93,37653088,0.0,1.0,23.93,23.89,26.39
HOOD,2021-12-02,23.96,24.29,23.34,24.2,14035688,23.96,24.29,23.34,24.2,14035688,0.0,1.0,24.2,23.34,24.29
