ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
IEF,2005-01-03,84.92,85.16,84.83,85.12,323400,47.6562160679,47.7909015585,47.605709009,47.7684539767,323400,0.0,1.0,47.7684539767,47.605709009,47.7909015585
IEF,2005-01-04,85.12,85.12,84.58,84.59,1181000,47.7684539767,47.7684539767,47.465411623,47.4710235185,1181000,0.0,1.0,47.4710235185,47.465411623,47.7684539767
IEF,2005-01-05,84.68,84.87,84.61,84.73,369000,47.5215305774,47.6281565908,47.4822473093,47.5495900546,369000,0.0,1.0,47.5495900546,47.4822473093,47.6281565908
IEF,2005-01-06,84.64,84.9,84.64,84.81,389100,47.4990829957,47.6449922771,47.4990829957,47.5944852181,389100,0.0,1.0,47.5944852181,47.4990829957,47.6449922771
IEF,2005-01-07,84.94,85.0,84.7,84.74,182400,47.6674398588,47.7011112315,47.5327543683,47.55520195,182400,0.0,1.0,47.55520195,47.5327543683,47.7011112315
IEF,2005-01-10,84.81,84.84,84.64,84.73,226300,47.5944852181,47.6113209044,47.4990829957,47.5495900546,226300,0.0,1.0,47.5495900546,47.4990829957,47.6113209044
IEF,2005-01-11,84.8,84.95,84.72,84.9,483900,47.5888733227,47.6730517543,47.5439781592,47.6449922771,483900,0.0,1.0,47.6449922771,47.5439781592,47.6730517543
IEF,2005-01-12,84.87,85.09,84.8,85.03,100600,47.6281565908,47.7516182904,47.5888733227,47.7179469178,100600,0.0,1.0,47.7179469178,47.5888733227,47.7516182904
IEF,2005-01-13,85.12,85.39,84.97,85.37,101600,47.7684539767,47.9199751536,47.6842755451,47.9087513627,101600,0.0,1.0,47.9087513627,47.6842755451,47.9199751536
IEF,2005-01-14,85.17,85.44,85.1,85.32,510300,47.7965134539,47.9480346308,47.7572301858,47.8806918855,510300,0.0,1.0,47.8806918855,47.7572301858,47.9480346308
