ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
IGM,2005-01-03,46.95,47.16,46.16,46.16,840600,7.0279832136,7.0594182822,6.909727479,6.909727479,5043600,0.0,1.0,6.909727479,6.909727479,7.0594182822
IGM,2005-01-04,46.4,46.4,44.89,45.22,52700,6.9456532718,6.9456532718,6.7196201588,6.7690181239,316200,0.0,1.0,6.7690181239,6.7196201588,6.9456532718
IGM,2005-01-05,45.2,45.45,44.86,44.86,38100,6.7660243078,6.8034470087,6.7151294347,6.7151294347,228600,0.0,1.0,6.7151294347,6.7151294347,6.8034470087
IGM,2005-01-06,44.85,45.1,44.58,44.59,75800,6.7136325267,6.7510552275,6.6732160098,6.6747129178,454800,0.0,1.0,6.6747129178,6.6732160098,6.7510552275
IGM,2005-01-07,44.8,44.97,44.4,44.91,9900,6.7061479865,6.7315954231,6.6462716652,6.7226139749,59400,0.0,1.0,6.7226139749,6.6462716652,6.7315954231
IGM,2005-01-10,44.7,45.11,44.66,44.78,14700,6.6911789062,6.7525521355,6.6851912741,6.7031541705,88200,0.0,1.0,6.7031541705,6.6851912741,6.7525521355
IGM,2005-01-11,44.58,44.6,44.12,44.35,91800,6.6732160098,6.6762098259,6.6043582403,6.6387871251,550800,0.0,1.0,6.6387871251,6.6043582403,6.6762098259
IGM,2005-01-12,44.45,44.68,44.02,44.68,10300,6.6537562054,6.6881850901,6.58938916,6.6881850901,61800,0.0,1.0,6.6881850901,6.58938916,6.6881850901
IGM,2005-01-13,44.61,44.68,44.05,44.25,59700,6.6777067339,6.6881850901,6.5938798841,6.6238180447,358200,0.0,1.0,6.6238180447,6.5938798841,6.6881850901
IGM,2005-01-14,44.26,44.6,44.26,44.54,98300,6.6253149528,6.6762098259,6.6253149528,6.6672283777,589800,0.0,1.0,6.6672283777,6.6253149528,6.6762098259
IGM,2005-01-18,44.48,44.87,44.28,44.83,32800,6.6582469295,6.7166263428,6.6283087688,6.7106387106,196800,0.0,1.0,6.7106387106,6.6283087688,6.7166263428
IGM,2005-01-19,44.75,44.75,43.91,43.91,17700,6.6986634464,6.6986634464,6.5729231716,6.5729231716,106200,0.0,1.0,6.5729231716,6.5729231716,6.6986634464
IGM,2005-01-20,43.4,43.64,43.25,43.34,32000,6.4965808619,6.5325066547,6.4741272415,6.4875994138,192000,0.0,1.0,6.4875994138,6.4741272415,6.5325066547
IGM,2005-01-21,43.5,43.54,42.95,43.04,58700,6.5115499423,6.5175375744,6.4292200005,6.4426921728,352200,0.0,1.0,6.4426921728,6.4292200005,6.5175375744
IGM,2005-01-24,43.0,43.1,42.41,42.48,75800,6.4367045406,6.451673621,6.3483869667,6.3588653229,454800,0.0,1.0,6.3588653229,6.3483869667,6.451673621
IGM,2005-01-25,42.5,42.93,42.5,42.51,27900,6.361859139,6.4262261844,6.361859139,6.363356047,167400,0.0,1.0,6.363356047,6.361859139,6.4262261844
IGM,2005-01-26,43.0,43.27,42.74,43.207,46600,6.4367045406,6.4771210575,6.3977849318,6.4676905369,279600,0.0,1.0,6.4676905369,6.3977849318,6.4771210575
IGM,2005-01-27,42.95,43.3,42.95,43.3,7100,6.4292200005,6.4816117816,6.4292200005,6.4816117816,42600,0.0,1.0,6.4816117816,6.4292200005,6.4816117816
IGM,2005-01-28,43.45,43.46,42.86,43.12,25800,6.5040654021,6.5055623101,6.4157478282,6.454667437,154800,0.0,1.0,6.454667437,6.4157478282,6.5055623101
IGM,2005-01-31,43.7,43.74,43.41,43.56,37000,6.5414881029,6.5474757351,6.49807777,6.5205313905,222000,0.0,1.0,6.5205313905,6.49807777,6.5474757351
IGM,2005-02-01,43.7,43.89,43.63,43.79,492700,6.5414881029,6.5699293556,6.5310097467,6.5549602752,2956200,0.0,1.0,6.5549602752,6.5310097467,6.5699293556
IGM,2005-02-02,43.9,43.9,43.57,43.7,466300,6.5714262636,6.5714262636,6.5220282985,6.5414881029,2797800,0.0,1.0,6.5414881029,6.5220282985,6.5714262636
IGM,2005-02-03,43.5,43.58,43.14,43.35,26800,6.5115499423,6.5235252065,6.4576612531,6.4890963218,160800,0.0,1.0,6.4890963218,6.4576612531,6.5235252065
IGM,2005-02-04,43.52,44.13,43.5,44.0,54400,6.5145437583,6.6058551483,6.5115499423,6.5863953439,326400,0.0,1.0,6.5863953439,6.5115499423,6.6058551483
IGM,2005-02-07,44.15,44.26,43.85,44.1,46600,6.6088489644,6.6253149528,6.5639417234,6.6013644242,279600,0.0,1.0,6.6013644242,6.5639417234,6.6253149528
IGM,2005-02-08,44.1,44.4,44.1,44.18,11800,6.6013644242,6.6462716652,6.6013644242,6.6133396885,70800,0.0,1.0,6.6133396885,6.6013644242,6.6462716652
IGM,2005-02-09,44.2,44.2,43.5,43.5,37400,6.6163335046,6.6163335046,6.5115499423,6.5115499423,224400,0.0,1.0,6.5115499423,6.5115499423,6.6163335046
IGM,2005-02-10,43.55,43.67,43.25,43.64,22400,6.5190344824,6.5369973788,6.4741272415,6.5325066547,134400,0.0,1.0,6.5325066547,6.4741272415,6.5369973788
IGM,2005-02-11,43.45,44.26,43.25,44.09,7000,6.5040654021,6.6253149528,6.4741272415,6.5998675162,42000,0.0,1.0,6.5998675162,6.4741272415,6.6253149528
IGM,2005-02-14,44.12,44.27,44.09,44.22,20000,6.6043582403,6.6268118608,6.5998675162,6.6193273206,120000,0.0,1.0,6.6193273206,6.5998675162,6.6268118608
IGM,2005-02-15,44.22,44.87,44.15,44.5,62200,6.6193273206,6.7166263428,6.6088489644,6.6612407455,373200,0.0,1.0,6.6612407455,6.6088489644,6.7166263428
IGM,2005-02-16,44.4,44.5,44.22,44.37,20000,6.6462716652,6.6612407455,6.6193273206,6.6417809411,120000,0.0,1.0,6.6417809411,6.6193273206,6.6612407455
IGM,2005-02-17,44.3,44.3,43.81,43.81,83400,6.6313025849,6.6313025849,6.5579540913,6.5579540913,500400,0.0,1.0,6.5579540913,6.5579540913,6.6313025849
IGM,2005-02-18,43.75,43.89,43.62,43.63,10600,6.5489726431,6.5699293556,6.5295128387,6.5310097467,63600,0.0,1.0,6.5310097467,6.5295128387,6.5699293556
IGM,2005-02-22,43.4,43.78,43.14,43.23,34100,6.4965808619,6.5534633672,6.4576612531,6.4711334254,204600,0.0,1.0,6.4711334254,6.4576612531,6.5534633672
IGM,2005-02-23,43.3,43.3,42.8,43.1,55100,6.4816117816,6.4816117816,6.40676638,6.451673621,330600,0.0,1.0,6.451673621,6.40676638,6.4816117816
IGM,2005-02-24,43.01,43.58,42.91,43.5,21900,6.4382014487,6.5235252065,6.4232323683,6.5115499423,131400,0.0,1.0,6.5115499423,6.4232323683,6.5235252065
IGM,2005-02-25,43.6,43.85,43.45,43.768,12000,6.5265190226,6.5639417234,6.5040654021,6.5516670776,72000,0.0,1.0,6.5516670776,6.5040654021,6.5639417234
IGM,2005-02-28,43.8,43.97,43.53,43.65,23400,6.5564571833,6.5819046198,6.5160406664,6.5340035628,140400,0.0,1.0,6.5340035628,6.5160406664,6.5819046198
