ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
IGV,2005-01-03,43.04,43.09,42.16,42.19,280900,8.3427861195,8.3524780179,8.1722087081,8.1780238472,1404500,0.0,1.0,8.1780238472,8.1722087081,8.3524780179
IGV,2005-01-04,42.85,42.85,40.52,40.75,353500,8.3059569057,8.3059569057,7.8543144415,7.898897174,1767500,0.0,1.0,7.898897174,7.8543144415,8.3059569057
IGV,2005-01-05,40.9,41.1,40.5,40.6,114400,7.9279728691,7.9667404626,7.8504376822,7.8698214789,572000,0.0,1.0,7.8698214789,7.8504376822,7.9667404626
IGV,2005-01-06,40.55,40.55,39.9,39.9,612900,7.8601295805,7.8601295805,7.7341349017,7.7341349017,3064500,0.0,1.0,7.7341349017,7.7341349017,7.8601295805
IGV,2005-01-07,40.1,40.39,39.56,39.98,401800,7.7729024952,7.8291155057,7.6682299928,7.7496419391,2009000,0.0,1.0,7.7496419391,7.6682299928,7.8291155057
IGV,2005-01-10,40.0,40.3,39.76,39.9,93800,7.7535186984,7.8116700887,7.7069975862,7.7341349017,469000,0.0,1.0,7.7341349017,7.7069975862,7.8116700887
IGV,2005-01-11,39.89,39.9,39.4,39.65,180800,7.732196522,7.7341349017,7.637215918,7.6856754098,904000,0.0,1.0,7.6856754098,7.637215918,7.7341349017
IGV,2005-01-12,39.5,39.65,39.09,39.5,269100,7.6565997147,7.6856754098,7.577126148,7.6565997147,1345500,0.0,1.0,7.6565997147,7.577126148,7.6856754098
IGV,2005-01-13,39.35,39.75,39.21,39.27,138300,7.6275240196,7.7050592066,7.6003867041,7.6120169822,691500,0.0,1.0,7.6120169822,7.6003867041,7.7050592066
IGV,2005-01-14,39.52,39.93,39.5,39.84,276000,7.6604764741,7.7399500407,7.6565997147,7.7225046236,1380000,0.0,1.0,7.7225046236,7.6565997147,7.7399500407
IGV,2005-01-18,39.9,40.4,39.75,40.29,175900,7.7341349017,7.8310538854,7.7050592066,7.809731709,879500,0.0,1.0,7.809731709,7.7050592066,7.8310538854
IGV,2005-01-19,40.5,40.5,39.66,39.7,573200,7.8504376822,7.8504376822,7.6876137895,7.6953673082,2866000,0.0,1.0,7.6953673082,7.6876137895,7.8504376822
IGV,2005-01-20,39.45,40.05,39.45,39.55,99900,7.6469078163,7.7632105968,7.6469078163,7.6662916131,499500,0.0,1.0,7.6662916131,7.6469078163,7.7632105968
