ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
KLAC,2005-01-03,46.76,47.0,45.25,45.3,4026500,2.453842428,2.4664369999,2.3746015797,2.3772254488,40265000,0.0,1.0,2.3772254488,2.3746015797,2.4664369999
KLAC,2005-01-04,45.59,45.74,43.38,43.83,6943600,2.3924438899,2.4003154973,2.2764688735,2.3000836959,69436000,0.0,1.0,2.3000836959,2.2764688735,2.4003154973
KLAC,2005-01-05,43.55,44.35,43.12,43.12,6263700,2.2853900286,2.327371935,2.2628247539,2.2628247539,62637000,0.0,1.0,2.2628247539,2.2628247539,2.327371935
KLAC,2005-01-06,43.42,43.73,42.3,42.31,6199000,2.2785679688,2.2948359576,2.2197932999,2.2203180737,61990000,0.0,1.0,2.2203180737,2.2197932999,2.2948359576
KLAC,2005-01-07,42.55,43.58,42.4,42.97,6819600,2.2329126457,2.2869643501,2.2250410382,2.2549531465,68196000,0.0,1.0,2.2549531465,2.2250410382,2.2869643501
KLAC,2005-01-10,42.91,43.25,42.25,42.25,4803500,2.2518045035,2.2696468137,2.2171694308,2.2171694308,48035000,0.0,1.0,2.2171694308,2.2171694308,2.2696468137
KLAC,2005-01-11,41.88,42.6,41.7,42.42,7305100,2.1977527991,2.2355365148,2.1883068701,2.2260905859,73051000,0.0,1.0,2.2260905859,2.1883068701,2.2355365148
KLAC,2005-01-12,44.03,44.75,43.52,44.45,9893500,2.3105791725,2.3483628882,2.2838157071,2.3326196733,98935000,0.0,1.0,2.3326196733,2.2838157071,2.3483628882
KLAC,2005-01-13,44.46,44.56,43.43,43.45,5364500,2.3331444471,2.3383921854,2.2790927427,2.2801422903,53645000,0.0,1.0,2.2801422903,2.2790927427,2.3383921854
KLAC,2005-01-14,43.67,44.94,43.59,44.91,7275200,2.2916873146,2.358333591,2.2874891239,2.3567592695,72752000,0.0,1.0,2.3567592695,2.2874891239,2.358333591
KLAC,2005-01-18,44.64,45.23,44.49,45.23,4673700,2.3425903761,2.373552032,2.3347187686,2.373552032,46737000,0.0,1.0,2.373552032,2.3347187686,2.373552032
KLAC,2005-01-19,45.11,45.19,43.85,43.85,4729500,2.3672547461,2.3714529367,2.3011332435,2.3011332435,47295000,0.0,1.0,2.3011332435,2.3011332435,2.3714529367
