ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
LLY,2005-01-03,56.77,57.04,56.2,56.25,3157300,30.7802315819,30.9266233826,30.4711822248,30.4982918175,3157300,0.0,1.0,30.4982918175,30.4711822248,30.9266233826
LLY,2005-01-04,56.6,56.84,55.45,55.5,4277600,30.6880589666,30.8181850117,30.0645383339,30.0916479266,4277600,0.0,1.0,30.0916479266,30.0645383339,30.8181850117
LLY,2005-01-05,55.73,56.19,55.5,56.08,3393900,30.2163520531,30.4657603062,30.0916479266,30.4061192022,3393900,0.0,1.0,30.4061192022,30.0916479266,30.4657603062
LLY,2005-01-06,56.0,56.79,55.89,56.53,2940100,30.3627438539,30.7910754189,30.3031027499,30.6501055368,2940100,0.0,1.0,30.6501055368,30.3031027499,30.7910754189
LLY,2005-01-07,56.53,56.7,56.17,56.26,2948600,30.6501055368,30.742278152,30.4549164691,30.503713736,2948600,0.0,1.0,30.503713736,30.4549164691,30.742278152
LLY,2005-01-10,56.1,57.09,55.9,56.94,2908000,30.4169630393,30.9537329753,30.3085246684,30.8724041971,2908000,0.0,1.0,30.8724041971,30.3085246684,30.9537329753
LLY,2005-01-11,56.94,57.12,56.4,57.03,3392100,30.8724041971,30.9699987309,30.5796205957,30.921201464,3392100,0.0,1.0,30.921201464,30.5796205957,30.9699987309
LLY,2005-01-12,57.07,57.83,56.89,57.78,4472700,30.9428891382,31.3549549477,30.8452946044,31.3278453549,4472700,0.0,1.0,31.3278453549,30.8452946044,31.3549549477
LLY,2005-01-13,57.53,57.75,56.41,56.42,3659900,31.1922973913,31.3115795993,30.5850425142,30.5904644328,3659900,0.0,1.0,30.5904644328,30.5850425142,31.3115795993
LLY,2005-01-14,56.35,57.3,56.28,57.25,3207400,30.552511003,31.0675932648,30.5145575731,31.040483672,3207400,0.0,1.0,31.040483672,30.5145575731,31.0675932648
LLY,2005-01-18,57.25,57.68,56.61,57.54,3080100,31.040483672,31.2736261695,30.6934808851,31.1977193098,3080100,0.0,1.0,31.1977193098,30.6934808851,31.2736261695
LLY,2005-01-19,57.43,57.68,56.96,57.0,2463400,31.1380782058,31.2736261695,30.8832480342,30.9049357084,2463400,0.0,1.0,30.9049357084,30.8832480342,31.2736261695
LLY,2005-01-20,57.0,57.35,56.11,56.43,3297300,30.9049357084,31.0947028575,30.4223849579,30.5958863513,3297300,0.0,1.0,30.5958863513,30.4223849579,31.0947028575
LLY,2005-01-21,56.2,56.32,55.28,55.32,3470600,30.4711822248,30.5362452473,29.9723657186,29.9940533928,3470600,0.0,1.0,29.9940533928,29.9723657186,30.5362452473
LLY,2005-01-24,55.55,55.68,54.84,54.84,3075500,30.1187575193,30.1892424604,29.7338013026,29.7338013026,3075500,0.0,1.0,29.7338013026,29.7338013026,30.1892424604
LLY,2005-01-25,55.35,55.7,54.78,54.85,3015800,30.0103191484,30.2000862975,29.7012697913,29.7392232212,3015800,0.0,1.0,29.7392232212,29.7012697913,30.2000862975
LLY,2005-01-26,56.25,57.17,55.39,55.5,6320300,30.4982918175,30.9971083237,30.0320068226,30.0916479266,6320300,0.0,1.0,30.0916479266,30.0320068226,30.9971083237
LLY,2005-01-27,55.25,55.82,55.05,55.57,3915200,29.956099963,30.26514932,29.8476615921,30.1296013564,3915200,0.0,1.0,30.1296013564,29.8476615921,30.26514932
LLY,2005-01-28,55.35,55.35,52.86,53.58,5922500,30.0103191484,30.0103191484,28.6602614306,29.0506395659,5922500,0.0,1.0,29.0506395659,28.6602614306,30.0103191484
LLY,2005-01-31,53.74,54.7,53.65,54.24,4901300,29.1373902626,29.657894443,29.0885929957,29.4084861899,4901300,0.0,1.0,29.4084861899,29.0885929957,29.657894443
LLY,2005-02-01,54.25,54.77,53.85,54.76,2690100,29.4139081084,29.6958478728,29.1970313666,29.6904259542,2690100,0.0,1.0,29.6904259542,29.1970313666,29.6958478728
LLY,2005-02-02,54.62,55.49,54.42,55.14,2721700,29.6145190946,30.0862260081,29.5060807237,29.896458859,2721700,0.0,1.0,29.896458859,29.5060807237,30.0862260081
LLY,2005-02-03,55.14,55.2,54.61,54.87,3401500,29.896458859,29.9289903702,29.6090971761,29.7500670582,3401500,0.0,1.0,29.7500670582,29.6090971761,29.9289903702
LLY,2005-02-04,54.71,55.35,54.5,55.03,2220300,29.6633163615,30.0103191484,29.5494560721,29.836817755,2220300,0.0,1.0,29.836817755,29.5494560721,30.0103191484
LLY,2005-02-07,55.28,56.16,55.15,55.74,2045600,29.9723657186,30.4494945506,29.9018807775,30.2217739717,2045600,0.0,1.0,30.2217739717,29.9018807775,30.4494945506
LLY,2005-02-08,55.2,55.6,55.06,55.4,2800300,29.9289903702,30.1458671121,29.8530835106,30.0374287411,2800300,0.0,1.0,30.0374287411,29.8530835106,30.1458671121
LLY,2005-02-09,55.7,56.12,54.58,54.65,2539100,30.2000862975,30.4278068764,29.5928314204,29.6307848502,2539100,0.0,1.0,29.6307848502,29.5928314204,30.4278068764
LLY,2005-02-10,54.98,55.0,54.5,54.8,1982000,29.8097081622,29.8205519993,29.5494560721,29.7121136284,1982000,0.0,1.0,29.7121136284,29.5494560721,29.8205519993
LLY,2005-02-11,54.64,56.69,54.6,55.5,2713900,29.8282032545,30.9473067807,29.8063670881,30.2976808313,2713900,0.38,1.0,30.2976808313,29.8063670881,30.9473067807
