ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
MSFT,2005-01-03,26.8,26.95,26.649,26.74,65002900,18.3825139646,18.4854011697,18.2789408449,18.3413590826,65002900,0.0,1.0,18.3413590826,18.2789408449,18.4854011697
MSFT,2005-01-04,26.86,27.1,26.66,26.84,109442100,18.4236688466,18.5882883747,18.2864859066,18.4099505526,109442100,0.0,1.0,18.4099505526,18.2864859066,18.5882883747
MSFT,2005-01-05,26.84,27.1,26.76,26.78,72463500,18.4099505526,18.5882883747,18.3550773766,18.3687956706,72463500,0.0,1.0,18.3687956706,18.3550773766,18.5882883747
MSFT,2005-01-06,26.86,27.06,26.6399,26.75,76890500,18.4236688466,18.5608517867,18.2726990211,18.3482182296,76890500,0.0,1.0,18.3482182296,18.2726990211,18.5608517867
MSFT,2005-01-07,26.83,26.89,26.62,26.67,68723300,18.4030914056,18.4442462876,18.2590493186,18.2933450536,68723300,0.0,1.0,18.2933450536,18.2590493186,18.4442462876
MSFT,2005-01-10,26.6,26.86,26.54,26.8,70376600,18.2453310246,18.4236688466,18.2041761426,18.3825139646,70376600,0.0,1.0,18.3825139646,18.2041761426,18.4236688466
MSFT,2005-01-11,26.69,26.82,26.61,26.73,64712000,18.3070633476,18.3962322586,18.2521901716,18.3344999356,64712000,0.0,1.0,18.3344999356,18.2521901716,18.3962322586
MSFT,2005-01-12,26.77,26.85,26.62,26.78,72940600,18.3619365236,18.4168096996,18.2590493186,18.3687956706,72940600,0.0,1.0,18.3687956706,18.2590493186,18.4168096996
MSFT,2005-01-13,26.69,26.8,26.16,26.27,89861600,18.3070633476,18.3825139646,17.9435285565,18.0189791735,89861600,0.0,1.0,18.0189791735,17.9435285565,18.3825139646
MSFT,2005-01-14,26.4,26.45,26.04,26.12,92180800,18.1081480846,18.1424438196,17.8612187925,17.9160919685,92180800,0.0,1.0,17.9160919685,17.8612187925,18.1424438196
MSFT,2005-01-18,26.03,26.35,25.84,26.32,69146400,17.8543596455,18.0738523496,17.7240358525,18.0532749086,69146400,0.0,1.0,18.0532749086,17.7240358525,18.0738523496
MSFT,2005-01-19,26.2,26.26,25.9199,25.98,58114100,17.9709651445,18.0121200265,17.778840437,17.8200639105,58114100,0.0,1.0,17.8200639105,17.778840437,18.0121200265
MSFT,2005-01-20,25.835,26.1,25.74,25.86,58380100,17.720606279,17.9023736745,17.6554443825,17.7377541465,58380100,0.0,1.0,17.7377541465,17.6554443825,17.9023736745
MSFT,2005-01-21,25.94,26.13,25.64,25.65,76501000,17.7926273225,17.9229511155,17.5868529124,17.5937120594,76501000,0.0,1.0,17.5937120594,17.5868529124,17.9229511155
MSFT,2005-01-24,25.77,26.0,25.64,25.67,69010900,17.6760218235,17.8337822045,17.5868529124,17.6074303534,69010900,0.0,1.0,17.6074303534,17.5868529124,17.8337822045
MSFT,2005-01-25,25.76,26.19,25.75,26.02,67580700,17.6691626765,17.9641059975,17.6623035295,17.8475004985,67580700,0.0,1.0,17.8475004985,17.6623035295,17.9641059975
MSFT,2005-01-26,26.08,26.17,25.9,26.01,64974500,17.8886553805,17.9503877035,17.7651907345,17.8406413515,64974500,0.0,1.0,17.8406413515,17.7651907345,17.9503877035
MSFT,2005-01-27,25.95,26.16,25.85,26.11,93204100,17.7994864695,17.9435285565,17.7308949995,17.9092328215,93204100,0.0,1.0,17.9092328215,17.7308949995,17.9435285565
MSFT,2005-01-28,26.54,26.65,25.9599,26.18,110466500,18.2041761426,18.2796267596,17.806277025,17.9572468505,110466500,0.0,1.0,17.9572468505,17.806277025,18.2796267596
MSFT,2005-01-31,26.35,26.52,26.16,26.28,71442100,18.0738523496,18.1904578486,17.9435285565,18.0258383205,71442100,0.0,1.0,18.0258383205,17.9435285565,18.1904578486
MSFT,2005-02-01,26.25,26.43,26.22,26.39,57981700,18.0052608795,18.1287255256,17.9846834385,18.1012889376,57981700,0.0,1.0,18.1012889376,17.9846834385,18.1287255256
MSFT,2005-02-02,26.42,26.5,26.2799,26.46,79329500,18.1218663786,18.1767395546,18.0257697291,18.1493029666,79329500,0.0,1.0,18.1493029666,18.0257697291,18.1767395546
MSFT,2005-02-03,26.37,26.4,26.1,26.18,62545400,18.0875706436,18.1081480846,17.9023736745,17.9572468505,62545400,0.0,1.0,17.9572468505,17.9023736745,18.1081480846
MSFT,2005-02-04,26.18,26.37,26.1399,26.32,61246500,17.9572468505,18.0875706436,17.9297416711,18.0532749086,61246500,0.0,1.0,18.0532749086,17.9297416711,18.0875706436
