ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
MSTR,2005-01-03,60.45,61.69,58.29,58.45,539600,6.045,6.169,5.829,5.845,5396000,0.0,1.0,5.845,5.829,6.169
MSTR,2005-01-04,58.85,59.07,56.24,56.83,455700,5.885,5.907,5.624,5.683,4557000,0.0,1.0,5.683,5.624,5.907
MSTR,2005-01-05,57.17,57.87,54.81,56.44,565400,5.717,5.787,5.481,5.644,5654000,0.0,1.0,5.644,5.481,5.787
MSTR,2005-01-06,56.8,58.54,56.7,56.91,452200,5.68,5.854,5.67,5.691,4522000,0.0,1.0,5.691,5.67,5.854
MSTR,2005-01-07,56.75,57.3,55.32,56.31,357200,5.675,5.73,5.532,5.631,3572000,0.0,1.0,5.631,5.532,5.73
MSTR,2005-01-10,57.78,58.36,56.87,57.53,343900,5.778,5.836,5.687,5.753,3439000,0.0,1.0,5.753,5.687,5.836
MSTR,2005-01-11,57.77,58.0,55.86,56.77,361400,5.777,5.8,5.586,5.677,3614000,0.0,1.0,5.677,5.586,5.8
MSTR,2005-01-12,56.85,57.91,55.77,57.63,273200,5.685,5.791,5.577,5.763,2732000,0.0,1.0,5.763,5.577,5.791
MSTR,2005-01-13,57.26,58.25,56.73,56.92,239600,5.726,5.825,5.673,5.692,2396000,0.0,1.0,5.692,5.673,5.825
MSTR,2005-01-14,57.14,58.18,57.1,58.16,202700,5.714,5.818,5.71,5.816,2027000,0.0,1.0,5.816,5.71,5.818
MSTR,2005-01-18,58.24,59.44,57.631,59.241,237000,5.824,5.944,5.7631,5.9241,2370000,0.0,1.0,5.9241,5.7631,5.944
MSTR,2005-01-19,60.07,60.39,58.31,58.84,363900,6.007,6.039,5.831,5.884,3639000,0.0,1.0,5.884,5.831,6.039
MSTR,2005-01-20,58.3,59.71,58.11,59.51,275400,5.83,5.971,5.811,5.951,2754000,0.0,1.0,5.951,5.811,5.971
MSTR,2005-01-21,59.4,60.0,58.26,58.82,239900,5.94,6.0,5.826,5.882,2399000,0.0,1.0,5.882,5.826,6.0
MSTR,2005-01-24,59.44,60.0,57.47,57.601,301500,5.944,6.0,5.747,5.7601,3015000,0.0,1.0,5.7601,5.747,6.0
MSTR,2005-01-25,58.55,59.61,58.27,59.44,282900,5.855,5.961,5.827,5.944,2829000,0.0,1.0,5.944,5.827,5.961
MSTR,2005-01-26,59.45,61.94,59.1,61.9,473900,5.945,6.194,5.91,6.19,4739000,0.0,1.0,6.19,5.91,6.194
MSTR,2005-01-27,63.03,66.64,62.95,65.01,1023700,6.303,6.664,6.295,6.501,10237000,0.0,1.0,6.501,6.295,6.664
MSTR,2005-01-28,77.66,79.75,67.85,69.4,8576100,7.766,7.975,6.785,6.94,85761000,0.0,1.0,6.94,6.785,7.975
MSTR,2005-01-31,70.5,72.92,69.1,72.7,1940400,7.05,7.292,6.91,7.27,19404000,0.0,1.0,7.27,6.91,7.292
