ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
MU,2005-01-03,12.38,12.44,11.9,12.0,6698700,12.0701826971,12.1286811592,11.6021949996,11.6996924366,6698700,0.0,1.0,11.6996924366,11.6021949996,12.1286811592
MU,2005-01-04,12.0,12.05,11.51,11.66,7710000,11.6996924366,11.7484411551,11.2219549954,11.3682011509,7710000,0.0,1.0,11.3682011509,11.2219549954,11.7484411551
MU,2005-01-05,11.55,11.73,11.46,11.53,5512800,11.2609539702,11.4364493567,11.1732062769,11.2414544828,5512800,0.0,1.0,11.2414544828,11.1732062769,11.4364493567
MU,2005-01-06,11.57,11.64,11.34,11.41,7517400,11.2804534576,11.3487016635,11.0562093526,11.1244575584,7517400,0.0,1.0,11.1244575584,11.0562093526,11.3487016635
MU,2005-01-07,11.57,11.62,11.3,11.46,9267700,11.2804534576,11.3292021761,11.0172103778,11.1732062769,9267700,0.0,1.0,11.1732062769,11.0172103778,11.3292021761
MU,2005-01-10,11.36,11.58,11.36,11.43,4103600,11.0757088399,11.2902032013,11.0757088399,11.1439570458,4103600,0.0,1.0,11.1439570458,11.0757088399,11.2902032013
MU,2005-01-11,11.33,11.36,11.05,11.09,8382900,11.0464596089,11.0757088399,10.7734667853,10.8124657601,8382900,0.0,1.0,10.8124657601,10.7734667853,11.0757088399
MU,2005-01-12,11.2,11.34,11.07,11.33,7553700,10.9197129408,11.0562093526,10.7929662727,11.0464596089,7553700,0.0,1.0,11.0464596089,10.7929662727,11.0562093526
MU,2005-01-13,11.28,11.35,11.12,11.17,5000000,10.9977108904,11.0659590963,10.8417149912,10.8904637097,5000000,0.0,1.0,10.8904637097,10.8417149912,11.0659590963
MU,2005-01-14,11.23,11.32,11.16,11.21,4325100,10.9489621719,11.0367098652,10.880713966,10.9294626845,4325100,0.0,1.0,10.9294626845,10.880713966,11.0367098652
MU,2005-01-18,11.15,11.28,11.1,11.2,7240200,10.8709642223,10.9977108904,10.8222155038,10.9197129408,7240200,0.0,1.0,10.9197129408,10.8222155038,10.9977108904
MU,2005-01-19,11.21,11.22,11.0,11.01,4431100,10.9294626845,10.9392124282,10.7247180669,10.7344678105,4431100,0.0,1.0,10.7344678105,10.7247180669,10.9392124282
MU,2005-01-20,10.97,11.14,10.9,11.02,7063800,10.6954688358,10.8612144786,10.6272206299,10.7442175542,7063800,0.0,1.0,10.7442175542,10.6272206299,10.8612144786
MU,2005-01-21,10.95,11.02,10.37,10.41,12832400,10.6759693484,10.7442175542,10.1104842139,10.1494831887,12832400,0.0,1.0,10.1494831887,10.1104842139,10.7442175542
MU,2005-01-24,10.42,10.5,10.05,10.06,10203600,10.1592329324,10.237230882,9.7984924156,9.8082421593,10203600,0.0,1.0,9.8082421593,9.7984924156,10.237230882
MU,2005-01-25,10.19,10.38,10.15,10.25,9478200,9.9349888274,10.1202339576,9.8959898526,9.9934872896,9478200,0.0,1.0,9.9934872896,9.8959898526,10.1202339576
MU,2005-01-26,10.35,10.38,10.12,10.31,6271300,10.0909847265,10.1202339576,9.8667406215,10.0519857517,6271300,0.0,1.0,10.0519857517,9.8667406215,10.1202339576
MU,2005-01-27,10.59,10.69,10.31,10.63,6525400,10.3249785753,10.4224760122,10.0519857517,10.3639775501,6525400,0.0,1.0,10.3639775501,10.0519857517,10.4224760122
MU,2005-01-28,10.74,10.75,10.25,10.36,6059400,10.4712247307,10.4809744744,9.9934872896,10.1007344702,6059400,0.0,1.0,10.1007344702,9.9934872896,10.4809744744
MU,2005-01-31,10.45,10.54,10.38,10.41,3692400,10.1884821635,10.2762298568,10.1202339576,10.1494831887,3692400,0.0,1.0,10.1494831887,10.1202339576,10.2762298568
MU,2005-02-01,10.59,10.73,10.51,10.7,5037600,10.3249785753,10.461474987,10.2469806257,10.4322257559,5037600,0.0,1.0,10.4322257559,10.2469806257,10.461474987
MU,2005-02-02,10.77,10.94,10.7,10.82,6190700,10.5004739618,10.6662196047,10.4322257559,10.5492226803,6190700,0.0,1.0,10.5492226803,10.4322257559,10.6662196047
MU,2005-02-03,10.81,10.86,10.63,10.85,6423800,10.5394729366,10.5882216551,10.3639775501,10.5784719114,6423800,0.0,1.0,10.5784719114,10.3639775501,10.5882216551
MU,2005-02-04,10.87,11.16,10.84,11.1,6326800,10.5979713988,10.880713966,10.5687221677,10.8222155038,6326800,0.0,1.0,10.8222155038,10.5687221677,10.880713966
MU,2005-02-07,11.08,11.41,11.0628,11.32,8694900,10.8027160164,11.1244575584,10.7859464573,11.0367098652,8694900,0.0,1.0,11.0367098652,10.7859464573,11.1244575584
MU,2005-02-08,11.29,11.49,11.28,11.33,5440200,11.0074606341,11.202455508,10.9977108904,11.0464596089,5440200,0.0,1.0,11.0464596089,10.9977108904,11.202455508
MU,2005-02-09,11.32,11.35,11.07,11.23,6461800,11.0367098652,11.0659590963,10.7929662727,10.9489621719,6461800,0.0,1.0,10.9489621719,10.7929662727,11.0659590963
MU,2005-02-10,11.34,11.42,11.09,11.27,6079600,11.0562093526,11.1342073021,10.8124657601,10.9879611467,6079600,0.0,1.0,10.9879611467,10.8124657601,11.1342073021
