ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
NOW,2012-06-29,23.75,24.75,22.83,24.6,10922400,4.75,4.95,4.566,4.92,54612000,0.0,1.0,4.92,4.566,4.95
NOW,2012-07-02,24.75,25.2,24.1,24.77,656700,4.95,5.04,4.82,4.954,3283500,0.0,1.0,4.954,4.82,5.04
NOW,2012-07-03,24.85,25.32,24.6,25.31,401100,4.97,5.064,4.92,5.062,2005500,0.0,1.0,5.062,4.92,5.064
NOW,2012-07-05,25.5,26.26,25.14,25.96,541000,5.1,5.252,5.028,5.192,2705000,0.0,1.0,5.192,5.028,5.252
NOW,2012-07-06,25.75,26.12,25.1,25.84,355100,5.15,5.224,5.02,5.168,1775500,0.0,1.0,5.168,5.02,5.224
NOW,2012-07-09,25.96,26.3,25.18,25.27,152400,5.192,5.26,5.036,5.054,762000,0.0,1.0,5.054,5.036,5.26
NOW,2012-07-10,25.22,25.69,25.05,25.05,304000,5.044,5.138,5.01,5.01,1520000,0.0,1.0,5.01,5.01,5.138
NOW,2012-07-11,25.02,25.35,23.49,23.74,296500,5.004,5.07,4.698,4.748,1482500,0.0,1.0,4.748,4.698,5.07
NOW,2012-07-12,23.3,24.47,22.62,24.08,325500,4.66,4.894,4.524,4.816,1627500,0.0,1.0,4.816,4.524,4.894
NOW,2012-07-13,24.69,24.92,23.98,24.18,89100,4.938,4.984,4.796,4.836,445500,0.0,1.0,4.836,4.796,4.984
NOW,2012-07-16,24.08,24.56,23.8,24.38,118100,4.816,4.912,4.76,4.876,590500,0.0,1.0,4.876,4.76,4.912
NOW,2012-07-17,24.48,24.48,23.93,24.27,227500,4.896,4.896,4.786,4.854,1137500,0.0,1.0,4.854,4.786,4.896
NOW,2012-07-18,24.43,24.69,24.0,24.23,103800,4.886,4.938,4.8,4.846,519000,0.0,1.0,4.846,4.8,4.938
NOW,2012-07-19,24.67,24.67,23.9,24.0,254500,4.934,4.934,4.78,4.8,1272500,0.0,1.0,4.8,4.78,4.934
NOW,2012-07-20,24.04,25.23,23.9,25.23,260900,4.808,5.046,4.78,5.046,1304500,0.0,1.0,5.046,4.78,5.046
NOW,2012-07-23,25.01,25.01,23.91,24.35,603400,5.002,5.002,4.782,4.87,3017000,0.0,1.0,4.87,4.782,5.002
NOW,2012-07-24,24.83,25.96,24.6,24.84,291500,4.966,5.192,4.92,4.968,1457500,0.0,1.0,4.968,4.92,5.192
NOW,2012-07-25,25.06,25.47,24.84,24.93,110800,5.012,5.094,4.968,4.986,554000,0.0,1.0,4.986,4.968,5.094
NOW,2012-07-26,24.93,25.35,24.0,24.42,158000,4.986,5.07,4.8,4.884,790000,0.0,1.0,4.884,4.8,5.07
NOW,2012-07-27,24.48,25.44,24.32,25.33,100100,4.896,5.088,4.864,5.066,500500,0.0,1.0,5.066,4.864,5.088
NOW,2012-07-30,25.25,25.45,25.05,25.39,84300,5.05,5.09,5.01,5.078,421500,0.0,1.0,5.078,5.01,5.09
NOW,2012-07-31,25.44,27.56,25.41,27.0,284000,5.088,5.512,5.082,5.4,1420000,0.0,1.0,5.4,5.082,5.512
NOW,2012-08-01,27.32,27.98,26.76,27.71,111900,5.464,5.596,5.352,5.542,559500,0.0,1.0,5.542,5.352,5.596
NOW,2012-08-02,27.5,29.3,27.0,29.08,556900,5.5,5.86,5.4,5.816,2784500,0.0,1.0,5.816,5.4,5.86
NOW,2012-08-03,29.43,31.43,28.58,28.67,431000,5.886,6.286,5.716,5.734,2155000,0.0,1.0,5.734,5.716,6.286
NOW,2012-08-06,29.0,29.16,27.23,28.02,583800,5.8,5.832,5.446,5.604,2919000,0.0,1.0,5.604,5.446,5.832
NOW,2012-08-07,28.3,28.75,27.79,28.0,198000,5.66,5.75,5.558,5.6,990000,0.0,1.0,5.6,5.558,5.75
NOW,2012-08-08,27.91,27.91,27.01,27.57,296700,5.582,5.582,5.402,5.514,1483500,0.0,1.0,5.514,5.402,5.582
NOW,2012-08-09,27.48,30.02,27.3,29.51,135500,5.496,6.004,5.46,5.902,677500,0.0,1.0,5.902,5.46,6.004
NOW,2012-08-10,29.37,32.0,29.37,31.65,220000,5.874,6.4,5.874,6.33,1100000,0.0,1.0,6.33,5.874,6.4
NOW,2012-08-13,32.03,32.55,31.72,32.43,214900,6.406,6.51,6.344,6.486,1074500,0.0,1.0,6.486,6.344,6.51
NOW,2012-08-14,32.65,33.96,32.2,32.28,552400,6.53,6.792,6.44,6.456,2762000,0.0,1.0,6.456,6.44,6.792
NOW,2012-08-15,32.11,32.11,29.47,29.68,467800,6.422,6.422,5.894,5.936,2339000,0.0,1.0,5.936,5.894,6.422
NOW,2012-08-16,30.06,30.57,29.6,29.75,300500,6.012,6.114,5.92,5.95,1502500,0.0,1.0,5.95,5.92,6.114
NOW,2012-08-17,30.0,30.04,29.44,29.6,389300,6.0,6.008,5.888,5.92,1946500,0.0,1.0,5.92,5.888,6.008
NOW,2012-08-20,29.55,29.95,29.55,29.89,277700,5.91,5.99,5.91,5.978,1388500,0.0,1.0,5.978,5.91,5.99
NOW,2012-08-21,30.19,30.61,29.95,30.26,196700,6.038,6.122,5.99,6.052,983500,0.0,1.0,6.052,5.99,6.122
NOW,2012-08-22,30.27,30.52,29.83,29.85,617800,6.054,6.104,5.966,5.97,3089000,0.0,1.0,5.97,5.966,6.104
NOW,2012-08-23,29.93,30.67,28.81,29.03,292200,5.986,6.134,5.762,5.806,1461000,0.0,1.0,5.806,5.762,6.134
NOW,2012-08-24,28.79,29.94,28.79,29.7,145600,5.758,5.988,5.758,5.94,728000,0.0,1.0,5.94,5.758,5.988
NOW,2012-08-27,29.7,31.31,29.13,29.27,260000,5.94,6.262,5.826,5.854,1300000,0.0,1.0,5.854,5.826,6.262
NOW,2012-08-28,29.27,29.7,29.05,29.32,152500,5.854,5.94,5.81,5.864,762500,0.0,1.0,5.864,5.81,5.94
NOW,2012-08-29,29.39,29.79,29.25,29.49,116600,5.878,5.958,5.85,5.898,583000,0.0,1.0,5.898,5.85,5.958
NOW,2012-08-30,29.24,31.0,29.03,29.78,186500,5.848,6.2,5.806,5.956,932500,0.0,1.0,5.956,5.806,6.2
NOW,2012-08-31,30.24,31.5,29.92,31.1,286000,6.048,6.3,5.984,6.22,1430000,0.0,1.0,6.22,5.984,6.3
NOW,2012-09-04,31.11,33.84,31.11,33.67,332800,6.222,6.768,6.222,6.734,1664000,0.0,1.0,6.734,6.222,6.768
NOW,2012-09-05,33.66,34.33,33.01,34.19,331700,6.732,6.866,6.602,6.838,1658500,0.0,1.0,6.838,6.602,6.866
NOW,2012-09-06,34.2,36.08,34.11,36.06,396200,6.84,7.216,6.822,7.212,1981000,0.0,1.0,7.212,6.822,7.216
NOW,2012-09-07,36.5,37.31,35.62,36.55,411000,7.3,7.462,7.124,7.31,2055000,0.0,1.0,7.31,7.124,7.462
NOW,2012-09-10,37.0,37.0,34.24,34.39,457300,7.4,7.4,6.848,6.878,2286500,0.0,1.0,6.878,6.848,7.4
NOW,2012-09-11,34.8,35.17,32.84,33.01,288500,6.96,7.034,6.568,6.602,1442500,0.0,1.0,6.602,6.568,7.034
NOW,2012-09-12,33.54,35.44,33.26,35.05,350500,6.708,7.088,6.652,7.01,1752500,0.0,1.0,7.01,6.652,7.088
