ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
NXPI,2010-08-06,13.0,14.08,12.99,14.0,10678500,11.4594661157,12.4114833007,11.4506511418,12.3409635092,10678500,0.0,1.0,12.3409635092,11.4506511418,12.4114833007
NXPI,2010-08-09,14.0,14.0,13.7,14.0,1819500,12.3409635092,12.3409635092,12.0765142911,12.3409635092,1819500,0.0,1.0,12.3409635092,12.0765142911,12.3409635092
NXPI,2010-08-10,13.77,13.84,13.58,13.6,1579300,12.1382191087,12.1999239262,11.9707346039,11.9883645518,1579300,0.0,1.0,11.9883645518,11.9707346039,12.1999239262
NXPI,2010-08-11,13.25,13.38,12.45,12.75,2588200,11.6798404641,11.7944351252,10.9746425493,11.2390917673,2588200,0.0,1.0,11.2390917673,10.9746425493,11.7944351252
NXPI,2010-08-12,12.26,12.51,12.1,12.39,1780300,10.8071580445,11.0275323929,10.6661184615,10.9217527056,1780300,0.0,1.0,10.9217527056,10.6661184615,11.0275323929
NXPI,2010-08-13,12.25,12.53,11.85,12.0,957600,10.7983430706,11.0451623407,10.4457441131,10.5779687222,957600,0.0,1.0,10.5779687222,10.4457441131,11.0451623407
NXPI,2010-08-16,11.79,12.23,11.69,11.78,551600,10.3928542695,10.7807131227,10.3047045302,10.3840392956,551600,0.0,1.0,10.3840392956,10.3047045302,10.7807131227
NXPI,2010-08-17,11.86,12.3,11.75,12.22,1086700,10.4545590871,10.8424179402,10.3575943738,10.7718981487,1086700,0.0,1.0,10.7718981487,10.3575943738,10.8424179402
NXPI,2010-08-18,12.08,12.6,12.0,12.0,1010600,10.6484885137,11.1068671583,10.5779687222,10.5779687222,1010600,0.0,1.0,10.5779687222,10.5779687222,11.1068671583
NXPI,2010-08-19,11.95,12.1,11.3104,11.55,746000,10.5338938525,10.6661184615,9.9700881196,10.1812948951,746000,0.0,1.0,10.1812948951,9.9700881196,10.6661184615
NXPI,2010-08-20,11.45,11.5,11.03,11.15,450600,10.0931451557,10.1372200254,9.7229162505,9.8286959377,450600,0.0,1.0,9.8286959377,9.7229162505,10.1372200254
NXPI,2010-08-23,11.28,11.5,10.46,10.98,761800,9.9432905988,10.1372200254,9.2204627362,9.6788413808,761800,0.0,1.0,9.6788413808,9.2204627362,10.1372200254
NXPI,2010-08-24,10.76,11.3,10.5,10.68,746700,9.4849119542,9.9609205467,9.2557226319,9.4143921627,746700,0.0,1.0,9.4143921627,9.2557226319,9.9609205467
NXPI,2010-08-25,10.5,11.13,10.23,10.75,1112200,9.2557226319,9.8110659898,9.0177183357,9.4760969803,1112200,0.0,1.0,9.4760969803,9.0177183357,9.8110659898
NXPI,2010-08-26,10.94,11.15,10.8,11.0,581400,9.643581485,9.8286959377,9.52017185,9.6964713287,581400,0.0,1.0,9.6964713287,9.52017185,9.8286959377
NXPI,2010-08-27,11.15,11.49,10.99,11.11,370900,9.8286959377,10.1284050515,9.6876563547,9.7934360419,370900,0.0,1.0,9.7934360419,9.6876563547,10.1284050515
NXPI,2010-08-30,11.01,11.27,11.01,11.095,226900,9.7052863026,9.9344756249,9.7052863026,9.780213581,226900,0.0,1.0,9.780213581,9.7052863026,9.9344756249
NXPI,2010-08-31,11.01,11.23,10.87,11.075,236000,9.7052863026,9.8992157292,9.5818766675,9.7625836332,236000,0.0,1.0,9.7625836332,9.5818766675,9.8992157292
NXPI,2010-09-01,11.08,11.95,10.76,11.73,412800,9.7669911201,10.5338938525,9.4849119542,10.3399644259,412800,0.0,1.0,10.3399644259,9.4849119542,10.5338938525
NXPI,2010-09-02,11.08,11.91,11.08,11.87,98500,9.7669911201,10.4986339568,9.7669911201,10.463374061,98500,0.0,1.0,10.463374061,9.7669911201,10.4986339568
NXPI,2010-09-03,11.9,12.32,11.58,11.89,231400,10.4898189828,10.8600478881,10.2077398169,10.4810040089,231400,0.0,1.0,10.4810040089,10.2077398169,10.8600478881
NXPI,2010-09-07,12.0,12.36,11.78,12.03,468400,10.5779687222,10.8953077838,10.3840392956,10.604413644,468400,0.0,1.0,10.604413644,10.3840392956,10.8953077838
