ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
OKTA,2017-04-07,23.75,24.5,22.6,23.51,7940610,23.75,24.5,22.6,23.51,7940610,0.0,1.0,23.51,22.6,24.5
OKTA,2017-04-10,23.7,24.05,22.9,23.25,1592202,23.7,24.05,22.9,23.25,1592202,0.0,1.0,23.25,22.9,24.05
OKTA,2017-04-11,23.15,23.64,23.0,23.3,633531,23.15,23.64,23.0,23.3,633531,0.0,1.0,23.3,23.0,23.64
OKTA,2017-04-12,23.19,23.5,22.96,23.0,336701,23.19,23.5,22.96,23.0,336701,0.0,1.0,23.0,22.96,23.5
OKTA,2017-04-13,22.85,24.96,22.8,24.49,1524362,22.85,24.96,22.8,24.49,1524362,0.0,1.0,24.49,22.8,24.96
OKTA,2017-04-17,24.66,24.75,24.25,24.47,407744,24.66,24.75,24.25,24.47,407744,0.0,1.0,24.47,24.25,24.75
OKTA,2017-04-18,24.33,24.5,23.5,23.57,259550,24.33,24.5,23.5,23.57,259550,0.0,1.0,23.57,23.5,24.5
OKTA,2017-04-19,23.74,23.825,23.14,23.35,193836,23.74,23.825,23.14,23.35,193836,0.0,1.0,23.35,23.14,23.825
OKTA,2017-04-20,23.16,24.12,23.05,24.01,298131,23.16,24.12,23.05,24.01,298131,0.0,1.0,24.01,23.05,24.12
OKTA,2017-04-21,23.78,24.55,23.65,24.29,304751,23.78,24.55,23.65,24.29,304751,0.0,1.0,24.29,23.65,24.55
OKTA,2017-04-24,24.74,24.76,23.7,23.94,172395,24.74,24.76,23.7,23.94,172395,0.0,1.0,23.94,23.7,24.76
OKTA,2017-04-25,24.12,25.469,23.84,24.71,336845,24.12,25.469,23.84,24.71,336845,0.0,1.0,24.71,23.84,25.469
OKTA,2017-04-26,25.0,25.85,24.97,25.52,232930,25.0,25.85,24.97,25.52,232930,0.0,1.0,25.52,24.97,25.85
OKTA,2017-04-27,25.9,26.54,25.5,26.32,274333,25.9,26.54,25.5,26.32,274333,0.0,1.0,26.32,25.5,26.54
OKTA,2017-04-28,26.74,26.9,25.814,26.05,187843,26.74,26.9,25.814,26.05,187843,0.0,1.0,26.05,25.814,26.9
OKTA,2017-05-01,26.5,26.8,25.31,25.52,373831,26.5,26.8,25.31,25.52,373831,0.0,1.0,25.52,25.31,26.8
OKTA,2017-05-02,25.55,26.0,24.11,24.76,387751,25.55,26.0,24.11,24.76,387751,0.0,1.0,24.76,24.11,26.0
OKTA,2017-05-03,24.4,25.19,24.37,24.975,209577,24.4,25.19,24.37,24.975,209577,0.0,1.0,24.975,24.37,25.19
OKTA,2017-05-04,24.95,25.135,24.09,24.97,112755,24.95,25.135,24.09,24.97,112755,0.0,1.0,24.97,24.09,25.135
OKTA,2017-05-05,24.96,25.15,24.6,25.15,158361,24.96,25.15,24.6,25.15,158361,0.0,1.0,25.15,24.6,25.15
OKTA,2017-05-08,25.0,25.0,23.58,23.73,247146,25.0,25.0,23.58,23.73,247146,0.0,1.0,23.73,23.58,25.0
OKTA,2017-05-09,23.63,24.305,23.27,23.86,302242,23.63,24.305,23.27,23.86,302242,0.0,1.0,23.86,23.27,24.305
OKTA,2017-05-10,23.85,24.16,23.4,23.45,203424,23.85,24.16,23.4,23.45,203424,0.0,1.0,23.45,23.4,24.16
OKTA,2017-05-11,23.36,23.82,22.89,23.34,207861,23.36,23.82,22.89,23.34,207861,0.0,1.0,23.34,22.89,23.82
OKTA,2017-05-12,23.36,23.88,23.325,23.7,211139,23.36,23.88,23.325,23.7,211139,0.0,1.0,23.7,23.325,23.88
OKTA,2017-05-15,23.94,24.9,23.51,23.74,215186,23.94,24.9,23.51,23.74,215186,0.0,1.0,23.74,23.51,24.9
OKTA,2017-05-16,23.85,24.34,23.12,23.26,186435,23.85,24.34,23.12,23.26,186435,0.0,1.0,23.26,23.12,24.34
OKTA,2017-05-17,23.15,23.77,22.67,22.91,325354,23.15,23.77,22.67,22.91,325354,0.0,1.0,22.91,22.67,23.77
OKTA,2017-05-18,22.98,23.265,22.85,22.99,250260,22.98,23.265,22.85,22.99,250260,0.0,1.0,22.99,22.85,23.265
OKTA,2017-05-19,23.08,24.3,23.01,24.24,302713,23.08,24.3,23.01,24.24,302713,0.0,1.0,24.24,23.01,24.3
OKTA,2017-05-22,24.25,25.42,24.25,25.01,315234,24.25,25.42,24.25,25.01,315234,0.0,1.0,25.01,24.25,25.42
OKTA,2017-05-23,25.05,25.451,24.401,24.52,363107,25.05,25.451,24.401,24.52,363107,0.0,1.0,24.52,24.401,25.451
OKTA,2017-05-24,24.714,25.0,24.2,24.24,253499,24.714,25.0,24.2,24.24,253499,0.0,1.0,24.24,24.2,25.0
OKTA,2017-05-25,24.29,26.49,24.28,25.06,583485,24.29,26.49,24.28,25.06,583485,0.0,1.0,25.06,24.28,26.49
OKTA,2017-05-26,25.0,26.25,24.8,25.99,206937,25.0,26.25,24.8,25.99,206937,0.0,1.0,25.99,24.8,26.25
OKTA,2017-05-30,26.11,26.8,25.56,25.99,216857,26.11,26.8,25.56,25.99,216857,0.0,1.0,25.99,25.56,26.8
OKTA,2017-05-31,26.3,26.37,25.64,26.1,222900,26.3,26.37,25.64,26.1,222900,0.0,1.0,26.1,25.64,26.37
OKTA,2017-06-01,26.29,26.479,25.16,25.3,257779,26.29,26.479,25.16,25.3,257779,0.0,1.0,25.3,25.16,26.479
OKTA,2017-06-02,25.28,25.44,24.36,24.93,309036,25.28,25.44,24.36,24.93,309036,0.0,1.0,24.93,24.36,25.44
OKTA,2017-06-05,25.06,25.265,24.53,24.61,238760,25.06,25.265,24.53,24.61,238760,0.0,1.0,24.61,24.53,25.265
OKTA,2017-06-06,24.5,25.45,24.5,24.85,451778,24.5,25.45,24.5,24.85,451778,0.0,1.0,24.85,24.5,25.45
OKTA,2017-06-07,25.39,25.96,24.43,25.69,976926,25.39,25.96,24.43,25.69,976926,0.0,1.0,25.69,24.43,25.96
OKTA,2017-06-08,27.6,28.1,26.01,27.15,2090882,27.6,28.1,26.01,27.15,2090882,0.0,1.0,27.15,26.01,28.1
OKTA,2017-06-09,27.43,28.25,25.0,25.09,895957,27.43,28.25,25.0,25.09,895957,0.0,1.0,25.09,25.0,28.25
OKTA,2017-06-12,25.5,25.59,23.55,23.81,681610,25.5,25.59,23.55,23.81,681610,0.0,1.0,23.81,23.55,25.59
OKTA,2017-06-13,24.0,26.166,24.0,25.53,749192,24.0,26.166,24.0,25.53,749192,0.0,1.0,25.53,24.0,26.166
OKTA,2017-06-14,25.67,26.82,25.64,26.55,464892,25.67,26.82,25.64,26.55,464892,0.0,1.0,26.55,25.64,26.82
OKTA,2017-06-15,26.24,26.24,25.0,25.64,378111,26.24,26.24,25.0,25.64,378111,0.0,1.0,25.64,25.0,26.24
OKTA,2017-06-16,25.71,26.55,25.28,26.48,902543,25.71,26.55,25.28,26.48,902543,0.0,1.0,26.48,25.28,26.55
OKTA,2017-06-19,26.67,27.35,26.6,27.31,355446,26.67,27.35,26.6,27.31,355446,0.0,1.0,27.31,26.6,27.35
OKTA,2017-06-20,27.39,27.425,26.15,26.61,372093,27.39,27.425,26.15,26.61,372093,0.0,1.0,26.61,26.15,27.425
OKTA,2017-06-21,26.69,26.863,25.53,25.94,398974,26.69,26.863,25.53,25.94,398974,0.0,1.0,25.94,25.53,26.863
