ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ON,2005-01-03,4.6,4.64,4.39,4.44,1830700,4.6,4.64,4.39,4.44,1830700,0.0,1.0,4.44,4.39,4.64
ON,2005-01-04,4.45,4.53,4.12,4.13,1538100,4.45,4.53,4.12,4.13,1538100,0.0,1.0,4.13,4.12,4.53
ON,2005-01-05,4.13,4.21,3.87,4.0,1856400,4.13,4.21,3.87,4.0,1856400,0.0,1.0,4.0,3.87,4.21
ON,2005-01-06,4.0,4.07,3.85,3.86,1891400,4.0,4.07,3.85,3.86,1891400,0.0,1.0,3.86,3.85,4.07
ON,2005-01-07,3.96,3.96,3.61,3.61,2304500,3.96,3.96,3.61,3.61,2304500,0.0,1.0,3.61,3.61,3.96
ON,2005-01-10,3.71,3.71,3.44,3.55,2237900,3.71,3.71,3.44,3.55,2237900,0.0,1.0,3.55,3.44,3.71
ON,2005-01-11,3.56,3.65,3.43,3.6,2104200,3.56,3.65,3.43,3.6,2104200,0.0,1.0,3.6,3.43,3.65
ON,2005-01-12,3.6,3.72,3.53,3.63,990100,3.6,3.72,3.53,3.63,990100,0.0,1.0,3.63,3.53,3.72
ON,2005-01-13,3.63,3.66,3.43,3.48,1246200,3.63,3.66,3.43,3.48,1246200,0.0,1.0,3.48,3.43,3.66
ON,2005-01-14,3.5,3.68,3.47,3.64,1036700,3.5,3.68,3.47,3.64,1036700,0.0,1.0,3.64,3.47,3.68
ON,2005-01-18,3.65,3.69,3.511,3.58,1382600,3.65,3.69,3.511,3.58,1382600,0.0,1.0,3.58,3.511,3.69
ON,2005-01-19,3.61,3.64,3.36,3.42,1224500,3.61,3.64,3.36,3.42,1224500,0.0,1.0,3.42,3.36,3.64
ON,2005-01-20,3.32,3.54,3.28,3.39,2514500,3.32,3.54,3.28,3.39,2514500,0.0,1.0,3.39,3.28,3.54
ON,2005-01-21,3.39,3.51,3.34,3.41,1307000,3.39,3.51,3.34,3.41,1307000,0.0,1.0,3.41,3.34,3.51
ON,2005-01-24,3.45,3.47,3.26,3.32,1333100,3.45,3.47,3.26,3.32,1333100,0.0,1.0,3.32,3.26,3.47
ON,2005-01-25,3.37,3.56,3.33,3.53,2207800,3.37,3.56,3.33,3.53,2207800,0.0,1.0,3.53,3.33,3.56
ON,2005-01-26,3.55,3.67,3.5,3.63,760300,3.55,3.67,3.5,3.63,760300,0.0,1.0,3.63,3.5,3.67
ON,2005-01-27,3.59,3.65,3.5,3.59,852600,3.59,3.65,3.5,3.59,852600,0.0,1.0,3.59,3.5,3.65
ON,2005-01-28,3.59,3.65,3.55,3.63,900900,3.59,3.65,3.55,3.63,900900,0.0,1.0,3.63,3.55,3.65
ON,2005-01-31,3.7,3.79,3.66,3.66,1216300,3.7,3.79,3.66,3.66,1216300,0.0,1.0,3.66,3.66,3.79
ON,2005-02-01,3.72,3.79,3.67,3.76,1633800,3.72,3.79,3.67,3.76,1633800,0.0,1.0,3.76,3.67,3.79
ON,2005-02-02,3.75,3.9,3.7,3.82,1666600,3.75,3.9,3.7,3.82,1666600,0.0,1.0,3.82,3.7,3.9
ON,2005-02-03,3.78,3.81,3.55,3.57,2450300,3.78,3.81,3.55,3.57,2450300,0.0,1.0,3.57,3.55,3.81
ON,2005-02-04,3.58,3.79,3.5,3.77,1076300,3.58,3.79,3.5,3.77,1076300,0.0,1.0,3.77,3.5,3.79
ON,2005-02-07,3.75,3.95,3.71,3.85,1797400,3.75,3.95,3.71,3.85,1797400,0.0,1.0,3.85,3.71,3.95
ON,2005-02-08,3.89,4.49,3.82,4.4,4514500,3.89,4.49,3.82,4.4,4514500,0.0,1.0,4.4,3.82,4.49
ON,2005-02-09,4.37,4.4,4.2,4.27,4187500,4.37,4.4,4.2,4.27,4187500,0.0,1.0,4.27,4.2,4.4
ON,2005-02-10,4.27,4.5,4.25,4.4,2192800,4.27,4.5,4.25,4.4,2192800,0.0,1.0,4.4,4.25,4.5
ON,2005-02-11,4.43,4.57,4.33,4.53,2513700,4.43,4.57,4.33,4.53,2513700,0.0,1.0,4.53,4.33,4.57
ON,2005-02-14,4.48,4.62,4.4,4.48,1131000,4.48,4.62,4.4,4.48,1131000,0.0,1.0,4.48,4.4,4.62
ON,2005-02-15,4.48,4.76,4.44,4.69,3390100,4.48,4.76,4.44,4.69,3390100,0.0,1.0,4.69,4.44,4.76
ON,2005-02-16,4.72,4.95,4.5,4.9,3663000,4.72,4.95,4.5,4.9,3663000,0.0,1.0,4.9,4.5,4.95
ON,2005-02-17,4.9,5.04,4.77,4.8,2723900,4.9,5.04,4.77,4.8,2723900,0.0,1.0,4.8,4.77,5.04
ON,2005-02-18,4.83,4.95,4.52,4.68,1694400,4.83,4.95,4.52,4.68,1694400,0.0,1.0,4.68,4.52,4.95
