ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
QCOM,2005-01-03,42.7,43.27,41.71,42.32,13651100,26.5397804505,26.8940585502,25.92445533,26.3035950507,13651100,0.0,1.0,26.3035950507,25.92445533,26.8940585502
QCOM,2005-01-04,42.97,43.2,42.08,42.13,18800300,26.7075963925,26.8505507134,26.1544253245,26.1855023508,18800300,0.0,1.0,26.1855023508,26.1544253245,26.8505507134
QCOM,2005-01-05,42.14,42.83,42.02,42.31,13725000,26.1917177561,26.6205807189,26.117132893,26.2973796455,13725000,0.0,1.0,26.2973796455,26.117132893,26.6205807189
QCOM,2005-01-06,42.5,43.44,42.45,43.0,14199100,26.4154723454,26.9997204396,26.3843953191,26.7262426082,14199100,0.0,1.0,26.7262426082,26.3843953191,26.9997204396
QCOM,2005-01-07,43.41,43.71,42.73,43.22,12014000,26.9810742238,27.1675363815,26.5584266663,26.8629815239,12014000,0.0,1.0,26.8629815239,26.5584266663,27.1675363815
QCOM,2005-01-10,43.01,43.65,42.79,43.15,10470700,26.7324580135,27.13024395,26.5957190978,26.8194736871,10470700,0.0,1.0,26.8194736871,26.5957190978,27.13024395
QCOM,2005-01-11,42.82,43.5,42.78,43.24,10721700,26.6143653136,27.0370128711,26.5895036926,26.8754123344,10721700,0.0,1.0,26.8754123344,26.5895036926,27.0370128711
QCOM,2005-01-12,43.34,43.36,42.33,43.12,10684800,26.937566387,26.9499971975,26.309810456,26.8008274713,10684800,0.0,1.0,26.8008274713,26.309810456,26.9499971975
QCOM,2005-01-13,42.87,42.91,42.05,42.1,12812000,26.6454423399,26.6703039609,26.1357791088,26.166856135,12812000,0.0,1.0,26.166856135,26.1357791088,26.6703039609
QCOM,2005-01-14,42.3,42.7,42.1,42.21,9216600,26.2911642402,26.5397804505,26.166856135,26.2352255929,9216600,0.0,1.0,26.2352255929,26.166856135,26.5397804505
QCOM,2005-01-18,41.88,42.97,41.52,42.62,16339800,26.0301172194,26.7075963925,25.8063626301,26.4900572084,16339800,0.0,1.0,26.4900572084,25.8063626301,26.7075963925
