ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
QQQ,2005-01-03,40.07,40.292,39.37,39.499,100970900,34.1437770482,34.3329439687,33.5473047763,33.657226095,100970900,0.0,1.0,33.657226095,33.5473047763,34.3329439687
QQQ,2005-01-04,39.69,39.74,38.55,38.78,136623200,33.8199778149,33.8625829772,32.848580115,33.0445638615,136623200,0.0,1.0,33.0445638615,32.848580115,33.8625829772
QQQ,2005-01-05,38.68,38.96,38.47,38.54,127925500,32.9593535369,33.1979424457,32.7804118554,32.8400590825,127925500,0.0,1.0,32.8400590825,32.7804118554,33.1979424457
QQQ,2005-01-06,38.62,38.71,38.34,38.347,102934600,32.9082273422,32.9849166343,32.6696384334,32.6756031562,102934600,0.0,1.0,32.6756031562,32.6696384334,32.9849166343
QQQ,2005-01-07,38.56,38.873,38.21,38.55,123104000,32.8571011475,33.1238094633,32.5588650115,32.848580115,123104000,0.0,1.0,32.848580115,32.5588650115,33.1238094633
QQQ,2005-01-10,38.45,38.87,38.389,38.53,88764200,32.7633697905,33.1212531536,32.7113914925,32.8315380501,88764200,0.0,1.0,32.8315380501,32.7113914925,33.1212531536
QQQ,2005-01-11,38.37,38.496,38.069,38.259,106398800,32.6952015308,32.8025665397,32.4387184539,32.6006180706,106398800,0.0,1.0,32.6006180706,32.4387184539,32.8025665397
QQQ,2005-01-12,38.44,38.6,38.01,38.58,127754900,32.754848758,32.8911852773,32.3884443624,32.8741432124,127754900,0.0,1.0,32.8741432124,32.3884443624,32.8911852773
QQQ,2005-01-13,38.6,38.85,38.01,38.07,101982400,32.8911852773,33.1042110887,32.3884443624,32.4395705572,101982400,0.0,1.0,32.4395705572,32.3884443624,33.1042110887
QQQ,2005-01-14,38.2,38.52,38.19,38.43,93460900,32.5503439791,32.8230170176,32.5418229466,32.7463277255,93460900,0.0,1.0,32.7463277255,32.5418229466,32.8230170176
QQQ,2005-01-18,38.28,38.79,38.22,38.72,91760400,32.6185122387,33.0530848939,32.567386044,32.9934376667,91760400,0.0,1.0,32.9934376667,32.567386044,33.0530848939
QQQ,2005-01-19,38.75,38.75,38.06,38.08,104981000,33.0190007641,33.0190007641,32.4310495247,32.4480915896,104981000,0.0,1.0,32.4480915896,32.4310495247,33.0190007641
QQQ,2005-01-20,37.65,37.811,37.32,37.35,120963900,32.081687194,32.2188758166,31.800493123,31.8260562204,120963900,0.0,1.0,31.8260562204,31.800493123,32.2188758166
