ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
RBLX,2021-03-10,64.5,74.83,60.5,69.5,97069337,64.5,74.83,60.5,69.5,97069337,0.0,1.0,69.5,60.5,74.83
RBLX,2021-03-11,74.93,77.78,70.13,73.9,59629264,74.93,77.78,70.13,73.9,59629264,0.0,1.0,73.9,70.13,77.78
RBLX,2021-03-12,72.47,72.96,69.11,69.7,19714717,72.47,72.96,69.11,69.7,19714717,0.0,1.0,69.7,69.11,72.96
RBLX,2021-03-15,70.02,74.06,66.25,72.15,19607068,70.02,74.06,66.25,72.15,19607068,0.0,1.0,72.15,66.25,74.06
RBLX,2021-03-16,73.73,78.0,73.18,77.0,30274438,73.73,78.0,73.18,77.0,30274438,0.0,1.0,77.0,73.18,78.0
RBLX,2021-03-17,76.03,79.1,74.8901,76.79,10054148,76.03,79.1,74.8901,76.79,10054148,0.0,1.0,76.79,74.8901,79.1
RBLX,2021-03-18,76.0,77.0,66.8,67.3,9702962,76.0,77.0,66.8,67.3,9702962,0.0,1.0,67.3,66.8,77.0
RBLX,2021-03-19,69.47,72.7,68.08,70.5,6776471,69.47,72.7,68.08,70.5,6776471,0.0,1.0,70.5,68.08,72.7
RBLX,2021-03-22,71.81,72.49,69.54,70.0,4238528,71.81,72.49,69.54,70.0,4238528,0.0,1.0,70.0,69.54,72.49
RBLX,2021-03-23,70.1,71.75,67.63,68.0,4456034,70.1,71.75,67.63,68.0,4456034,0.0,1.0,68.0,67.63,71.75
RBLX,2021-03-24,69.97,70.0,64.01,64.5,5459952,69.97,70.0,64.01,64.5,5459952,0.0,1.0,64.5,64.01,70.0
RBLX,2021-03-25,62.01,69.85,60.69,67.85,6283000,62.01,69.85,60.69,67.85,6283000,0.0,1.0,67.85,60.69,69.85
RBLX,2021-03-26,67.89,71.2,64.77,70.97,4531240,67.89,71.2,64.77,70.97,4531240,0.0,1.0,70.97,64.77,71.2
RBLX,2021-03-29,69.0,69.09,66.51,67.03,4351600,69.0,69.09,66.51,67.03,4351600,0.0,1.0,67.03,66.51,69.09
RBLX,2021-03-30,66.98,66.99,64.475,65.17,3394512,66.98,66.99,64.475,65.17,3394512,0.0,1.0,65.17,64.475,66.99
RBLX,2021-03-31,65.5,67.19,64.57,64.83,4094917,65.5,67.19,64.57,64.83,4094917,0.0,1.0,64.83,64.57,67.19
RBLX,2021-04-01,66.8,69.67,65.9,67.34,4063114,66.8,69.67,65.9,67.34,4063114,0.0,1.0,67.34,65.9,69.67
RBLX,2021-04-05,70.14,72.86,68.56,70.76,8609492,70.14,72.86,68.56,70.76,8609492,0.0,1.0,70.76,68.56,72.86
