ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
RKLB,2021-08-24,11.3,11.9,11.11,11.57,1279000,11.3,11.9,11.11,11.57,1279000,0.0,1.0,11.57,11.11,11.9
RKLB,2021-08-25,11.5805,11.6,9.98,10.43,5599989,11.5805,11.6,9.98,10.43,5599989,0.0,1.0,10.43,9.98,11.6
RKLB,2021-08-26,11.0,11.04,9.96,9.96,3293796,11.0,11.04,9.96,9.96,3293796,0.0,1.0,9.96,9.96,11.04
RKLB,2021-08-27,10.3141,10.5,9.5,10.35,2825007,10.3141,10.5,9.5,10.35,2825007,0.0,1.0,10.35,9.5,10.5
RKLB,2021-08-30,10.5,10.51,9.8,10.03,2264954,10.5,10.51,9.8,10.03,2264954,0.0,1.0,10.03,9.8,10.51
RKLB,2021-08-31,10.0213,10.2,9.66,10.03,2193768,10.0213,10.2,9.66,10.03,2193768,0.0,1.0,10.03,9.66,10.2
RKLB,2021-09-01,10.18,10.2997,9.98,10.14,1942575,10.18,10.2997,9.98,10.14,1942575,0.0,1.0,10.14,9.98,10.2997
RKLB,2021-09-02,10.2,12.27,10.0,11.63,4163167,10.2,12.27,10.0,11.63,4163167,0.0,1.0,11.63,10.0,12.27
RKLB,2021-09-03,11.75,14.34,11.01,13.52,10006086,11.75,14.34,11.01,13.52,10006086,0.0,1.0,13.52,11.01,14.34
RKLB,2021-09-07,15.02,16.46,14.07,14.5,15909102,15.02,16.46,14.07,14.5,15909102,0.0,1.0,14.5,14.07,16.46
RKLB,2021-09-08,14.745,15.7,14.5102,15.09,6717263,14.745,15.7,14.5102,15.09,6717263,0.0,1.0,15.09,14.5102,15.7
RKLB,2021-09-09,16.27,21.34,16.27,20.72,43147806,16.27,21.34,16.27,20.72,43147806,0.0,1.0,20.72,16.27,21.34
RKLB,2021-09-10,20.28,20.87,17.81,18.69,13557431,20.28,20.87,17.81,18.69,13557431,0.0,1.0,18.69,17.81,20.87
RKLB,2021-09-13,18.38,18.41,15.03,15.4,8788112,18.38,18.41,15.03,15.4,8788112,0.0,1.0,15.4,15.03,18.41
RKLB,2021-09-14,15.89,16.97,15.13,15.78,5329524,15.89,16.97,15.13,15.78,5329524,0.0,1.0,15.78,15.13,16.97
RKLB,2021-09-15,16.0353,16.05,14.62,15.39,4028470,16.0353,16.05,14.62,15.39,4028470,0.0,1.0,15.39,14.62,16.05
RKLB,2021-09-16,15.58,16.59,14.91,15.89,3616555,15.58,16.59,14.91,15.89,3616555,0.0,1.0,15.89,14.91,16.59
RKLB,2021-09-17,16.15,16.15,15.28,15.41,3880128,16.15,16.15,15.28,15.41,3880128,0.0,1.0,15.41,15.28,16.15
RKLB,2021-09-20,14.78,15.1,14.03,14.81,3338878,14.78,15.1,14.03,14.81,3338878,0.0,1.0,14.81,14.03,15.1
RKLB,2021-09-21,14.86,15.09,14.29,14.47,2417832,14.86,15.09,14.29,14.47,2417832,0.0,1.0,14.47,14.29,15.09
RKLB,2021-09-22,15.0,15.4,14.5,14.54,2151474,15.0,15.4,14.5,14.54,2151474,0.0,1.0,14.54,14.5,15.4
RKLB,2021-09-23,14.54,14.7666,14.05,14.15,2109370,14.54,14.7666,14.05,14.15,2109370,0.0,1.0,14.15,14.05,14.7666
RKLB,2021-09-24,14.18,14.25,13.46,14.05,1952433,14.18,14.25,13.46,14.05,1952433,0.0,1.0,14.05,13.46,14.25
