ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
SHOP,2015-05-21,28.0,28.74,24.11,25.68,12303615,2.8,2.874,2.411,2.568,123036150,0.0,1.0,2.568,2.411,2.874
SHOP,2015-05-22,26.17,31.1,26.0,28.31,2842781,2.617,3.11,2.6,2.831,28427810,0.0,1.0,2.831,2.6,3.11
SHOP,2015-05-26,29.8,30.34,29.08,29.65,819733,2.98,3.034,2.908,2.965,8197330,0.0,1.0,2.965,2.908,3.034
SHOP,2015-05-27,30.67,30.81,27.0,27.5,797976,3.067,3.081,2.7,2.75,7979760,0.0,1.0,2.75,2.7,3.081
SHOP,2015-05-28,27.55,27.74,26.48,27.45,400367,2.755,2.774,2.648,2.745,4003670,0.0,1.0,2.745,2.648,2.774
SHOP,2015-05-29,27.25,27.38,26.87,27.2,255419,2.725,2.738,2.687,2.72,2554190,0.0,1.0,2.72,2.687,2.738
SHOP,2015-06-01,27.2,27.44,26.6,27.33,257040,2.72,2.744,2.66,2.733,2570400,0.0,1.0,2.733,2.66,2.744
SHOP,2015-06-02,27.47,27.47,26.65,26.95,379765,2.747,2.747,2.665,2.695,3797650,0.0,1.0,2.695,2.665,2.747
SHOP,2015-06-03,26.76,27.5,26.5,27.44,302948,2.676,2.75,2.65,2.744,3029480,0.0,1.0,2.744,2.65,2.75
SHOP,2015-06-04,27.42,27.49,25.51,26.78,322577,2.742,2.749,2.551,2.678,3225770,0.0,1.0,2.678,2.551,2.749
SHOP,2015-06-05,26.66,27.39,26.1,27.39,129560,2.666,2.739,2.61,2.739,1295600,0.0,1.0,2.739,2.61,2.739
SHOP,2015-06-08,26.9,27.48,26.82,26.98,280925,2.69,2.748,2.682,2.698,2809250,0.0,1.0,2.698,2.682,2.748
SHOP,2015-06-09,26.64,28.46,26.64,28.34,337785,2.664,2.846,2.664,2.834,3377850,0.0,1.0,2.834,2.664,2.846
SHOP,2015-06-10,28.45,28.88,27.95,28.1,273588,2.845,2.888,2.795,2.81,2735880,0.0,1.0,2.81,2.795,2.888
