ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
SOFI,2020-11-30,11.0,13.94,10.1,10.48,186696,11.0,13.94,10.1,10.48,186696,0.0,1.0,10.48,10.1,13.94
SOFI,2020-12-01,10.6,10.74,10.46,10.6,435476,10.6,10.74,10.46,10.6,435476,0.0,1.0,10.6,10.46,10.74
SOFI,2020-12-02,10.65,10.705,10.4,10.55,318208,10.65,10.705,10.4,10.55,318208,0.0,1.0,10.55,10.4,10.705
SOFI,2020-12-03,10.55,10.56,10.4,10.42,448261,10.55,10.56,10.4,10.42,448261,0.0,1.0,10.42,10.4,10.56
SOFI,2020-12-04,10.65,10.65,10.37,10.41,536546,10.65,10.65,10.37,10.41,536546,0.0,1.0,10.41,10.37,10.65
SOFI,2020-12-07,10.69,10.8,10.44,10.62,824228,10.69,10.8,10.44,10.62,824228,0.0,1.0,10.62,10.44,10.8
SOFI,2020-12-08,10.8,11.0,10.7,10.87,1540954,10.8,11.0,10.7,10.87,1540954,0.0,1.0,10.87,10.7,11.0
SOFI,2020-12-09,11.04,11.25,10.75,10.99,1475932,11.04,11.25,10.75,10.99,1475932,0.0,1.0,10.99,10.75,11.25
SOFI,2020-12-10,11.0,11.13,10.75,10.91,643193,11.0,11.13,10.75,10.91,643193,0.0,1.0,10.91,10.75,11.13
SOFI,2020-12-11,11.05,11.27,10.8,11.06,1334182,11.05,11.27,10.8,11.06,1334182,0.0,1.0,11.06,10.8,11.27
SOFI,2020-12-14,11.2,11.36,10.9,11.11,1408807,11.2,11.36,10.9,11.11,1408807,0.0,1.0,11.11,10.9,11.36
SOFI,2020-12-15,11.15,11.2,10.81,11.08,1132415,11.15,11.2,10.81,11.08,1132415,0.0,1.0,11.08,10.81,11.2
SOFI,2020-12-16,11.06,11.06,10.81,10.99,1137143,11.06,11.06,10.81,10.99,1137143,0.0,1.0,10.99,10.81,11.06
SOFI,2020-12-17,11.07,11.1,10.9477,11.03,397311,11.07,11.1,10.9477,11.03,397311,0.0,1.0,11.03,10.9477,11.1
SOFI,2020-12-18,11.11,11.415,10.9944,11.22,773792,11.11,11.415,10.9944,11.22,773792,0.0,1.0,11.22,10.9944,11.415
SOFI,2020-12-21,11.58,11.59,11.13,11.4,2660583,11.58,11.59,11.13,11.4,2660583,0.0,1.0,11.4,11.13,11.59
SOFI,2020-12-22,11.95,12.1389,11.4,11.62,2068909,11.95,12.1389,11.4,11.62,2068909,0.0,1.0,11.62,11.4,12.1389
SOFI,2020-12-23,11.98,12.2,11.74,12.05,2239358,11.98,12.2,11.74,12.05,2239358,0.0,1.0,12.05,11.74,12.2
SOFI,2020-12-24,12.42,12.45,12.05,12.4,1038732,12.42,12.45,12.05,12.4,1038732,0.0,1.0,12.4,12.05,12.45
SOFI,2020-12-28,12.89,13.04,12.45,12.66,2562690,12.89,13.04,12.45,12.66,2562690,0.0,1.0,12.66,12.45,13.04
SOFI,2020-12-29,12.77,12.78,12.07,12.3,1752490,12.77,12.78,12.07,12.3,1752490,0.0,1.0,12.3,12.07,12.78
SOFI,2020-12-30,12.0,12.52,11.9,12.46,1220662,12.0,12.52,11.9,12.46,1220662,0.0,1.0,12.46,11.9,12.52
SOFI,2020-12-31,12.45,12.5,12.16,12.44,828380,12.45,12.5,12.16,12.44,828380,0.0,1.0,12.44,12.16,12.5
SOFI,2021-01-04,12.59,12.59,11.8,12.2,1371365,12.59,12.59,11.8,12.2,1371365,0.0,1.0,12.2,11.8,12.59
SOFI,2021-01-05,12.15,12.28,12.09,12.15,1303969,12.15,12.28,12.09,12.15,1303969,0.0,1.0,12.15,12.09,12.28
SOFI,2021-01-06,12.15,12.2,11.89,12.12,1105655,12.15,12.2,11.89,12.12,1105655,0.0,1.0,12.12,11.89,12.2
SOFI,2021-01-07,12.2,22.0,12.05,19.14,62703142,12.2,22.0,12.05,19.14,62703142,0.0,1.0,19.14,12.05,22.0
SOFI,2021-01-08,21.46,22.0,17.89,18.74,35656955,21.46,22.0,17.89,18.74,35656955,0.0,1.0,18.74,17.89,22.0
SOFI,2021-01-11,19.37,19.75,18.65,18.99,11702228,19.37,19.75,18.65,18.99,11702228,0.0,1.0,18.99,18.65,19.75
SOFI,2021-01-12,18.98,19.19,18.25,18.45,7010423,18.98,19.19,18.25,18.45,7010423,0.0,1.0,18.45,18.25,19.19
SOFI,2021-01-13,18.9,19.59,18.53,19.11,8226365,18.9,19.59,18.53,19.11,8226365,0.0,1.0,19.11,18.53,19.59
SOFI,2021-01-14,19.4,19.45,18.92,19.16,7705092,19.4,19.45,18.92,19.16,7705092,0.0,1.0,19.16,18.92,19.45
SOFI,2021-01-15,19.32,21.05,19.11,20.16,13024851,19.32,21.05,19.11,20.16,13024851,0.0,1.0,20.16,19.11,21.05
SOFI,2021-01-19,21.9,24.22,21.06,22.59,22266241,21.9,24.22,21.06,22.59,22266241,0.0,1.0,22.59,21.06,24.22
SOFI,2021-01-20,23.86,24.62,22.11,22.37,10236079,23.86,24.62,22.11,22.37,10236079,0.0,1.0,22.37,22.11,24.62
SOFI,2021-01-21,23.0,23.05,21.5,22.39,6971452,23.0,23.05,21.5,22.39,6971452,0.0,1.0,22.39,21.5,23.05
SOFI,2021-01-22,22.09,22.99,21.19,21.65,6727266,22.09,22.99,21.19,21.65,6727266,0.0,1.0,21.65,21.19,22.99
SOFI,2021-01-25,22.16,22.85,20.0,20.48,9701774,22.16,22.85,20.0,20.48,9701774,0.0,1.0,20.48,20.0,22.85
SOFI,2021-01-26,20.4,21.32,19.5,19.57,9172375,20.4,21.32,19.5,19.57,9172375,0.0,1.0,19.57,19.5,21.32
SOFI,2021-01-27,19.0,19.25,17.9,18.18,16297554,19.0,19.25,17.9,18.18,16297554,0.0,1.0,18.18,17.9,19.25
SOFI,2021-01-28,20.42,20.92,19.1,20.28,12032102,20.42,20.92,19.1,20.28,12032102,0.0,1.0,20.28,19.1,20.92
SOFI,2021-01-29,23.19,26.97,21.8,25.14,36434550,23.19,26.97,21.8,25.14,36434550,0.0,1.0,25.14,21.8,26.97
SOFI,2021-02-01,25.85,28.26,25.14,25.78,18319125,25.85,28.26,25.14,25.78,18319125,0.0,1.0,25.78,25.14,28.26
SOFI,2021-02-02,26.01,26.18,23.85,24.33,8854809,26.01,26.18,23.85,24.33,8854809,0.0,1.0,24.33,23.85,26.18
SOFI,2021-02-03,24.8,25.75,24.51,24.95,4251461,24.8,25.75,24.51,24.95,4251461,0.0,1.0,24.95,24.51,25.75
SOFI,2021-02-04,24.07,25.12,23.42,25.06,8449840,24.07,25.12,23.42,25.06,8449840,0.0,1.0,25.06,23.42,25.12
SOFI,2021-02-05,24.29,24.52,22.9,23.1,12226842,24.29,24.52,22.9,23.1,12226842,0.0,1.0,23.1,22.9,24.52
SOFI,2021-02-08,23.4,24.39,22.8,23.0,7344517,23.4,24.39,22.8,23.0,7344517,0.0,1.0,23.0,22.8,24.39
SOFI,2021-02-09,22.93,24.0,22.75,23.12,6281337,22.93,24.0,22.75,23.12,6281337,0.0,1.0,23.12,22.75,24.0
SOFI,2021-02-10,23.7,23.79,22.25,22.99,6213655,23.7,23.79,22.25,22.99,6213655,0.0,1.0,22.99,22.25,23.79
SOFI,2021-02-11,23.0,23.95,22.32,23.07,8551071,23.0,23.95,22.32,23.07,8551071,0.0,1.0,23.07,22.32,23.95
SOFI,2021-02-12,22.84,24.48,22.8101,23.9,5847433,22.84,24.48,22.8101,23.9,5847433,0.0,1.0,23.9,22.8101,24.48
SOFI,2021-02-16,24.45,24.7,23.56,24.3,6134893,24.45,24.7,23.56,24.3,6134893,0.0,1.0,24.3,23.56,24.7
SOFI,2021-02-17,24.27,24.3,23.0,23.88,4658890,24.27,24.3,23.0,23.88,4658890,0.0,1.0,23.88,23.0,24.3
SOFI,2021-02-18,22.6,23.32,22.26,23.23,5747048,22.6,23.32,22.26,23.23,5747048,0.0,1.0,23.23,22.26,23.32
SOFI,2021-02-19,23.5,23.6,22.6,22.69,5138751,23.5,23.6,22.6,22.69,5138751,0.0,1.0,22.69,22.6,23.6
SOFI,2021-02-22,22.5,22.8374,21.02,21.29,6245573,22.5,22.8374,21.02,21.29,6245573,0.0,1.0,21.29,21.02,22.8374
SOFI,2021-02-23,19.99,20.5999,16.84,20.12,12561903,19.99,20.5999,16.84,20.12,12561903,0.0,1.0,20.12,16.84,20.5999
SOFI,2021-02-24,20.0,20.3,19.0,19.41,7947324,20.0,20.3,19.0,19.41,7947324,0.0,1.0,19.41,19.0,20.3
SOFI,2021-02-25,20.43,21.0,18.525,18.72,7770704,20.43,21.0,18.525,18.72,7770704,0.0,1.0,18.72,18.525,21.0
SOFI,2021-02-26,18.85,19.22,17.7672,18.43,9013967,18.85,19.22,17.7672,18.43,9013967,0.0,1.0,18.43,17.7672,19.22
SOFI,2021-03-01,19.74,19.85,19.05,19.34,4422187,19.74,19.85,19.05,19.34,4422187,0.0,1.0,19.34,19.05,19.85
SOFI,2021-03-02,19.4,19.61,18.62,18.77,3808951,19.4,19.61,18.62,18.77,3808951,0.0,1.0,18.77,18.62,19.61
SOFI,2021-03-03,18.78,19.0,17.1,17.22,7175490,18.78,19.0,17.1,17.22,7175490,0.0,1.0,17.22,17.1,19.0
SOFI,2021-03-04,17.3,17.58,14.75,16.06,15322890,17.3,17.58,14.75,16.06,15322890,0.0,1.0,16.06,14.75,17.58
SOFI,2021-03-05,16.41,17.88,13.14,17.72,18226605,16.41,17.88,13.14,17.72,18226605,0.0,1.0,17.72,13.14,17.88
SOFI,2021-03-08,16.84,17.7,15.76,16.11,7871834,16.84,17.7,15.76,16.11,7871834,0.0,1.0,16.11,15.76,17.7
SOFI,2021-03-09,17.25,18.39,16.55,17.48,8573200,17.25,18.39,16.55,17.48,8573200,0.0,1.0,17.48,16.55,18.39
SOFI,2021-03-10,18.28,19.48,17.8,19.06,7508230,18.28,19.48,17.8,19.06,7508230,0.0,1.0,19.06,17.8,19.48
SOFI,2021-03-11,19.5,19.82,18.7001,19.36,4959650,19.5,19.82,18.7001,19.36,4959650,0.0,1.0,19.36,18.7001,19.82
SOFI,2021-03-12,18.38,19.29,18.14,19.02,2859058,18.38,19.29,18.14,19.02,2859058,0.0,1.0,19.02,18.14,19.29
SOFI,2021-03-15,19.02,19.58,18.47,19.48,3515913,19.02,19.58,18.47,19.48,3515913,0.0,1.0,19.48,18.47,19.58
SOFI,2021-03-16,19.27,19.48,18.01,18.45,3023710,19.27,19.48,18.01,18.45,3023710,0.0,1.0,18.45,18.01,19.48
SOFI,2021-03-17,17.61,19.355,17.5,19.15,3651446,17.61,19.355,17.5,19.15,3651446,0.0,1.0,19.15,17.5,19.355
SOFI,2021-03-18,18.5,19.1,18.05,18.14,2999232,18.5,19.1,18.05,18.14,2999232,0.0,1.0,18.14,18.05,19.1
SOFI,2021-03-19,17.77,18.43,17.06,18.25,3667400,17.77,18.43,17.06,18.25,3667400,0.0,1.0,18.25,17.06,18.43
SOFI,2021-03-22,18.28,18.49,17.82,18.27,2316971,18.28,18.49,17.82,18.27,2316971,0.0,1.0,18.27,17.82,18.49
SOFI,2021-03-23,17.96,18.18,17.27,17.9,2939043,17.96,18.18,17.27,17.9,2939043,0.0,1.0,17.9,17.27,18.18
SOFI,2021-03-24,17.56,17.8189,16.25,16.48,4642127,17.56,17.8189,16.25,16.48,4642127,0.0,1.0,16.48,16.25,17.8189
SOFI,2021-03-25,15.7,16.79,15.11,16.63,5364400,15.7,16.79,15.11,16.63,5364400,0.0,1.0,16.63,15.11,16.79
SOFI,2021-03-26,17.14,17.72,16.52,17.1,4598666,17.14,17.72,16.52,17.1,4598666,0.0,1.0,17.1,16.52,17.72
SOFI,2021-03-29,16.98,17.09,16.22,16.44,2827866,16.98,17.09,16.22,16.44,2827866,0.0,1.0,16.44,16.22,17.09
SOFI,2021-03-30,16.27,17.22,15.9,16.5,2634355,16.27,17.22,15.9,16.5,2634355,0.0,1.0,16.5,15.9,17.22
SOFI,2021-03-31,16.97,17.36,16.68,17.15,2665288,16.97,17.36,16.68,17.15,2665288,0.0,1.0,17.15,16.68,17.36
SOFI,2021-04-01,17.51,17.64,16.91,17.27,2322619,17.51,17.64,16.91,17.27,2322619,0.0,1.0,17.27,16.91,17.64
SOFI,2021-04-05,17.74,17.84,16.66,16.72,2506596,17.74,17.84,16.66,16.72,2506596,0.0,1.0,16.72,16.66,17.84
SOFI,2021-04-06,16.51,17.3031,16.5,17.26,1849475,16.51,17.3031,16.5,17.26,1849475,0.0,1.0,17.26,16.5,17.3031
SOFI,2021-04-07,17.25,17.37,16.9,17.2,1988120,17.25,17.37,16.9,17.2,1988120,0.0,1.0,17.2,16.9,17.37
SOFI,2021-04-08,17.03,18.64,17.02,18.14,2527735,17.03,18.64,17.02,18.14,2527735,0.0,1.0,18.14,17.02,18.64
SOFI,2021-04-09,17.96,18.26,17.6,17.77,1654956,17.96,18.26,17.6,17.77,1654956,0.0,1.0,17.77,17.6,18.26
SOFI,2021-04-12,17.87,17.96,16.85,17.0,2309270,17.87,17.96,16.85,17.0,2309270,0.0,1.0,17.0,16.85,17.96
SOFI,2021-04-13,16.66,17.05,16.51,16.83,2234993,16.66,17.05,16.51,16.83,2234993,0.0,1.0,16.83,16.51,17.05
SOFI,2021-04-14,16.94,17.24,16.46,16.68,2418174,16.94,17.24,16.46,16.68,2418174,0.0,1.0,16.68,16.46,17.24
SOFI,2021-04-15,16.75,16.87,16.23,16.28,2088877,16.75,16.87,16.23,16.28,2088877,0.0,1.0,16.28,16.23,16.87
SOFI,2021-04-16,16.14,16.44,15.93,16.32,2167003,16.14,16.44,15.93,16.32,2167003,0.0,1.0,16.32,15.93,16.44
SOFI,2021-04-19,16.04,16.12,15.16,15.39,3816641,16.04,16.12,15.16,15.39,3816641,0.0,1.0,15.39,15.16,16.12
SOFI,2021-04-20,15.5,15.84,14.74,14.87,3430907,15.5,15.84,14.74,14.87,3430907,0.0,1.0,14.87,14.74,15.84
SOFI,2021-04-21,14.85,15.78,14.7,15.21,3493970,14.85,15.78,14.7,15.21,3493970,0.0,1.0,15.21,14.7,15.78
SOFI,2021-04-22,15.94,16.47,15.4,15.84,3141175,15.94,16.47,15.4,15.84,3141175,0.0,1.0,15.84,15.4,16.47
SOFI,2021-04-23,16.39,16.63,15.62,16.17,3029423,16.39,16.63,15.62,16.17,3029423,0.0,1.0,16.17,15.62,16.63
SOFI,2021-04-26,16.48,16.87,16.02,16.68,1964800,16.48,16.87,16.02,16.68,1964800,0.0,1.0,16.68,16.02,16.87
SOFI,2021-04-27,17.15,17.55,16.75,17.4,2583032,17.15,17.55,16.75,17.4,2583032,0.0,1.0,17.4,16.75,17.55
SOFI,2021-04-28,17.25,17.7,17.06,17.55,1771152,17.25,17.7,17.06,17.55,1771152,0.0,1.0,17.55,17.06,17.7
SOFI,2021-04-29,17.8699,17.87,16.815,17.43,2095246,17.8699,17.87,16.815,17.43,2095246,0.0,1.0,17.43,16.815,17.87
SOFI,2021-04-30,17.0,17.37,16.94,17.0,1385057,17.0,17.37,16.94,17.0,1385057,0.0,1.0,17.0,16.94,17.37
SOFI,2021-05-03,17.0,17.15,16.18,16.37,1636490,17.0,17.15,16.18,16.37,1636490,0.0,1.0,16.37,16.18,17.15
SOFI,2021-05-04,16.19,16.4,15.71,16.17,1985775,16.19,16.4,15.71,16.17,1985775,0.0,1.0,16.17,15.71,16.4
SOFI,2021-05-05,16.24,16.3,15.48,15.54,290200,16.24,16.3,15.48,15.54,290200,0.0,1.0,15.54,15.48,16.3
SOFI,2021-05-06,15.5,15.5593,14.9,15.0,2630257,15.5,15.5593,14.9,15.0,2630257,0.0,1.0,15.0,14.9,15.5593
SOFI,2021-05-07,15.2,16.9884,14.87,16.51,5987770,15.2,16.9884,14.87,16.51,5987770,0.0,1.0,16.51,14.87,16.9884
SOFI,2021-05-10,17.4,17.5539,16.27,16.37,4996966,17.4,17.5539,16.27,16.37,4996966,0.0,1.0,16.37,16.27,17.5539
SOFI,2021-05-11,15.15,16.33,15.08,15.17,5042984,15.15,16.33,15.08,15.17,5042984,0.0,1.0,15.17,15.08,16.33
SOFI,2021-05-12,15.13,15.55,14.9,15.05,4218129,15.13,15.55,14.9,15.05,4218129,0.0,1.0,15.05,14.9,15.55
SOFI,2021-05-13,15.2,15.45,14.14,14.61,3765177,15.2,15.45,14.14,14.61,3765177,0.0,1.0,14.61,14.14,15.45
SOFI,2021-05-14,14.96,15.49,14.62,14.94,2838722,14.96,15.49,14.62,14.94,2838722,0.0,1.0,14.94,14.62,15.49
SOFI,2021-05-17,15.02,15.9,14.95,15.48,2563400,15.02,15.9,14.95,15.48,2563400,0.0,1.0,15.48,14.95,15.9
SOFI,2021-05-18,16.0,17.4,15.8,16.8,5163668,16.0,17.4,15.8,16.8,5163668,0.0,1.0,16.8,15.8,17.4
SOFI,2021-05-19,16.31,17.74,16.2,17.43,4685669,16.31,17.74,16.2,17.43,4685669,0.0,1.0,17.43,16.2,17.74
SOFI,2021-05-20,17.75,18.75,17.75,18.4,5498593,17.75,18.75,17.75,18.4,5498593,0.0,1.0,18.4,17.75,18.75
SOFI,2021-05-21,18.7,18.8499,18.28,18.78,3054818,18.7,18.8499,18.28,18.78,3054818,0.0,1.0,18.78,18.28,18.8499
SOFI,2021-05-24,19.0,20.08,18.87,19.78,5276153,19.0,20.08,18.87,19.78,5276153,0.0,1.0,19.78,18.87,20.08
SOFI,2021-05-25,20.5,21.8,19.84,20.18,9338498,20.5,21.8,19.84,20.18,9338498,0.0,1.0,20.18,19.84,21.8
