ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
SOXX,2005-01-03,54.38,54.4,52.76,52.9,224900,14.7879894243,14.7934281847,14.347449835,14.3855211575,674700,0.0,1.0,14.3855211575,14.347449835,14.7934281847
SOXX,2005-01-04,52.9,53.05,50.58,51.3,339900,14.3855211575,14.4263118602,13.7546249555,13.9504203286,1019700,0.0,1.0,13.9504203286,13.7546249555,14.4263118602
SOXX,2005-01-05,50.83,51.39,50.26,50.49,378700,13.82260946,13.9748947502,13.6676047897,13.7301505339,1136100,0.0,1.0,13.7301505339,13.6676047897,13.9748947502
SOXX,2005-01-06,50.6,51.01,50.13,50.25,534000,13.7600637159,13.8715583033,13.6322528474,13.6648854095,1602000,0.0,1.0,13.6648854095,13.6322528474,13.8715583033
SOXX,2005-01-07,50.57,51.1,49.98,50.5,195100,13.7519055753,13.8960327249,13.5914621447,13.7328699141,585300,0.0,1.0,13.7328699141,13.5914621447,13.8960327249
SOXX,2005-01-10,50.57,51.08,50.38,50.5,82500,13.7519055753,13.8905939646,13.7002373519,13.7328699141,247500,0.0,1.0,13.7328699141,13.7002373519,13.8905939646
SOXX,2005-01-11,49.67,49.91,49.08,49.34,226300,13.5071613591,13.5724264834,13.3467179284,13.4174218131,678900,0.0,1.0,13.4174218131,13.3467179284,13.5724264834
SOXX,2005-01-12,49.96,50.33,49.25,50.02,113700,13.5860233843,13.686640451,13.3929473914,13.6023396654,341100,0.0,1.0,13.6023396654,13.3929473914,13.686640451
SOXX,2005-01-13,49.83,50.21,49.45,49.54,977500,13.5506714419,13.6540078888,13.4473349951,13.4718094167,2932500,0.0,1.0,13.4718094167,13.4473349951,13.6540078888
SOXX,2005-01-14,49.95,50.49,49.86,50.1,66100,13.5833040041,13.7301505339,13.5588295825,13.6240947068,198300,0.0,1.0,13.6240947068,13.5588295825,13.7301505339
