ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
SPY,2005-01-03,121.559998,121.760002,119.900002,120.300003,55748000,81.9733506753,82.1082223296,80.8539410301,81.1236796183,55748000,0.0,1.0,81.1236796183,80.8539410301,82.1082223296
SPY,2005-01-04,120.459999,120.540001,118.440002,118.830002,69167600,81.2315720865,81.285521018,79.8693976445,80.1323921105,69167600,0.0,1.0,80.1323921105,79.8693976445,81.285521018
SPY,2005-01-05,118.739998,119.25,118.0,118.010002,65667300,80.0716983825,80.4156155714,79.5726845906,79.5794293871,65667300,0.0,1.0,79.5794293871,79.5726845906,80.4156155714
SPY,2005-01-06,118.440002,119.150002,118.260002,118.610001,47814700,79.8693976445,80.3481824416,79.7480155833,79.9840355835,47814700,0.0,1.0,79.9840355835,79.7480155833,80.3481824416
SPY,2005-01-07,118.970001,119.230003,118.129997,118.440002,55847700,80.226799706,80.4021306987,79.6603473895,79.8693976445,55847700,0.0,1.0,79.8693976445,79.6603473895,80.4021306987
SPY,2005-01-10,118.339996,119.459999,118.339996,119.0,56563300,79.80195912,80.5572273018,79.80195912,80.2470293752,56563300,0.0,1.0,80.2470293752,79.80195912,80.5572273018
SPY,2005-01-11,118.639999,118.739998,117.989998,118.18,63099700,80.0042645784,80.0716983825,79.565939794,79.6940666518,63099700,0.0,1.0,79.6940666518,79.565939794,80.0716983825
SPY,2005-01-12,118.400002,118.839996,117.519997,118.57,72720500,79.8424238531,80.1391315123,79.2489970709,79.9570611178,72720500,0.0,1.0,79.9570611178,79.2489970709,80.1391315123
SPY,2005-01-13,118.639999,118.730003,117.5,117.620003,55537500,80.0042645784,80.0649583064,79.2355121982,79.3164355954,55537500,0.0,1.0,79.3164355954,79.2355121982,80.0649583064
SPY,2005-01-14,117.970001,118.529999,117.760002,118.239998,42032500,79.5524549214,79.9300866521,79.4108431909,79.7345259902,42032500,0.0,1.0,79.7345259902,79.4108431909,79.9300866521
SPY,2005-01-18,118.050003,119.620003,117.949997,119.470001,57391700,79.6064038528,80.6651251648,79.5389653283,80.5639720984,57391700,0.0,1.0,80.5639720984,79.5389653283,80.6651251648
SPY,2005-01-19,119.43,119.519997,118.209999,118.220001,54378900,80.5369976326,80.5976866402,79.714296321,79.7210411175,54378900,0.0,1.0,79.7210411175,79.714296321,80.5976866402
SPY,2005-01-20,117.889999,118.199997,117.290001,117.5,72049300,79.4985059899,79.7075515245,79.0939004678,79.2355121982,72049300,0.0,1.0,79.2355121982,79.0939004678,79.7075515245
SPY,2005-01-21,117.790001,118.0,116.650002,116.779999,63160400,79.4310728601,79.5726845906,78.6623204799,78.7499832789,63160400,0.0,1.0,78.7499832789,78.6623204799,79.5726845906
SPY,2005-01-24,117.089996,117.339996,116.370003,116.550003,58441900,78.9590281391,79.1276143353,78.4735046146,78.5948866758,58441900,0.0,1.0,78.5948866758,78.4735046146,79.1276143353
SPY,2005-01-25,116.910004,117.470001,116.720001,116.879997,68245000,78.8376514727,79.215282529,78.7095239405,78.8174164087,68245000,0.0,1.0,78.8174164087,78.7095239405,79.215282529
SPY,2005-01-26,117.32,117.599998,117.040001,117.230003,57195100,79.114130137,79.302945328,78.9253142716,79.0534411294,57195100,0.0,1.0,79.0534411294,78.9253142716,79.302945328
SPY,2005-01-27,117.190002,117.75,116.980003,117.43,55878800,79.0264666637,79.4040983944,78.8848549332,79.1883080633,55878800,0.0,1.0,79.1883080633,78.8848549332,79.4040983944
SPY,2005-01-28,117.489998,117.550003,116.610001,117.43,60738900,79.2287674017,79.2692314605,78.6353460142,79.1883080633,60738900,0.0,1.0,79.1883080633,78.6353460142,79.2692314605
SPY,2005-01-31,117.949997,118.25,117.709999,118.160004,52532700,79.5389653283,79.7412707867,79.3771239287,79.6805824535,52532700,0.0,1.0,79.6805824535,79.3771239287,79.7412707867
SPY,2005-02-01,118.25,119.080002,118.099998,118.910004,49841200,79.7412707867,80.3009783067,79.6401177203,80.186341042,49841200,0.0,1.0,80.186341042,79.6401177203,80.3009783067
SPY,2005-02-02,119.059998,119.589996,118.900002,119.269997,52468900,80.2874887136,80.6448901008,80.1795962454,80.429100444,52468900,0.0,1.0,80.429100444,80.1795962454,80.6448901008
SPY,2005-02-03,119.059998,119.160004,118.57,118.959999,48837100,80.2874887136,80.3549272381,79.9570611178,80.2200549095,48837100,0.0,1.0,80.2200549095,79.9570611178,80.3549272381
SPY,2005-02-04,119.0,120.43,118.980003,120.230003,50024600,80.2470293752,81.2113424173,80.2335445026,81.0764754834,50024600,0.0,1.0,81.0764754834,80.2335445026,81.2113424173
SPY,2005-02-07,120.25,120.519997,119.959999,120.07,45412000,81.0899603561,81.2720314249,80.8943996942,80.9685782948,45412000,0.0,1.0,80.9685782948,80.8943996942,81.2720314249
SPY,2005-02-08,120.169998,120.650002,120.07,120.209999,39263500,81.0360114246,81.3596996186,80.9685782948,81.0629858903,39263500,0.0,1.0,81.0629858903,80.9685782948,81.3596996186
SPY,2005-02-09,120.419998,120.489998,119.25,119.309998,55279400,81.2045976208,81.2518017557,80.4156155714,80.4560749098,55279400,0.0,1.0,80.4560749098,80.4156155714,81.2518017557
SPY,2005-02-10,119.660004,120.019997,119.260002,119.739998,45858600,80.6920996305,80.9348590325,80.4223603679,80.7460431672,45858600,0.0,1.0,80.7460431672,80.4223603679,80.9348590325
SPY,2005-02-11,119.699997,121.040001,119.459999,120.769997,53133000,80.7190687015,81.6226934103,80.5572273018,81.440617621,53133000,0.0,1.0,81.440617621,80.5572273018,81.6226934103
SPY,2005-02-14,120.690002,120.860001,120.480003,120.68,32432100,81.38667341,81.501311349,81.2450616796,81.3799286135,32432100,0.0,1.0,81.3799286135,81.2450616796,81.501311349
SPY,2005-02-15,120.800003,121.43,120.68,121.129997,43852700,81.4608520107,81.885687202,81.3799286135,81.6833817435,43852700,0.0,1.0,81.6833817435,81.3799286135,81.885687202
SPY,2005-02-16,120.93,121.459999,120.669998,121.209999,55523000,81.5485148096,81.9059168712,81.3731838169,81.737330675,55523000,0.0,1.0,81.737330675,81.3731838169,81.9059168712
SPY,2005-02-17,121.230003,121.330002,120.220001,120.230003,58124000,81.7508202681,81.8182540722,81.0697306869,81.0764754834,58124000,0.0,1.0,81.0764754834,81.0697306869,81.8182540722
SPY,2005-02-18,120.239998,120.480003,119.900002,120.389999,47723300,81.0832155595,81.2450616796,80.8539410301,81.1843679516,47723300,0.0,1.0,81.1843679516,80.8539410301,81.2450616796
SPY,2005-02-22,119.900002,120.470001,118.580002,118.599998,80697600,80.8539410301,81.238316883,79.9638059144,79.9772901127,80697600,0.0,1.0,79.9772901127,79.9638059144,81.238316883
SPY,2005-02-23,118.93,119.57,118.620003,119.449997,68292600,80.1998252403,80.6314059025,79.9907803801,80.5504825053,68292600,0.0,1.0,80.5504825053,79.9907803801,80.6314059025
SPY,2005-02-24,119.239998,120.32,118.980003,120.239998,68563600,80.4088707749,81.137164491,80.2335445026,81.0832155595,68563600,0.0,1.0,81.0832155595,80.2335445026,81.137164491
SPY,2005-02-25,120.269997,121.669998,120.18,121.43,60899900,81.1034452287,82.0475286016,81.0427562211,81.885687202,60899900,0.0,1.0,81.885687202,81.0427562211,82.0475286016
SPY,2005-02-28,121.150002,121.300003,120.040001,120.629997,69381300,81.6968720109,81.798024403,80.9483486256,81.3462093512,69381300,0.0,1.0,81.3462093512,80.9483486256,81.798024403
SPY,2005-03-01,120.82,121.519997,120.779999,121.230003,47294400,81.4743368833,81.9463762095,81.4473624176,81.7508202681,47294400,0.0,1.0,81.7508202681,81.4473624176,81.9463762095
SPY,2005-03-02,120.760002,121.93,120.650002,121.169998,64226500,81.4338775449,82.2228595943,81.3596996186,81.7103562093,64226500,0.0,1.0,81.7103562093,81.3596996186,82.2228595943
SPY,2005-03-03,121.660004,121.900002,120.699997,121.220001,61230800,82.0407891998,82.2026305994,81.3934134861,81.7440754715,61230800,0.0,1.0,81.7440754715,81.3934134861,82.2026305994
SPY,2005-03-04,122.050003,122.830002,121.790001,122.730003,56168500,82.3037829915,82.8297712492,82.1284519988,82.7623374451,56168500,0.0,1.0,82.7623374451,82.1284519988,82.8297712492
SPY,2005-03-07,122.660004,123.25,122.400002,122.790001,43442400,82.7151339845,83.1129947101,82.5398029918,82.8027967835,43442400,0.0,1.0,82.8027967835,82.5398029918,83.1129947101
SPY,2005-03-08,122.669998,123.0,122.110001,122.330002,44362000,82.7218733863,82.9444085139,82.3442423299,82.4925988569,44362000,0.0,1.0,82.4925988569,82.3442423299,82.9444085139
SPY,2005-03-09,121.970001,122.290001,120.959999,120.970001,73263600,82.24983406,82.4656243911,81.5687444788,81.5754892754,73263600,0.0,1.0,81.5754892754,81.5687444788,82.4656243911
SPY,2005-03-10,121.199997,121.5,120.400002,121.239998,65149000,81.7305858785,81.9328913369,81.1911134224,81.7575603442,65149000,0.0,1.0,81.7575603442,81.1911134224,81.9328913369
SPY,2005-03-11,121.309998,121.720001,120.160004,120.389999,57976500,81.8047644791,82.0812478639,81.0292720228,81.1843679516,57976500,0.0,1.0,81.1843679516,81.0292720228,82.0812478639
SPY,2005-03-14,120.610001,121.160004,120.279999,121.139999,36336400,81.3327251529,81.7036168075,81.1101900253,81.6901265401,36336400,0.0,1.0,81.6901265401,81.1101900253,81.7036168075
SPY,2005-03-15,121.419998,121.459999,120.080002,120.139999,62438500,81.8789424054,81.9059168712,80.9753230914,81.0157817554,62438500,0.0,1.0,81.0157817554,80.9753230914,81.9059168712
SPY,2005-03-16,119.699997,120.160004,118.900002,119.120003,74874200,80.7190687015,81.0292720228,80.1795962454,80.3279527724,74874200,0.0,1.0,80.3279527724,80.1795962454,81.0292720228
SPY,2005-03-17,119.309998,119.739998,118.980003,119.360001,62584200,80.4560749098,80.7460431672,80.2335445026,80.489794172,62584200,0.0,1.0,80.489794172,80.2335445026,80.7460431672
SPY,2005-03-18,119.110001,119.529999,118.150002,118.540001,60232000,80.6377022623,80.9220417249,79.9877810728,80.2518111541,60232000,0.46709,1.0,80.2518111541,79.9877810728,80.9220417249
SPY,2005-03-21,118.709999,118.779999,117.760002,118.099998,61244300,80.3669001306,80.4142902667,79.7237503145,79.9539282676,61244300,0.0,1.0,79.9539282676,79.7237503145,80.4142902667
SPY,2005-03-22,118.370003,118.93,116.900002,116.900002,92472400,80.1367221776,80.5158412354,79.1415286424,79.1415286424,92472400,0.0,1.0,79.1415286424,79.1415286424,80.5158412354
SPY,2005-03-23,116.949997,117.720001,116.75,117.0,70817300,79.1753753547,79.6966695598,79.0399769968,79.2092274829,70817300,0.0,1.0,79.2092274829,79.0399769968,79.6966695598
SPY,2005-03-24,117.459999,117.989998,117.059998,117.139999,51932500,79.5206477002,79.8794580537,79.2498462455,79.3040070781,51932500,0.0,1.0,79.3040070781,79.2498462455,79.8794580537
SPY,2005-03-28,117.419998,117.940002,117.309998,117.309998,46765500,79.4935669455,79.8456106645,79.4190967316,79.4190967316,46765500,0.0,1.0,79.4190967316,79.4190967316,79.8456106645
SPY,2005-03-29,117.139999,117.900002,116.25,116.529999,71160300,79.3040070781,79.8185305867,78.7014760246,78.891035892,71160300,0.0,1.0,78.891035892,78.7014760246,79.8185305867
SPY,2005-03-30,116.779999,118.199997,116.769997,118.18,62002100,79.0602863781,80.021627785,79.0535150047,80.0080897771,62002100,0.0,1.0,80.0080897771,79.0535150047,80.021627785
SPY,2005-03-31,118.190002,118.459999,117.870003,117.959999,64575400,80.0148611506,80.1976496445,79.7982212054,79.8591486724,64575400,0.0,1.0,79.8591486724,79.7982212054,80.1976496445
SPY,2005-04-01,118.629997,118.989998,116.910004,117.43,95255300,80.3127386211,80.556459998,79.1483000159,79.5003383189,95255300,0.0,1.0,79.5003383189,79.1483000159,80.556459998
SPY,2005-04-04,117.360001,117.860001,116.739998,117.629997,71581200,79.4529488598,79.791449832,79.0332056234,79.6357366768,71581200,0.0,1.0,79.6357366768,79.0332056234,79.791449832
SPY,2005-04-05,117.779999,118.379997,117.669998,118.190002,46853900,79.7372883224,80.143488135,79.6628174315,80.0148611506,46853900,0.0,1.0,80.0148611506,79.6628174315,80.143488135
SPY,2005-04-06,118.449997,118.949997,118.18,118.599998,53268200,80.1908782711,80.5293792432,80.0080897771,80.2924292397,53268200,0.0,1.0,80.2924292397,80.0080897771,80.5293792432
SPY,2005-04-07,118.410004,119.260002,118.32,119.239998,46734600,80.1638029323,80.739253231,80.1028700493,80.7257104841,46734600,0.0,1.0,80.7257104841,80.1028700493,80.739253231
SPY,2005-04-08,119.169998,119.209999,118.0,118.0,63772900,80.678320348,80.7054011028,79.8862294272,79.8862294272,63772900,0.0,1.0,79.8862294272,79.8862294272,80.7054011028
SPY,2005-04-11,118.290001,118.419998,117.830002,118.089996,44945000,80.082560668,80.1705688898,79.7711404506,79.9471568941,44945000,0.0,1.0,79.9471568941,79.7711404506,80.1705688898
SPY,2005-04-12,117.889999,119.059998,117.07,118.699997,86144800,79.8117585363,80.6038501341,79.256617619,80.3601287572,86144800,0.0,1.0,80.3601287572,79.256617619,80.6038501341
SPY,2005-04-13,118.559998,118.800003,117.129997,117.300003,65949000,80.265349162,80.4278330136,79.2972357046,79.4123300972,65949000,0.0,1.0,79.4123300972,79.2972357046,80.4278330136
SPY,2005-04-14,117.400002,117.5,115.769997,115.769997,96119800,79.4800296146,79.547728455,78.3765130604,78.3765130604,96119800,0.0,1.0,78.3765130604,78.3765130604,79.547728455
SPY,2005-04-15,115.739998,116.199997,114.099998,114.150002,128677300,78.3562036791,78.6676238964,77.2459204904,77.2797732956,128677300,0.0,1.0,77.2797732956,77.2459204904,78.6676238964
SPY,2005-04-18,114.120003,114.959999,113.959999,114.5,100035200,77.2594639143,77.8281428395,77.1511408952,77.5167226221,100035200,0.0,1.0,77.5167226221,77.1511408952,77.8281428395
SPY,2005-04-19,115.099998,115.529999,114.830002,115.410004,64930100,77.9229224347,78.2140339478,77.7401346177,78.1327970994,64930100,0.0,1.0,78.1327970994,77.7401346177,78.2140339478
SPY,2005-04-20,115.379997,115.629997,113.550003,113.800003,107735900,78.1124823021,78.2817327882,76.873572806,77.0428232921,107735900,0.0,1.0,77.0428232921,76.873572806,78.2817327882
SPY,2005-04-21,114.790001,116.209999,114.379997,116.010002,86952200,77.713053863,78.6743952699,77.4354803578,78.538996912,86952200,0.0,1.0,78.538996912,77.4354803578,78.6743952699
SPY,2005-04-22,115.739998,116.5,114.269997,115.57,88845800,78.3562036791,78.8707265107,77.3610101439,78.2411147025,88845800,0.0,1.0,78.2411147025,77.3610101439,78.8707265107
SPY,2005-04-25,115.860001,116.5,115.720001,116.330002,52284100,78.4374459434,78.8707265107,78.3426656712,78.7556375342,52284100,0.0,1.0,78.7556375342,78.3426656712,78.8707265107
SPY,2005-04-26,115.959999,116.769997,115.150002,115.199997,72626000,78.5051447838,79.0535150047,77.9567752399,77.9906219521,72626000,0.0,1.0,77.9906219521,77.9567752399,79.0535150047
SPY,2005-04-27,114.860001,116.07,114.440002,115.650002,84131900,77.7604439991,78.5796156747,77.4761038595,78.2952762121,84131900,0.0,1.0,78.2952762121,77.4761038595,78.5796156747
SPY,2005-04-28,115.269997,115.68,114.199997,114.199997,72481500,78.0380120882,78.3155849164,77.3136200078,77.3136200078,72481500,0.0,1.0,77.3136200078,77.3136200078,78.3155849164
SPY,2005-04-29,115.07,115.870003,113.970001,115.75,103993800,77.9026137304,78.4442173168,77.1579122687,78.3629750525,103993800,0.0,1.0,78.3629750525,77.1579122687,78.4442173168
SPY,2005-05-02,116.07,116.410004,115.519997,116.400002,56026400,78.5796156747,78.8097990437,78.2072625743,78.8030276703,56026400,0.0,1.0,78.8030276703,78.2072625743,78.8097990437
SPY,2005-05-03,116.07,116.849998,115.690002,116.599998,86000300,78.5796156747,79.1076758372,78.3223562898,78.9384253511,86000300,0.0,1.0,78.9384253511,78.3223562898,79.1076758372
SPY,2005-05-04,116.650002,117.75,116.279999,117.5,81055700,78.9722781564,79.7169789411,78.721785406,79.547728455,81055700,0.0,1.0,79.547728455,78.721785406,79.7169789411
SPY,2005-05-05,117.669998,118.0,116.739998,117.459999,96906700,79.6628174315,79.8862294272,79.0332056234,79.5206477002,96906700,0.0,1.0,79.5206477002,79.0332056234,79.8862294272
SPY,2005-05-06,117.93,117.989998,117.059998,117.089996,67415400,79.8388392911,79.8794580537,79.2498462455,79.2701549499,67415400,0.0,1.0,79.2701549499,79.2498462455,79.8794580537
SPY,2005-05-09,117.209999,118.080002,117.050003,117.82,43750500,79.3513972142,79.9403909367,79.2430796111,79.7643690772,43750500,0.0,1.0,79.7643690772,79.2430796111,79.9403909367
SPY,2005-05-10,117.360001,117.5,116.389999,116.599998,74613500,79.4529488598,79.547728455,78.7962556198,78.9384253511,74613500,0.0,1.0,78.9384253511,78.7962556198,79.547728455
SPY,2005-05-11,116.93,117.400002,115.849998,117.239998,91647400,79.1618373468,79.4800296146,78.4306738929,79.3717065955,91647400,0.0,1.0,79.3717065955,78.4306738929,79.4800296146
SPY,2005-05-12,117.32,117.589996,115.949997,115.949997,95086800,79.425868105,79.608655922,78.4983734104,78.4983734104,95086800,0.0,1.0,78.4983734104,78.4983734104,79.608655922
SPY,2005-05-13,116.300003,116.620003,114.800003,115.720001,85267000,78.7353281529,78.951968775,77.7198252364,78.3426656712,85267000,0.0,1.0,78.3426656712,77.7198252364,78.951968775
SPY,2005-05-16,115.699997,116.839996,115.660004,116.800003,49207000,78.3291229243,79.1009044638,78.3020475855,79.073829125,49207000,0.0,1.0,79.073829125,78.3020475855,79.1009044638
SPY,2005-05-17,116.410004,117.699997,116.160004,117.580002,61071800,78.8097990437,79.6831268129,78.6405485577,79.6018899646,61071800,0.0,1.0,79.6018899646,78.6405485577,79.6831268129
SPY,2005-05-18,118.089996,119.080002,118.010002,118.790001,77944900,79.9471568941,80.617392881,79.8930008006,80.4210616402,77944900,0.0,1.0,80.4210616402,79.8930008006,80.617392881
SPY,2005-05-19,119.019997,119.410004,118.699997,119.290001,61768100,80.5767693793,80.8408048766,80.3601287572,80.7595626123,61768100,0.0,1.0,80.7595626123,80.3601287572,80.8408048766
SPY,2005-05-20,119.339996,119.389999,118.739998,119.120003,46345500,80.7934093245,80.8272614527,80.3872095119,80.6444736358,46345500,0.0,1.0,80.6444736358,80.3872095119,80.8272614527
SPY,2005-05-23,119.209999,120.040001,119.190002,119.779999,51047900,80.7054011028,81.2673140705,80.6918630949,81.091292211,51047900,0.0,1.0,81.091292211,80.6918630949,81.2673140705
SPY,2005-05-24,119.440002,119.830002,119.199997,119.5,50654100,80.861113581,81.1251443392,80.6986297293,80.9017323436,50654100,0.0,1.0,80.9017323436,80.6986297293,81.1251443392
SPY,2005-05-25,119.349998,119.870003,118.830002,119.410004,47608800,80.800180698,81.152225094,80.4481423949,80.8408048766,47608800,0.0,1.0,80.8408048766,80.4481423949,81.152225094
SPY,2005-05-26,119.790001,120.209999,119.620003,120.050003,43256200,81.0980635845,81.3824030471,80.9829746079,81.274085444,43256200,0.0,1.0,81.274085444,80.9829746079,81.3824030471
SPY,2005-05-27,120.059998,120.25,119.800003,120.25,24596100,81.2808520784,81.4094838018,81.1048349579,81.4094838018,24596100,0.0,1.0,81.4094838018,81.1048349579,81.4094838018
SPY,2005-05-31,120.080002,120.169998,119.400002,119.480003,43377200,81.2943948253,81.3553222923,80.8340335032,80.8881943357,43377200,0.0,1.0,80.8881943357,80.8340335032,81.3553222923
SPY,2005-06-01,119.519997,120.919998,119.449997,120.5,69611000,80.9152703515,81.8630737505,80.8678802154,81.5787342879,69611000,0.0,1.0,81.5787342879,80.8678802154,81.8630737505
SPY,2005-06-02,120.230003,120.839996,120.099998,120.760002,39704500,81.395945794,81.808912241,81.3079321562,81.7547561474,39704500,0.0,1.0,81.7547561474,81.3079321562,81.808912241
SPY,2005-06-03,120.550003,120.889999,119.730003,120.150002,60999400,81.6125864161,81.8427643692,81.0574448218,81.3417849614,60999400,0.0,1.0,81.3417849614,81.0574448218,81.8427643692
SPY,2005-06-06,119.949997,120.199997,119.550003,120.040001,36046400,81.2063811875,81.3756316736,80.9355844718,81.2673140705,36046400,0.0,1.0,81.2673140705,80.9355844718,81.3756316736
SPY,2005-06-07,120.389999,121.25,120.010002,120.129997,66501300,81.504263397,82.0864857461,81.2470046892,81.3282415375,66501300,0.0,1.0,81.3282415375,81.2470046892,82.0864857461
SPY,2005-06-08,120.43,120.589996,119.669998,119.910004,46881200,81.5313441518,81.6396617549,81.0168213201,81.1793058488,46881200,0.0,1.0,81.1793058488,81.0168213201,81.6396617549
SPY,2005-06-09,119.739998,120.580002,119.440002,120.480003,56653300,81.0642114562,81.6328957975,80.861113581,81.56519628,56653300,0.0,1.0,81.56519628,80.861113581,81.6328957975
SPY,2005-06-10,120.559998,120.650002,119.599998,120.199997,36465300,81.6193530506,81.6802859336,80.969431184,81.3756316736,36465300,0.0,1.0,81.3756316736,80.969431184,81.6802859336
SPY,2005-06-13,119.940002,121.080002,119.809998,120.580002,49383200,81.1996145531,81.9713967696,81.1116015923,81.6328957975,49383200,0.0,1.0,81.6328957975,81.1116015923,81.9713967696
SPY,2005-06-14,120.449997,121.199997,120.379997,120.860001,33857100,81.5448821597,82.0526336179,81.4974920236,81.8224556649,33857100,0.0,1.0,81.8224556649,81.4974920236,82.0526336179
SPY,2005-06-15,121.160004,121.239998,120.230003,121.089996,53195600,82.0255582792,82.0797143727,81.395945794,81.978162727,53195600,0.0,1.0,81.978162727,81.395945794,82.0797143727
SPY,2005-06-16,121.059998,121.639999,120.919998,121.400002,46564500,81.9578540227,82.3505158274,81.8630737505,82.1880373918,46564500,0.0,1.0,82.1880373918,81.8630737505,82.3505158274
SPY,2005-06-17,121.540001,121.900002,121.220001,121.360001,51529400,82.6134263054,82.8581269459,82.3959152293,82.4910763251,51529400,0.48762,1.0,82.4910763251,82.3959152293,82.8581269459
