ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
TEAM,2015-12-10,27.67,28.5,26.5,27.78,15009116,27.67,28.5,26.5,27.78,15009116,0.0,1.0,27.78,26.5,28.5
TEAM,2015-12-11,27.85,28.5,27.48,27.5,2286063,27.85,28.5,27.48,27.5,2286063,0.0,1.0,27.5,27.48,28.5
TEAM,2015-12-14,27.5,27.86,26.11,26.26,1227198,27.5,27.86,26.11,26.26,1227198,0.0,1.0,26.26,26.11,27.86
TEAM,2015-12-15,26.39,26.949,26.3,26.5,1086535,26.39,26.949,26.3,26.5,1086535,0.0,1.0,26.5,26.3,26.949
TEAM,2015-12-16,26.75,26.95,26.47,26.54,484321,26.75,26.95,26.47,26.54,484321,0.0,1.0,26.54,26.47,26.95
TEAM,2015-12-17,26.94,28.18,26.65,28.01,626853,26.94,28.18,26.65,28.01,626853,0.0,1.0,28.01,26.65,28.18
TEAM,2015-12-18,27.9,28.24,27.66,28.22,945196,27.9,28.24,27.66,28.22,945196,0.0,1.0,28.22,27.66,28.24
TEAM,2015-12-21,28.84,29.86,28.75,29.35,876897,28.84,29.86,28.75,29.35,876897,0.0,1.0,29.35,28.75,29.86
TEAM,2015-12-22,30.16,30.74,29.56,30.1,954059,30.16,30.74,29.56,30.1,954059,0.0,1.0,30.1,29.56,30.74
TEAM,2015-12-23,30.57,30.57,28.35,28.49,1071842,30.57,30.57,28.35,28.49,1071842,0.0,1.0,28.49,28.35,30.57
TEAM,2015-12-24,28.33,28.89,27.51,28.21,470834,28.33,28.89,27.51,28.21,470834,0.0,1.0,28.21,27.51,28.89
TEAM,2015-12-28,28.28,28.93,28.0,28.9,342620,28.28,28.93,28.0,28.9,342620,0.0,1.0,28.9,28.0,28.93
TEAM,2015-12-29,29.21,31.31,29.21,31.1,888170,29.21,31.31,29.21,31.1,888170,0.0,1.0,31.1,29.21,31.31
TEAM,2015-12-30,31.46,31.46,30.0,30.21,297455,31.46,31.46,30.0,30.21,297455,0.0,1.0,30.21,30.0,31.46
TEAM,2015-12-31,30.22,31.0,29.99,30.08,304976,30.22,31.0,29.99,30.08,304976,0.0,1.0,30.08,29.99,31.0
TEAM,2016-01-04,28.94,29.03,27.2,27.41,1312092,28.94,29.03,27.2,27.41,1312092,0.0,1.0,27.41,27.2,29.03
TEAM,2016-01-05,27.91,28.0,26.27,26.77,918104,27.91,28.0,26.27,26.77,918104,0.0,1.0,26.77,26.27,28.0
TEAM,2016-01-06,26.46,27.23,26.02,27.05,618974,26.46,27.23,26.02,27.05,618974,0.0,1.0,27.05,26.02,27.23
TEAM,2016-01-07,26.55,27.3194,26.46,26.97,661687,26.55,27.3194,26.46,26.97,661687,0.0,1.0,26.97,26.46,27.3194
TEAM,2016-01-08,27.06,27.76,26.93,27.17,455987,27.06,27.76,26.93,27.17,455987,0.0,1.0,27.17,26.93,27.76
TEAM,2016-01-11,27.1,27.5,26.95,27.12,808151,27.1,27.5,26.95,27.12,808151,0.0,1.0,27.12,26.95,27.5
TEAM,2016-01-12,27.2,27.427,26.64,26.82,808993,27.2,27.427,26.64,26.82,808993,0.0,1.0,26.82,26.64,27.427
TEAM,2016-01-13,27.0,27.2,26.0,26.73,1231563,27.0,27.2,26.0,26.73,1231563,0.0,1.0,26.73,26.0,27.2
TEAM,2016-01-14,26.68,27.14,25.7501,26.84,485218,26.68,27.14,25.7501,26.84,485218,0.0,1.0,26.84,25.7501,27.14
TEAM,2016-01-15,26.04,26.315,24.52,25.19,1183305,26.04,26.315,24.52,25.19,1183305,0.0,1.0,25.19,24.52,26.315
TEAM,2016-01-19,25.3,25.71,23.02,24.02,1739448,25.3,25.71,23.02,24.02,1739448,0.0,1.0,24.02,23.02,25.71
TEAM,2016-01-20,23.21,23.66,21.62,22.63,1944764,23.21,23.66,21.62,22.63,1944764,0.0,1.0,22.63,21.62,23.66
TEAM,2016-01-21,22.72,25.08,22.03,24.24,759622,22.72,25.08,22.03,24.24,759622,0.0,1.0,24.24,22.03,25.08
TEAM,2016-01-22,25.11,25.325,24.27,24.61,673117,25.11,25.325,24.27,24.61,673117,0.0,1.0,24.61,24.27,25.325
TEAM,2016-01-25,24.5,24.6358,23.45,23.67,581713,24.5,24.6358,23.45,23.67,581713,0.0,1.0,23.67,23.45,24.6358
TEAM,2016-01-26,23.68,24.1999,22.58,24.01,633552,23.68,24.1999,22.58,24.01,633552,0.0,1.0,24.01,22.58,24.1999
TEAM,2016-01-27,24.02,24.665,22.13,22.28,427158,24.02,24.665,22.13,22.28,427158,0.0,1.0,22.28,22.13,24.665
TEAM,2016-01-28,22.72,22.966,20.17,20.39,1331148,22.72,22.966,20.17,20.39,1331148,0.0,1.0,20.39,20.17,22.966
TEAM,2016-01-29,20.99,21.75,20.52,20.77,1261241,20.99,21.75,20.52,20.77,1261241,0.0,1.0,20.77,20.52,21.75
TEAM,2016-02-01,20.69,21.22,20.065,21.17,753789,20.69,21.22,20.065,21.17,753789,0.0,1.0,21.17,20.065,21.22
TEAM,2016-02-02,21.04,21.82,20.67,21.34,641001,21.04,21.82,20.67,21.34,641001,0.0,1.0,21.34,20.67,21.82
TEAM,2016-02-03,21.93,24.5,21.12,23.77,550247,21.93,24.5,21.12,23.77,550247,0.0,1.0,23.77,21.12,24.5
TEAM,2016-02-04,24.0,24.88,23.35,24.0,1618068,24.0,24.88,23.35,24.0,1618068,0.0,1.0,24.0,23.35,24.88
TEAM,2016-02-05,24.0,24.06,17.55,20.19,3629774,24.0,24.06,17.55,20.19,3629774,0.0,1.0,20.19,17.55,24.06
TEAM,2016-02-08,19.88,19.98,16.92,17.92,3170467,19.88,19.98,16.92,17.92,3170467,0.0,1.0,17.92,16.92,19.98
TEAM,2016-02-09,17.85,19.46,17.62,18.92,1934175,17.85,19.46,17.62,18.92,1934175,0.0,1.0,18.92,17.62,19.46
TEAM,2016-02-10,19.04,21.17,19.04,20.06,1251357,19.04,21.17,19.04,20.06,1251357,0.0,1.0,20.06,19.04,21.17
TEAM,2016-02-11,19.41,20.38,19.2,20.35,714633,19.41,20.38,19.2,20.35,714633,0.0,1.0,20.35,19.2,20.38
TEAM,2016-02-12,20.48,20.9,19.69,20.1,712187,20.48,20.9,19.69,20.1,712187,0.0,1.0,20.1,19.69,20.9
TEAM,2016-02-16,20.4,23.77,20.4,22.18,1763172,20.4,23.77,20.4,22.18,1763172,0.0,1.0,22.18,20.4,23.77
TEAM,2016-02-17,22.33,23.68,22.32,23.35,976550,22.33,23.68,22.32,23.35,976550,0.0,1.0,23.35,22.32,23.68
TEAM,2016-02-18,23.24,23.93,21.89,22.0,853212,23.24,23.93,21.89,22.0,853212,0.0,1.0,22.0,21.89,23.93
TEAM,2016-02-19,21.59,22.68,20.92,22.13,920304,21.59,22.68,20.92,22.13,920304,0.0,1.0,22.13,20.92,22.68
TEAM,2016-02-22,22.1,22.99,21.9,22.11,623241,22.1,22.99,21.9,22.11,623241,0.0,1.0,22.11,21.9,22.99
TEAM,2016-02-23,21.88,22.6,21.88,22.51,819811,21.88,22.6,21.88,22.51,819811,0.0,1.0,22.51,21.88,22.6
