ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
TLT,2005-01-03,88.18,88.84,88.16,88.74,1168000,43.6927593998,44.0197861769,43.6828494974,43.9702366652,1168000,0.0,1.0,43.9702366652,43.6828494974,44.0197861769
TLT,2005-01-04,88.72,88.75,87.81,87.81,1935400,43.9603267628,43.9751916163,43.5094262065,43.5094262065,1935400,0.0,1.0,43.5094262065,43.5094262065,43.9751916163
TLT,2005-01-05,87.99,88.55,87.94,88.28,1094100,43.5986153276,43.876092593,43.5738405717,43.7423089114,1094100,0.0,1.0,43.7423089114,43.5738405717,43.876092593
TLT,2005-01-06,88.29,88.54,88.22,88.34,1057400,43.7472638626,43.8711376418,43.7125792044,43.7720386185,1057400,0.0,1.0,43.7720386185,43.7125792044,43.8711376418
TLT,2005-01-07,88.76,88.87,88.35,88.54,738700,43.9801465675,44.0346510304,43.7769935696,43.8711376418,738700,0.0,1.0,43.8711376418,43.7769935696,44.0346510304
TLT,2005-01-10,88.64,88.72,88.47,88.68,379400,43.9206871535,43.9603267628,43.8364529836,43.9405069582,379400,0.0,1.0,43.9405069582,43.8364529836,43.9603267628
TLT,2005-01-11,88.9,89.28,88.74,89.2,844100,44.0495158839,44.2378040282,43.9702366652,44.1981644189,844100,0.0,1.0,44.1981644189,43.9702366652,44.2378040282
TLT,2005-01-12,88.87,89.44,88.8,89.32,722000,44.0346510304,44.3170832469,43.9999663722,44.2576238329,722000,0.0,1.0,44.2576238329,43.9999663722,44.3170832469
TLT,2005-01-13,89.75,90.18,89.73,90.18,1876700,44.4706867331,44.6837496334,44.4607768308,44.6837496334,1876700,0.0,1.0,44.6837496334,44.4607768308,44.6837496334
TLT,2005-01-14,89.9,90.4,89.81,90.17,1043800,44.5450110007,44.7927585591,44.5004164402,44.6787946822,1043800,0.0,1.0,44.6787946822,44.5004164402,44.7927585591
TLT,2005-01-18,89.8,90.49,89.73,90.47,1251600,44.495461489,44.8373531196,44.4607768308,44.8274432172,1251600,0.0,1.0,44.8274432172,44.4607768308,44.8373531196
TLT,2005-01-19,90.8,90.84,90.27,90.73,655800,44.9909566058,45.0107764105,44.7283441939,44.9562719476,655800,0.0,1.0,44.9562719476,44.7283441939,45.0107764105
