ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
TSM,2005-01-03,8.54,8.6,8.37,8.4,4851700,4.340928391,4.371426717,4.2545164676,4.2697656305,5313170,0.0,1.0,4.2697656305,4.2545164676,4.371426717
TSM,2005-01-04,8.4,8.4,8.02,8.08,8654600,4.2697656305,4.2697656305,4.0766095663,4.1071078922,9477784,0.0,1.0,4.1071078922,4.0766095663,4.2697656305
TSM,2005-01-05,7.98,7.99,7.84,7.92,11110300,4.056277349,4.0613604033,3.9851145885,4.0257790231,12167059,0.0,1.0,4.0257790231,3.9851145885,4.0613604033
TSM,2005-01-06,7.96,7.98,7.78,7.85,8669900,4.0461112404,4.056277349,3.9546162626,3.9901976428,9494540,0.0,1.0,3.9901976428,3.9546162626,4.056277349
TSM,2005-01-07,7.85,7.92,7.74,7.89,5708200,3.9901976428,4.0257790231,3.9342840453,4.0105298601,6251137,0.0,1.0,4.0105298601,3.9342840453,4.0257790231
TSM,2005-01-10,7.92,7.99,7.9,7.91,4604300,4.0257790231,4.0613604033,4.0156129144,4.0206959687,5042239,0.0,1.0,4.0206959687,4.0156129144,4.0613604033
TSM,2005-01-11,7.88,7.91,7.77,7.8,6002600,4.0054468058,4.0206959687,3.9495332082,3.9647823712,6573539,0.0,1.0,3.9647823712,3.9495332082,4.0206959687
TSM,2005-01-12,7.8,7.89,7.68,7.86,3547300,3.9647823712,4.0105298601,3.9037857193,3.9952806971,3884702,0.0,1.0,3.9952806971,3.9037857193,4.0105298601
TSM,2005-01-13,7.82,7.88,7.7,7.7,3996000,3.9749484799,4.0054468058,3.913951828,3.913951828,4376080,0.0,1.0,3.913951828,3.913951828,4.0054468058
TSM,2005-01-14,7.75,7.97,7.75,7.91,6406000,3.9393670996,4.0511942947,3.9393670996,4.0206959687,7015308,0.0,1.0,4.0206959687,3.9393670996,4.0511942947
TSM,2005-01-18,8.09,8.14,8.04,8.11,6485000,4.1121909465,4.1376062182,4.0867756749,4.1223570552,7101822,0.0,1.0,4.1223570552,4.0867756749,4.1376062182
TSM,2005-01-19,8.03,8.03,7.91,7.91,3831800,4.0816926206,4.0816926206,4.0206959687,4.0206959687,4196262,0.0,1.0,4.0206959687,4.0206959687,4.0816926206
TSM,2005-01-20,7.87,7.98,7.84,7.9,13829400,4.0003637515,4.056277349,3.9851145885,4.0156129144,15144787,0.0,1.0,4.0156129144,3.9851145885,4.056277349
TSM,2005-01-21,7.8,7.88,7.78,7.83,8200300,3.9647823712,4.0054468058,3.9546162626,3.9800315342,8980273,0.0,1.0,3.9800315342,3.9546162626,4.0054468058
TSM,2005-01-24,7.83,7.85,7.68,7.68,7218200,3.9800315342,3.9901976428,3.9037857193,3.9037857193,7904761,0.0,1.0,3.9037857193,3.9037857193,3.9901976428
TSM,2005-01-25,7.76,7.85,7.76,7.81,6307300,3.9444501539,3.9901976428,3.9444501539,3.9698654255,6907220,0.0,1.0,3.9698654255,3.9444501539,3.9901976428
TSM,2005-01-26,8.0,8.15,8.0,8.05,10904900,4.0664434576,4.1426892725,4.0664434576,4.0918587293,11942122,0.0,1.0,4.0918587293,4.0664434576,4.1426892725
TSM,2005-01-27,8.2,8.24,8.14,8.17,10707900,4.1681045441,4.1884367614,4.1376062182,4.1528553811,11726385,0.0,1.0,4.1528553811,4.1376062182,4.1884367614
TSM,2005-01-28,8.38,8.38,8.2,8.21,7687000,4.2595995219,4.2595995219,4.1681045441,4.1731875984,8418151,0.0,1.0,4.1731875984,4.1681045441,4.2595995219
