ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
UBER,2019-05-10,42.0,45.0,41.06,41.57,186322536,42.0,45.0,41.06,41.57,186322536,0.0,1.0,41.57,41.06,45.0
UBER,2019-05-13,38.79,39.24,36.08,37.1,79442420,38.79,39.24,36.08,37.1,79442420,0.0,1.0,37.1,36.08,39.24
UBER,2019-05-14,38.31,39.96,36.85,39.96,46661147,38.31,39.96,36.85,39.96,46661147,0.0,1.0,39.96,36.85,39.96
UBER,2019-05-15,39.37,41.88,38.95,41.29,36086065,39.37,41.88,38.95,41.29,36086065,0.0,1.0,41.29,38.95,41.88
UBER,2019-05-16,41.48,44.06,41.25,43.0,38115524,41.48,44.06,41.25,43.0,38115524,0.0,1.0,43.0,41.25,44.06
UBER,2019-05-17,41.98,43.29,41.27,41.91,20225687,41.98,43.29,41.27,41.91,20225687,0.0,1.0,41.91,41.27,43.29
UBER,2019-05-20,41.19,41.68,39.46,41.59,29222330,41.19,41.68,39.46,41.59,29222330,0.0,1.0,41.59,39.46,41.68
UBER,2019-05-21,42.0,42.24,41.25,41.5,10802851,42.0,42.24,41.25,41.5,10802851,0.0,1.0,41.5,41.25,42.24
UBER,2019-05-22,41.05,41.28,40.5,41.25,9089469,41.05,41.28,40.5,41.25,9089469,0.0,1.0,41.25,40.5,41.28
UBER,2019-05-23,40.8,41.09,40.02,40.47,11119870,40.8,41.09,40.02,40.47,11119870,0.0,1.0,40.47,40.02,41.09
UBER,2019-05-24,41.28,41.51,40.5,41.51,8786751,41.28,41.51,40.5,41.51,8786751,0.0,1.0,41.51,40.5,41.51
UBER,2019-05-28,41.7,41.8,40.6,40.95,13391605,41.7,41.8,40.6,40.95,13391605,0.0,1.0,40.95,40.6,41.8
UBER,2019-05-29,40.52,40.71,39.147,39.94,14060447,40.52,40.71,39.147,39.94,14060447,0.0,1.0,39.94,39.147,40.71
UBER,2019-05-30,40.07,40.38,39.5,39.8,26451864,40.07,40.38,39.5,39.8,26451864,0.0,1.0,39.8,39.5,40.38
UBER,2019-05-31,41.15,41.57,39.41,40.41,23209848,41.15,41.57,39.41,40.41,23209848,0.0,1.0,40.41,39.41,41.57
UBER,2019-06-03,40.744,41.85,40.24,41.25,16605261,40.744,41.85,40.24,41.25,16605261,0.0,1.0,41.25,40.24,41.85
UBER,2019-06-04,42.56,42.88,40.7,42.75,23432141,42.56,42.88,40.7,42.75,23432141,0.0,1.0,42.75,40.7,42.88
UBER,2019-06-05,42.87,45.66,42.5,45.0,28609604,42.87,45.66,42.5,45.0,28609604,0.0,1.0,45.0,42.5,45.66
UBER,2019-06-06,45.0,45.75,44.28,44.92,16403691,45.0,45.75,44.28,44.92,16403691,0.0,1.0,44.92,44.28,45.75
UBER,2019-06-07,44.92,45.67,44.13,44.16,12654670,44.92,45.67,44.13,44.16,12654670,0.0,1.0,44.16,44.13,45.67
UBER,2019-06-10,44.02,44.59,42.53,42.61,11618701,44.02,44.59,42.53,42.61,11618701,0.0,1.0,42.61,42.53,44.59
UBER,2019-06-11,43.22,43.65,41.8,42.45,9095044,43.22,43.65,41.8,42.45,9095044,0.0,1.0,42.45,41.8,43.65
UBER,2019-06-12,42.52,42.65,41.71,42.17,5965250,42.52,42.65,41.71,42.17,5965250,0.0,1.0,42.17,41.71,42.65
UBER,2019-06-13,43.05,44.35,42.8,44.31,10178935,43.05,44.35,42.8,44.31,10178935,0.0,1.0,44.31,42.8,44.35
UBER,2019-06-14,44.75,44.8,43.11,43.23,7902223,44.75,44.8,43.11,43.23,7902223,0.0,1.0,43.23,43.11,44.8
UBER,2019-06-17,43.28,44.079,42.93,43.78,6557589,43.28,44.079,42.93,43.78,6557589,0.0,1.0,43.78,42.93,44.079
UBER,2019-06-18,44.3,44.89,43.75,43.86,7313602,44.3,44.89,43.75,43.86,7313602,0.0,1.0,43.86,43.75,44.89
UBER,2019-06-19,44.46,45.5,43.95,44.86,10331520,44.46,45.5,43.95,44.86,10331520,0.0,1.0,44.86,43.95,45.5
UBER,2019-06-20,45.03,45.29,43.51,43.86,9567367,45.03,45.29,43.51,43.86,9567367,0.0,1.0,43.86,43.51,45.29
UBER,2019-06-21,43.85,44.14,43.38,44.0,4973987,43.85,44.14,43.38,44.0,4973987,0.0,1.0,44.0,43.38,44.14
UBER,2019-06-24,44.0,44.07,42.82,43.09,5985052,44.0,44.07,42.82,43.09,5985052,0.0,1.0,43.09,42.82,44.07
UBER,2019-06-25,43.28,43.79,42.443,43.09,5755107,43.28,43.79,42.443,43.09,5755107,0.0,1.0,43.09,42.443,43.79
UBER,2019-06-26,43.25,43.4,42.36,42.5,8109056,43.25,43.4,42.36,42.5,8109056,0.0,1.0,42.5,42.36,43.4
UBER,2019-06-27,43.35,45.3,43.2,45.13,20155079,43.35,45.3,43.2,45.13,20155079,0.0,1.0,45.13,43.2,45.3
UBER,2019-06-28,45.1,47.08,45.08,46.38,28657002,45.1,47.08,45.08,46.38,28657002,0.0,1.0,46.38,45.08,47.08
UBER,2019-07-01,46.98,47.04,44.06,44.27,17739998,46.98,47.04,44.06,44.27,17739998,0.0,1.0,44.27,44.06,47.04
UBER,2019-07-02,44.55,44.68,43.75,44.0,11881274,44.55,44.68,43.75,44.0,11881274,0.0,1.0,44.0,43.75,44.68
UBER,2019-07-03,44.0,44.46,43.79,44.23,3380003,44.0,44.46,43.79,44.23,3380003,0.0,1.0,44.23,43.79,44.46
UBER,2019-07-05,44.31,44.55,43.01,43.53,8239452,44.31,44.55,43.01,43.53,8239452,0.0,1.0,43.53,43.01,44.55
UBER,2019-07-08,43.59,43.85,42.75,42.95,9304101,43.59,43.85,42.75,42.95,9304101,0.0,1.0,42.95,42.75,43.85
UBER,2019-07-09,43.18,44.23,42.98,44.2,5251564,43.18,44.23,42.98,44.2,5251564,0.0,1.0,44.2,42.98,44.23
UBER,2019-07-10,44.48,44.8,43.56,43.7,9746505,44.48,44.8,43.56,43.7,9746505,0.0,1.0,43.7,43.56,44.8
UBER,2019-07-11,44.1,44.29,43.31,43.99,8050856,44.1,44.29,43.31,43.99,8050856,0.0,1.0,43.99,43.31,44.29
UBER,2019-07-12,44.16,44.24,43.39,43.99,8760526,44.16,44.24,43.39,43.99,8760526,0.0,1.0,43.99,43.39,44.24
UBER,2019-07-15,44.2,44.7,43.97,44.53,5811160,44.2,44.7,43.97,44.53,5811160,0.0,1.0,44.53,43.97,44.7
UBER,2019-07-16,44.6,44.98,44.02,44.13,5613321,44.6,44.98,44.02,44.13,5613321,0.0,1.0,44.13,44.02,44.98
UBER,2019-07-17,44.06,44.35,43.52,43.62,5854149,44.06,44.35,43.52,43.62,5854149,0.0,1.0,43.62,43.52,44.35
UBER,2019-07-18,43.5,43.85,43.19,43.71,4123615,43.5,43.85,43.19,43.71,4123615,0.0,1.0,43.71,43.19,43.85
UBER,2019-07-19,43.9,44.086,43.16,43.18,4021018,43.9,44.086,43.16,43.18,4021018,0.0,1.0,43.18,43.16,44.086
UBER,2019-07-22,43.25,43.72,43.01,43.69,3822276,43.25,43.72,43.01,43.69,3822276,0.0,1.0,43.69,43.01,43.72
UBER,2019-07-23,43.75,44.31,43.11,43.36,5110090,43.75,44.31,43.11,43.36,5110090,0.0,1.0,43.36,43.11,44.31
UBER,2019-07-24,43.36,43.87,43.36,43.76,3775677,43.36,43.87,43.36,43.76,3775677,0.0,1.0,43.76,43.36,43.87
UBER,2019-07-25,43.72,43.96,43.21,43.4,4411991,43.72,43.96,43.21,43.4,4411991,0.0,1.0,43.4,43.21,43.96
UBER,2019-07-26,43.42,44.96,43.39,44.52,7598828,43.42,44.96,43.39,44.52,7598828,0.0,1.0,44.52,43.39,44.96
UBER,2019-07-29,45.0,45.627,43.12,43.88,8652204,45.0,45.627,43.12,43.88,8652204,0.0,1.0,43.88,43.12,45.627
UBER,2019-07-30,43.71,43.74,42.49,42.59,7686342,43.71,43.74,42.49,42.59,7686342,0.0,1.0,42.59,42.49,43.74
UBER,2019-07-31,42.6,42.98,41.84,42.14,5970774,42.6,42.98,41.84,42.14,5970774,0.0,1.0,42.14,41.84,42.98
UBER,2019-08-01,42.14,42.536,41.0,41.31,7349740,42.14,42.536,41.0,41.31,7349740,0.0,1.0,41.31,41.0,42.536
UBER,2019-08-02,41.03,41.06,39.95,40.4,8225677,41.03,41.06,39.95,40.4,8225677,0.0,1.0,40.4,39.95,41.06
