ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
VGT,2005-01-03,47.46,47.46,46.56,46.56,8300,4.9637516759,4.9637516759,4.8696223774,4.8696223774,66400,0.0,1.0,4.8696223774,4.8696223774,4.9637516759
VGT,2005-01-04,46.73,46.73,45.54,45.6,6400,4.887402356,4.887402356,4.7629425057,4.7692177923,51200,0.0,1.0,4.7692177923,4.7629425057,4.887402356
VGT,2005-01-05,45.6,45.6,45.36,45.36,1900,4.7692177923,4.7692177923,4.744116646,4.744116646,15200,0.0,1.0,4.744116646,4.744116646,4.7692177923
VGT,2005-01-06,45.56,45.56,45.19,45.19,6800,4.7650342679,4.7650342679,4.7263366674,4.7263366674,54400,0.0,1.0,4.7263366674,4.7263366674,4.7650342679
VGT,2005-01-07,45.25,45.27,44.95,45.22,2900,4.732611954,4.7347037162,4.7012355211,4.7294743107,23200,0.0,1.0,4.7294743107,4.7012355211,4.7347037162
VGT,2005-01-10,45.36,45.47,45.04,45.21,4200,4.744116646,4.7556213381,4.710648451,4.7284284296,33600,0.0,1.0,4.7284284296,4.710648451,4.7556213381
VGT,2005-01-11,45.06,45.06,44.74,44.86,3100,4.7127402132,4.7127402132,4.6792720181,4.6918225913,24800,0.0,1.0,4.6918225913,4.6792720181,4.7127402132
VGT,2005-01-12,44.99,45.07,44.53,44.91,1700,4.7054190455,4.7137860943,4.6573085151,4.6970519967,13600,0.0,1.0,4.6970519967,4.6573085151,4.7137860943
VGT,2005-01-13,44.9,45.02,44.87,44.96,2300,4.6960061157,4.7085566888,4.6928684724,4.7022814022,18400,0.0,1.0,4.7022814022,4.6928684724,4.7085566888
VGT,2005-01-14,44.75,44.9,44.75,44.77,5100,4.6803178992,4.6960061157,4.6803178992,4.6824096614,40800,0.0,1.0,4.6824096614,4.6803178992,4.6960061157
VGT,2005-01-18,44.62,45.14,44.62,45.14,2200,4.666721445,4.7211072619,4.666721445,4.7211072619,17600,0.0,1.0,4.7211072619,4.666721445,4.7211072619
