ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
VST,2016-10-04,15.6,16.0,15.6,16.0,353338,11.4320551789,11.7251847989,11.4320551789,11.7251847989,353338,0.0,1.0,11.7251847989,11.4320551789,11.7251847989
VST,2016-10-05,16.0,16.5,15.5,15.5,569726,11.7251847989,12.0915968239,11.3587727739,11.3587727739,569726,0.0,1.0,11.3587727739,11.3587727739,12.0915968239
VST,2016-10-06,15.5,15.9,15.5,15.75,264911,11.3587727739,11.6519023939,11.3587727739,11.5419787864,264911,0.0,1.0,11.5419787864,11.3587727739,11.6519023939
VST,2016-10-07,15.9,15.9,15.7,15.9,110902,11.6519023939,11.6519023939,11.5053375839,11.6519023939,110902,0.0,1.0,11.6519023939,11.5053375839,11.6519023939
VST,2016-10-10,15.95,25.24,15.9,16.0,6253,11.6885435964,18.4964790203,11.6519023939,11.7251847989,6253,0.0,1.0,11.7251847989,11.6519023939,18.4964790203
VST,2016-10-11,16.1,16.5,16.0,16.35,158436,11.7984672039,12.0915968239,11.7251847989,11.9816732164,158436,0.0,1.0,11.9816732164,11.7251847989,12.0915968239
VST,2016-10-12,16.35,17.0,16.0,16.35,160545,11.9816732164,12.4580088488,11.7251847989,11.9816732164,160545,0.0,1.0,11.9816732164,11.7251847989,12.4580088488
VST,2016-10-13,16.5,16.5,16.0,16.1,265820,12.0915968239,12.0915968239,11.7251847989,11.7984672039,265820,0.0,1.0,11.7984672039,11.7251847989,12.0915968239
VST,2016-10-14,16.05,16.1,16.05,16.1,45516,11.7618260014,11.7984672039,11.7618260014,11.7984672039,45516,0.0,1.0,11.7984672039,11.7618260014,11.7984672039
VST,2016-10-17,16.15,16.15,16.1,16.1,20563,11.8351084064,11.8351084064,11.7984672039,11.7984672039,20563,0.0,1.0,11.7984672039,11.7984672039,11.8351084064
VST,2016-10-18,16.14,16.14,15.96,16.0,464291,11.8277801659,11.8277801659,11.6958718369,11.7251847989,464291,0.0,1.0,11.7251847989,11.6958718369,11.8277801659
VST,2016-10-19,15.75,16.0,15.75,15.99,140446,11.5419787864,11.7251847989,11.5419787864,11.7178565584,140446,0.0,1.0,11.7178565584,11.5419787864,11.7251847989
VST,2016-10-20,15.9,16.0,15.75,15.9,653858,11.6519023939,11.7251847989,11.5419787864,11.6519023939,653858,0.0,1.0,11.6519023939,11.5419787864,11.7251847989
VST,2016-10-21,15.65,15.8,15.5,15.7,27538,11.4686963814,11.5786199889,11.3587727739,11.5053375839,27538,0.0,1.0,11.5053375839,11.3587727739,11.5786199889
VST,2016-10-24,15.75,15.75,15.5,15.68,130314,11.5419787864,11.5419787864,11.3587727739,11.4906811029,130314,0.0,1.0,11.4906811029,11.3587727739,11.5419787864
VST,2016-10-25,15.51,15.58,15.25,15.58,6159,11.3661010144,11.4173986979,11.1755667615,11.4173986979,6159,0.0,1.0,11.4173986979,11.1755667615,11.4173986979
VST,2016-10-26,15.5,15.5,15.35,15.45,52294,11.3587727739,11.3587727739,11.2488491665,11.3221315715,52294,0.0,1.0,11.3221315715,11.2488491665,11.3587727739
VST,2016-10-27,15.35,15.35,15.16,15.2,271128,11.2488491665,11.2488491665,11.109612597,11.138925559,271128,0.0,1.0,11.138925559,11.109612597,11.2488491665
VST,2016-10-28,15.2,15.45,15.0,15.2,2185191,11.138925559,11.3221315715,10.992360749,11.138925559,2185191,0.0,1.0,11.138925559,10.992360749,11.3221315715
VST,2016-10-31,15.25,15.25,15.0,15.2,25864,11.1755667615,11.1755667615,10.992360749,11.138925559,25864,0.0,1.0,11.138925559,10.992360749,11.1755667615
VST,2016-11-01,15.0,15.0,14.9,15.0,11800,10.992360749,10.992360749,10.919078344,10.992360749,11800,0.0,1.0,10.992360749,10.919078344,10.992360749
VST,2016-11-02,14.8,14.8,13.5,13.6,509897,10.845795939,10.845795939,9.8931246741,9.9664070791,509897,0.0,1.0,9.9664070791,9.8931246741,10.845795939
