ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
VYM,2006-11-16,50.51,50.57,50.46,50.46,31200,27.7073679224,27.74028105,27.6799403161,27.6799403161,31200,0.0,1.0,27.6799403161,27.6799403161,27.74028105
VYM,2006-11-17,50.6,50.6,50.26,50.54,46000,27.7567376138,27.7567376138,27.5702298907,27.7238244862,46000,0.0,1.0,27.7238244862,27.5702298907,27.7567376138
VYM,2006-11-20,50.69,50.69,50.5,50.56,17300,27.8061073052,27.8061073052,27.7018824011,27.7347955287,17300,0.0,1.0,27.7347955287,27.7018824011,27.8061073052
VYM,2006-11-21,50.74,50.74,50.45,50.5,9900,27.8335349115,27.8335349115,27.6744547948,27.7018824011,9900,0.0,1.0,27.7018824011,27.6744547948,27.8335349115
VYM,2006-11-22,50.6,50.6,50.45,50.51,14700,27.7567376138,27.7567376138,27.6744547948,27.7073679224,14700,0.0,1.0,27.7073679224,27.6744547948,27.7567376138
VYM,2006-11-24,50.6,50.6,50.38,50.43,4000,27.7567376138,27.7567376138,27.6360561459,27.6634837523,4000,0.0,1.0,27.6634837523,27.6360561459,27.7567376138
VYM,2006-11-27,50.29,50.29,49.82,49.8999,13000,27.5866864545,27.5866864545,27.3288669549,27.3726962699,13000,0.0,1.0,27.3726962699,27.3288669549,27.5866864545
VYM,2006-11-28,49.89,50.07,49.89,50.05,4100,27.3672656038,27.4660049866,27.3672656038,27.4550339441,4100,0.0,1.0,27.4550339441,27.3672656038,27.4660049866
VYM,2006-11-29,50.25,50.59,50.25,50.59,16300,27.5647443694,27.7512520925,27.5647443694,27.7512520925,16300,0.0,1.0,27.7512520925,27.5647443694,27.7512520925
VYM,2006-11-30,50.66,50.77,50.37,50.68,20300,27.7896507414,27.8499914753,27.6305706246,27.8006217839,20300,0.0,1.0,27.8006217839,27.6305706246,27.8499914753
VYM,2006-12-01,50.73,50.73,50.25,50.38,8400,27.8280493903,27.8280493903,27.5647443694,27.6360561459,8400,0.0,1.0,27.6360561459,27.5647443694,27.8280493903
VYM,2006-12-04,50.6,50.85,50.6,50.85,2200,27.7567376138,27.8938756455,27.7567376138,27.8938756455,2200,0.0,1.0,27.8938756455,27.7567376138,27.8938756455
