ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
XLE,2005-01-03,36.1,36.2,34.98,34.98,3981600,9.7989319457,9.8260758015,9.4949207606,9.4949207606,7963200,0.0,1.0,9.4949207606,9.4949207606,9.8260758015
XLE,2005-01-04,35.2,35.35,34.78,34.8,6333300,9.5546372434,9.5953530271,9.440633049,9.4460618202,12666600,0.0,1.0,9.4460618202,9.440633049,9.5953530271
XLE,2005-01-05,34.8,35.05,34.56,34.65,3974000,9.4460618202,9.5139214597,9.3809165663,9.4053460365,7948000,0.0,1.0,9.4053460365,9.3809165663,9.5139214597
XLE,2005-01-06,34.55,35.51,34.54,35.25,5028800,9.3782021807,9.6387831964,9.3754877951,9.5682091713,10057600,0.0,1.0,9.5682091713,9.3754877951,9.6387831964
XLE,2005-01-07,35.4,35.4,34.66,34.97,4722900,9.608924955,9.608924955,9.4080604221,9.4922063751,9445800,0.0,1.0,9.4922063751,9.4080604221,9.608924955
XLE,2005-01-10,35.35,35.6,35.1,35.23,4501800,9.5953530271,9.6632126666,9.5274933876,9.5627804002,9003600,0.0,1.0,9.5627804002,9.5274933876,9.6632126666
XLE,2005-01-11,35.22,35.39,35.0,35.28,1647900,9.5600660146,9.6062105694,9.5003495318,9.5763523281,3295800,0.0,1.0,9.5763523281,9.5003495318,9.6062105694
XLE,2005-01-12,35.4,35.9,35.21,35.9,3524000,9.608924955,9.744644234,9.557351629,9.744644234,7048000,0.0,1.0,9.744644234,9.557351629,9.744644234
XLE,2005-01-13,36.15,36.43,35.95,36.14,3599800,9.8125038736,9.8885066698,9.758216162,9.809789488,7199600,0.0,1.0,9.809789488,9.758216162,9.8885066698
XLE,2005-01-14,36.25,36.47,36.05,36.46,1646000,9.8396477294,9.8993642121,9.7853600178,9.8966498266,3292000,0.0,1.0,9.8966498266,9.7853600178,9.8993642121
XLE,2005-01-18,36.7,36.91,36.59,36.82,4108000,9.9617950805,10.0187971777,9.9319368391,9.9943677075,8216000,0.0,1.0,9.9943677075,9.9319368391,10.0187971777
XLE,2005-01-19,36.65,36.96,36.65,36.69,2677000,9.9482231526,10.0323691056,9.9482231526,9.9590806949,5354000,0.0,1.0,9.9590806949,9.9482231526,10.0323691056
XLE,2005-01-20,36.6,36.6,36.05,36.32,3944200,9.9346512247,9.9346512247,9.7853600178,9.8586484284,7888400,0.0,1.0,9.8586484284,9.7853600178,9.9346512247
XLE,2005-01-21,36.55,36.84,36.39,36.4,4351800,9.9210792968,9.9997964786,9.8776491275,9.8803635131,8703600,0.0,1.0,9.8803635131,9.8776491275,9.9997964786
XLE,2005-01-24,36.8,37.02,36.68,36.72,3857500,9.9889389363,10.0486554191,9.9563663093,9.9672238517,7715000,0.0,1.0,9.9672238517,9.9563663093,10.0486554191
XLE,2005-01-25,36.95,37.05,36.6,36.87,2128500,10.02965472,10.0567985758,9.9346512247,10.0079396354,4257000,0.0,1.0,10.0079396354,9.9346512247,10.0567985758
XLE,2005-01-26,36.93,37.29,36.81,37.23,3548200,10.0242259488,10.1219438297,9.9916533219,10.1056575163,7096400,0.0,1.0,10.1056575163,9.9916533219,10.1219438297
XLE,2005-01-27,37.15,37.71,37.1,37.56,2962300,10.0839424316,10.2359480241,10.0703705037,10.1952322404,5924600,0.0,1.0,10.1952322404,10.0703705037,10.2359480241
XLE,2005-01-28,37.35,37.35,36.98,37.1,4998900,10.1382301432,10.1382301432,10.0377978767,10.0703705037,9997800,0.0,1.0,10.0703705037,10.0377978767,10.1382301432
XLE,2005-01-31,37.0,37.7,36.85,37.55,5630700,10.0432266479,10.2332336385,10.0025108642,10.1925178548,11261400,0.0,1.0,10.1925178548,10.0025108642,10.2332336385
XLE,2005-02-01,37.76,38.2,37.71,38.19,4165500,10.249519952,10.3689529176,10.2359480241,10.366238532,8331000,0.0,1.0,10.366238532,10.2359480241,10.3689529176
XLE,2005-02-02,38.35,38.74,38.22,38.72,3102600,10.4096687013,10.5155297389,10.3743816887,10.5101009678,6205200,0.0,1.0,10.5101009678,10.3743816887,10.5155297389
XLE,2005-02-03,38.5,38.94,38.37,38.91,2935100,10.450384485,10.5698174505,10.4150974724,10.5616742938,5870200,0.0,1.0,10.5616742938,10.4150974724,10.5698174505
XLE,2005-02-04,39.0,39.11,38.79,39.05,4417800,10.586103764,10.6159620054,10.5291016668,10.5996756919,8835600,0.0,1.0,10.5996756919,10.5291016668,10.6159620054
XLE,2005-02-07,39.15,39.2,38.51,38.79,3673800,10.6268195477,10.6403914756,10.4530988706,10.5291016668,7347600,0.0,1.0,10.5291016668,10.4530988706,10.6403914756
XLE,2005-02-08,38.62,39.14,38.56,39.07,2172600,10.4829571119,10.6241051621,10.4666707985,10.6051044631,4345200,0.0,1.0,10.6051044631,10.4666707985,10.6241051621
XLE,2005-02-09,39.1,39.38,38.69,39.0,5913200,10.6132476198,10.6892504161,10.501957811,10.586103764,11826400,0.0,1.0,10.586103764,10.501957811,10.6892504161
XLE,2005-02-10,39.42,40.12,39.25,40.07,5704200,10.7001079584,10.890114949,10.6539634035,10.8765430211,11408400,0.0,1.0,10.8765430211,10.6539634035,10.890114949
XLE,2005-02-11,40.03,40.63,39.95,40.42,4245200,10.8656854788,11.0285486136,10.8439703942,10.9715465164,8490400,0.0,1.0,10.9715465164,10.8439703942,11.0285486136
XLE,2005-02-14,40.47,40.63,40.38,40.47,2877100,10.9851184443,11.0285486136,10.9606889741,10.9851184443,5754200,0.0,1.0,10.9851184443,10.9606889741,11.0285486136
XLE,2005-02-15,40.65,40.68,40.26,40.56,2719600,11.0339773848,11.0421205415,10.9281163472,11.0095479146,5439200,0.0,1.0,11.0095479146,10.9281163472,11.0421205415
XLE,2005-02-16,40.68,41.75,40.59,41.7,5429800,11.0421205415,11.3325597987,11.0176910713,11.3189878707,10859600,0.0,1.0,11.3189878707,11.0176910713,11.3325597987
XLE,2005-02-17,41.8,41.99,41.07,41.14,5190100,11.3461317266,11.3977050526,11.1479815792,11.1669822782,10380200,0.0,1.0,11.1669822782,11.1479815792,11.3977050526
XLE,2005-02-18,41.23,42.26,41.2,42.05,6549700,11.1914117485,11.4709934633,11.1832685917,11.4139913661,13099400,0.0,1.0,11.4139913661,11.1832685917,11.4709934633
XLE,2005-02-22,42.5,42.77,41.72,41.75,6597300,11.5361387172,11.6094271279,11.3244166419,11.3325597987,13194600,0.0,1.0,11.3325597987,11.3244166419,11.6094271279
XLE,2005-02-23,41.7,42.35,41.7,42.28,3254700,11.3189878707,11.4954229335,11.3189878707,11.4764222344,6509400,0.0,1.0,11.4764222344,11.3189878707,11.4954229335
XLE,2005-02-24,42.45,43.15,42.25,43.11,5047600,11.5225667893,11.7125737799,11.4682790777,11.7017162376,10095200,0.0,1.0,11.7017162376,11.4682790777,11.7125737799
XLE,2005-02-25,43.28,44.39,43.18,44.17,6798100,11.7478607925,12.0491575919,11.7207169367,11.9894411091,13596200,0.0,1.0,11.9894411091,11.7207169367,12.0491575919
XLE,2005-02-28,44.5,44.75,42.41,43.85,9474200,12.0790158333,12.1468754728,11.511709247,11.9025807706,18948400,0.0,1.0,11.9025807706,11.511709247,12.1468754728
XLE,2005-03-01,43.75,44.0,42.94,43.0,7461200,11.8754369148,11.9432965543,11.6555716827,11.6718579962,14922400,0.0,1.0,11.6718579962,11.6555716827,11.9432965543
XLE,2005-03-02,42.82,43.71,42.72,43.63,6115700,11.6229990558,11.8645793724,11.5958552,11.8428642878,12231400,0.0,1.0,11.8428642878,11.5958552,11.8645793724
XLE,2005-03-03,43.8,44.44,43.75,44.35,9861700,11.8890088427,12.0627295198,11.8754369148,12.0383000496,19723400,0.0,1.0,12.0383000496,11.8754369148,12.0627295198
XLE,2005-03-04,44.4,45.09,44.12,44.92,5991000,12.0518719775,12.2391645825,11.9758691812,12.1930200277,11982000,0.0,1.0,12.1930200277,11.9758691812,12.2391645825
XLE,2005-03-07,44.75,44.96,44.1,44.61,7201800,12.1468754728,12.20387757,11.9704404101,12.1088740747,14403600,0.0,1.0,12.1088740747,11.9704404101,12.20387757
XLE,2005-03-08,44.45,44.93,44.4,44.56,5793400,12.0654439054,12.1957344133,12.0518719775,12.0953021468,11586800,0.0,1.0,12.0953021468,12.0518719775,12.1957344133
XLE,2005-03-09,44.89,45.14,43.25,43.33,15424300,12.1848768709,12.2527365104,11.7397176357,11.7614327204,30848600,0.0,1.0,11.7614327204,11.7397176357,12.2527365104
XLE,2005-03-10,43.3,43.55,42.05,42.45,19840700,11.7532895636,11.8211492031,11.4139913661,11.5225667893,39681400,0.0,1.0,11.5225667893,11.4139913661,11.8211492031
XLE,2005-03-11,42.31,43.2,42.19,42.8,10945300,11.4845653912,11.7261457078,11.4519927642,11.6175702846,21890600,0.0,1.0,11.6175702846,11.4519927642,11.7261457078
XLE,2005-03-14,42.9,43.24,42.13,43.11,10158200,11.6447141404,11.7370032501,11.4357064507,11.7017162376,20316400,0.0,1.0,11.7017162376,11.4357064507,11.7370032501
XLE,2005-03-15,43.2,43.67,42.5,42.51,11354600,11.7261457078,11.8537218301,11.5361387172,11.5388531028,22709200,0.0,1.0,11.5388531028,11.5361387172,11.8537218301
XLE,2005-03-16,42.5,43.25,42.1,42.65,11903200,11.5361387172,11.7397176357,11.427563294,11.5768545009,23806400,0.0,1.0,11.5768545009,11.427563294,11.7397176357
XLE,2005-03-17,42.9,43.45,42.9,43.39,11794600,11.6447141404,11.7940053473,11.6447141404,11.7777190339,23589200,0.0,1.0,11.7777190339,11.6447141404,11.7940053473
XLE,2005-03-18,43.85,43.85,43.243,43.78,8065700,11.9418391685,11.9418391685,11.7765325237,11.9227757993,16131400,0.1444,1.0,11.9227757993,11.7765325237,11.9418391685
XLE,2005-03-21,43.7,43.9,43.04,43.4,8859700,11.9009890916,11.9554558609,11.7212487529,11.8192889376,17719400,0.0,1.0,11.8192889376,11.7212487529,11.9554558609
XLE,2005-03-22,43.25,44.06,42.82,42.88,9789900,11.7784388606,11.9990292763,11.6613353066,11.6776753374,19579800,0.0,1.0,11.6776753374,11.6613353066,11.9990292763
XLE,2005-03-23,42.4,42.59,41.7,42.06,24306500,11.5469550911,11.598698522,11.3563213986,11.4543615833,48613000,0.0,1.0,11.4543615833,11.3563213986,11.598698522
XLE,2005-03-24,42.3,42.67,41.63,42.03,10880400,11.5197217065,11.6204852297,11.3372580293,11.4461915679,21760800,0.0,1.0,11.4461915679,11.3372580293,11.6204852297
XLE,2005-03-28,42.1,42.33,41.7,42.08,10815600,11.4652549372,11.5278917219,11.3563213986,11.4598082602,21631200,0.0,1.0,11.4598082602,11.3563213986,11.5278917219
XLE,2005-03-29,42.1,42.62,41.34,41.4,9197400,11.4652549372,11.6068685374,11.2582812138,11.2746212446,18394800,0.0,1.0,11.2746212446,11.2582812138,11.6068685374
XLE,2005-03-30,41.5,42.08,40.78,42.02,24174200,11.3018546293,11.4598082602,11.1057742598,11.4434682295,48348400,0.0,1.0,11.4434682295,11.1057742598,11.4598082602
XLE,2005-03-31,42.69,43.0,42.4,42.87,12476100,11.6259319066,11.710355399,11.5469550911,11.674951999,24952200,0.0,1.0,11.674951999,11.5469550911,11.710355399
