ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
XLF,2005-01-03,30.75,30.79,30.38,30.42,4071200,16.2280019546,16.2491115506,16.0327381912,16.0538477873,5007333,0.0,1.0,16.0538477873,16.0327381912,16.2491115506
XLF,2005-01-04,30.55,30.6,30.07,30.13,6033100,16.1224539744,16.1488409695,15.8691388219,15.900803216,7420353,0.0,1.0,15.900803216,15.8691388219,16.1488409695
XLF,2005-01-05,30.1,30.33,30.07,30.08,2391000,15.884971019,16.0063511962,15.8691388219,15.874416221,2940787,0.0,1.0,15.874416221,15.8691388219,16.0063511962
XLF,2005-01-06,30.16,30.32,30.13,30.23,2609200,15.916635413,16.0010737972,15.900803216,15.9535772061,3209160,0.0,1.0,15.9535772061,15.900803216,16.0010737972
XLF,2005-01-07,30.35,30.35,30.07,30.07,1234500,16.0169059942,16.0169059942,15.8691388219,15.8691388219,1518361,0.0,1.0,15.8691388219,15.8691388219,16.0169059942
XLF,2005-01-10,30.0,30.24,29.95,30.1,3039900,15.8321970289,15.9588546051,15.8058100338,15.884971019,3738895,0.0,1.0,15.884971019,15.8058100338,15.9588546051
XLF,2005-01-11,30.0,30.12,29.91,29.97,6036700,15.8321970289,15.895525817,15.7847004378,15.8163648318,7424781,0.0,1.0,15.8163648318,15.7847004378,15.895525817
XLF,2005-01-12,30.05,30.05,29.71,29.93,3857300,15.8585840239,15.8585840239,15.6791524576,15.7952552358,4744249,0.0,1.0,15.7952552358,15.6791524576,15.8585840239
XLF,2005-01-13,29.96,29.96,29.6,29.64,6889400,15.8110874328,15.8110874328,15.6211010685,15.6422106645,8473551,0.0,1.0,15.6422106645,15.6211010685,15.8110874328
XLF,2005-01-14,29.65,29.8,29.62,29.74,5206500,15.6474880635,15.7266490487,15.6316558665,15.6949846546,6403684,0.0,1.0,15.6949846546,15.6316558665,15.7266490487
XLF,2005-01-18,29.62,30.23,29.62,30.21,5846000,15.6316558665,15.9535772061,15.6316558665,15.9430224081,7190231,0.0,1.0,15.9430224081,15.6316558665,15.9535772061
XLF,2005-01-19,30.25,30.25,29.9,29.91,3585300,15.9641320041,15.9641320041,15.7794230388,15.7847004378,4409705,0.0,1.0,15.7847004378,15.7794230388,15.9641320041
XLF,2005-01-20,29.6,29.85,29.6,29.69,4059300,15.6211010685,15.7530360437,15.6211010685,15.6685976596,4992697,0.0,1.0,15.6685976596,15.6211010685,15.7530360437
XLF,2005-01-21,29.75,29.8,29.51,29.54,4104900,15.7002620536,15.7266490487,15.5736044774,15.5894366744,5048782,0.0,1.0,15.5894366744,15.5736044774,15.7266490487
XLF,2005-01-24,29.73,29.79,29.55,29.55,5362500,15.6897072556,15.7213716497,15.5947140734,15.5947140734,6595555,0.0,1.0,15.5947140734,15.5947140734,15.7213716497
XLF,2005-01-25,29.69,30.07,29.56,29.57,2623500,15.6685976596,15.8691388219,15.5999914725,15.6052688715,3226748,0.0,1.0,15.6052688715,15.5999914725,15.8691388219
XLF,2005-01-26,29.65,29.74,29.56,29.71,1952100,15.6474880635,15.6949846546,15.5999914725,15.6791524576,2400966,0.0,1.0,15.6791524576,15.5999914725,15.6949846546
XLF,2005-01-27,29.65,29.75,29.47,29.56,1447900,15.6474880635,15.7002620536,15.5524948814,15.5999914725,1780830,0.0,1.0,15.5999914725,15.5524948814,15.7002620536
XLF,2005-01-28,29.5,29.65,29.38,29.52,2507400,15.5683270784,15.6474880635,15.5049982903,15.5788818764,3083952,0.0,1.0,15.5788818764,15.5049982903,15.6474880635
XLF,2005-01-31,29.55,29.89,29.55,29.87,3851600,15.5947140734,15.7741456398,15.5947140734,15.7635908418,4737238,0.0,1.0,15.7635908418,15.5947140734,15.7741456398
XLF,2005-02-01,30.0,30.31,29.9,30.19,3372600,15.8321970289,15.9957963982,15.7794230388,15.9324676101,4148096,0.0,1.0,15.9324676101,15.7794230388,15.9957963982
XLF,2005-02-02,30.25,30.25,30.07,30.19,8145500,15.9641320041,15.9641320041,15.8691388219,15.9324676101,10018479,0.0,1.0,15.9324676101,15.8691388219,15.9641320041
XLF,2005-02-03,30.15,30.15,29.97,30.08,5262900,15.911358014,15.911358014,15.8163648318,15.874416221,6473053,0.0,1.0,15.874416221,15.8163648318,15.911358014
XLF,2005-02-04,30.15,30.47,30.13,30.41,4116500,15.911358014,16.0802347823,15.900803216,16.0485703883,5063049,0.0,1.0,16.0485703883,15.900803216,16.0802347823
XLF,2005-02-07,30.58,30.58,30.3,30.44,3209200,16.1382861714,16.1382861714,15.9905189992,16.0644025853,3947124,0.0,1.0,16.0644025853,15.9905189992,16.1382861714
XLF,2005-02-08,30.4,30.46,30.32,30.32,3707500,16.0432929893,16.0749573833,16.0010737972,16.0010737972,4560003,0.0,1.0,16.0010737972,16.0010737972,16.0749573833
XLF,2005-02-09,30.4,30.44,30.22,30.24,2192700,16.0432929893,16.0644025853,15.9482998071,15.9588546051,2696890,0.0,1.0,15.9588546051,15.9482998071,16.0644025853
XLF,2005-02-10,30.45,30.45,30.25,30.33,7226000,16.0696799843,16.0696799843,15.9641320041,16.0063511962,8887549,0.0,1.0,16.0063511962,15.9641320041,16.0696799843
XLF,2005-02-11,30.25,30.62,30.25,30.57,2153500,15.9641320041,16.1593957675,15.9641320041,16.1330087724,2648676,0.0,1.0,16.1330087724,15.9641320041,16.1593957675
XLF,2005-02-14,30.6,30.65,30.44,30.52,5135000,16.1488409695,16.1752279645,16.0644025853,16.1066217774,6315743,0.0,1.0,16.1066217774,16.0644025853,16.1752279645
XLF,2005-02-15,30.57,30.65,30.49,30.59,5673600,16.1330087724,16.1752279645,16.0907895803,16.1435635704,6978189,0.0,1.0,16.1435635704,16.0907895803,16.1752279645
