ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
XLP,2005-01-03,23.3,23.41,23.02,23.08,813900,13.362348821,13.4254328712,13.2017712386,13.2361807205,813900,0.0,1.0,13.2361807205,13.2017712386,13.4254328712
XLP,2005-01-04,23.01,23.18,22.87,23.0,2075600,13.1960363249,13.2935298571,13.1157475337,13.1903014113,2075600,0.0,1.0,13.1903014113,13.1157475337,13.2935298571
XLP,2005-01-05,23.0,23.03,22.88,22.88,1772000,13.1903014113,13.2075061522,13.1214824474,13.1214824474,1772000,0.0,1.0,13.1214824474,13.1214824474,13.2075061522
XLP,2005-01-06,22.98,23.07,22.83,22.99,594900,13.178831584,13.2304458069,13.0928078791,13.1845664976,594900,0.0,1.0,13.1845664976,13.0928078791,13.2304458069
XLP,2005-01-07,23.1,23.17,22.98,23.1,325800,13.2476505478,13.2877949434,13.178831584,13.2476505478,325800,0.0,1.0,13.2476505478,13.178831584,13.2877949434
XLP,2005-01-10,23.2,23.34,23.05,23.24,357500,13.3049996844,13.3852884756,13.2189759796,13.327939339,357500,0.0,1.0,13.327939339,13.2189759796,13.3852884756
XLP,2005-01-11,23.1,23.23,23.08,23.14,639100,13.2476505478,13.3222044254,13.2361807205,13.2705902025,639100,0.0,1.0,13.2705902025,13.2361807205,13.3222044254
XLP,2005-01-12,23.2,23.25,23.03,23.21,586700,13.3049996844,13.3336742527,13.2075061522,13.3107345981,586700,0.0,1.0,13.3107345981,13.2075061522,13.3336742527
XLP,2005-01-13,23.3,23.3,23.0,23.06,358800,13.362348821,13.362348821,13.1903014113,13.2247108932,358800,0.0,1.0,13.2247108932,13.1903014113,13.362348821
XLP,2005-01-14,23.15,23.2,23.05,23.19,253000,13.2763251161,13.3049996844,13.2189759796,13.2992647708,253000,0.0,1.0,13.2992647708,13.2189759796,13.3049996844
