ticker,date,open,high,low,close,volume,adjOpen,adjHigh,adjLow,adjClose,adjVolume,divCash,splitFactor,price,low_price,high_price
ZS,2018-03-16,27.5,33.47,26.06,33.0,16931889,27.5,33.47,26.06,33.0,16931889,0.0,1.0,33.0,26.06,33.47
ZS,2018-03-19,31.45,31.5,26.75,27.9,5892131,31.45,31.5,26.75,27.9,5892131,0.0,1.0,27.9,26.75,31.5
ZS,2018-03-20,28.41,30.904,28.07,30.38,3262038,28.41,30.904,28.07,30.38,3262038,0.0,1.0,30.38,28.07,30.904
ZS,2018-03-21,30.79,34.83,29.29,31.08,4460935,30.79,34.83,29.29,31.08,4460935,0.0,1.0,31.08,29.29,34.83
ZS,2018-03-22,30.0,31.88,28.56,29.83,3239508,30.0,31.88,28.56,29.83,3239508,0.0,1.0,29.83,28.56,31.88
ZS,2018-03-23,30.31,30.45,28.6,29.43,1247139,30.31,30.45,28.6,29.43,1247139,0.0,1.0,29.43,28.6,30.45
ZS,2018-03-26,30.63,30.9378,27.3,27.83,1916674,30.63,30.9378,27.3,27.83,1916674,0.0,1.0,27.83,27.3,30.9378
ZS,2018-03-27,28.0,28.599,26.6,27.75,1719509,28.0,28.599,26.6,27.75,1719509,0.0,1.0,27.75,26.6,28.599
ZS,2018-03-28,27.35,28.19,27.0,27.53,825073,27.35,28.19,27.0,27.53,825073,0.0,1.0,27.53,27.0,28.19
ZS,2018-03-29,27.75,28.455,26.8,28.07,1137560,27.75,28.455,26.8,28.07,1137560,0.0,1.0,28.07,26.8,28.455
ZS,2018-04-02,27.9,28.66,26.807,27.06,786724,27.9,28.66,26.807,27.06,786724,0.0,1.0,27.06,26.807,28.66
ZS,2018-04-03,27.13,27.19,26.5,26.8,787493,27.13,27.19,26.5,26.8,787493,0.0,1.0,26.8,26.5,27.19
ZS,2018-04-04,26.35,28.95,26.32,27.97,1023806,26.35,28.95,26.32,27.97,1023806,0.0,1.0,27.97,26.32,28.95
ZS,2018-04-05,28.61,29.15,27.97,28.53,1210399,28.61,29.15,27.97,28.53,1210399,0.0,1.0,28.53,27.97,29.15
ZS,2018-04-06,28.32,29.6632,28.05,28.22,737506,28.32,29.6632,28.05,28.22,737506,0.0,1.0,28.22,28.05,29.6632
ZS,2018-04-09,28.47,28.7,26.5,26.54,934909,28.47,28.7,26.5,26.54,934909,0.0,1.0,26.54,26.5,28.7
ZS,2018-04-10,27.06,28.5,26.84,28.07,1068731,27.06,28.5,26.84,28.07,1068731,0.0,1.0,28.07,26.84,28.5
ZS,2018-04-11,28.03,29.46,27.4,27.71,795273,28.03,29.46,27.4,27.71,795273,0.0,1.0,27.71,27.4,29.46
ZS,2018-04-12,27.81,28.59,27.775,27.96,258901,27.81,28.59,27.775,27.96,258901,0.0,1.0,27.96,27.775,28.59
ZS,2018-04-13,28.7,28.7,27.03,27.48,418341,28.7,28.7,27.03,27.48,418341,0.0,1.0,27.48,27.03,28.7
ZS,2018-04-16,27.89,29.0,27.565,28.99,401086,27.89,29.0,27.565,28.99,401086,0.0,1.0,28.99,27.565,29.0
ZS,2018-04-17,29.31,29.9729,28.63,28.75,951462,29.31,29.9729,28.63,28.75,951462,0.0,1.0,28.75,28.63,29.9729
ZS,2018-04-18,28.96,29.0,28.0,28.65,377663,28.96,29.0,28.0,28.65,377663,0.0,1.0,28.65,28.0,29.0
ZS,2018-04-19,28.65,28.945,27.75,28.03,265498,28.65,28.945,27.75,28.03,265498,0.0,1.0,28.03,27.75,28.945
ZS,2018-04-20,28.05,28.23,27.03,27.22,522660,28.05,28.23,27.03,27.22,522660,0.0,1.0,27.22,27.03,28.23
ZS,2018-04-23,27.2,27.58,26.5,26.86,626825,27.2,27.58,26.5,26.86,626825,0.0,1.0,26.86,26.5,27.58
ZS,2018-04-24,27.0,27.97,27.0,27.14,393167,27.0,27.97,27.0,27.14,393167,0.0,1.0,27.14,27.0,27.97
ZS,2018-04-25,27.09,28.45,26.85,28.11,415697,27.09,28.45,26.85,28.11,415697,0.0,1.0,28.11,26.85,28.45
ZS,2018-04-26,28.4,28.81,28.1705,28.65,396100,28.4,28.81,28.1705,28.65,396100,0.0,1.0,28.65,28.1705,28.81
ZS,2018-04-27,28.86,28.93,28.411,28.71,197167,28.86,28.93,28.411,28.71,197167,0.0,1.0,28.71,28.411,28.93
ZS,2018-04-30,28.7,30.0599,28.7,29.89,399091,28.7,30.0599,28.7,29.89,399091,0.0,1.0,29.89,28.7,30.0599
ZS,2018-05-01,29.8,30.03,29.0,29.13,418632,29.8,30.03,29.0,29.13,418632,0.0,1.0,29.13,29.0,30.03
ZS,2018-05-02,29.32,30.06,29.01,29.95,265313,29.32,30.06,29.01,29.95,265313,0.0,1.0,29.95,29.01,30.06
ZS,2018-05-03,28.75,28.75,26.7501,27.57,1937351,28.75,28.75,26.7501,27.57,1937351,0.0,1.0,27.57,26.7501,28.75
ZS,2018-05-04,27.58,27.96,27.58,27.86,651340,27.58,27.96,27.58,27.86,651340,0.0,1.0,27.86,27.58,27.96
ZS,2018-05-07,28.0,28.35,27.51,27.65,470157,28.0,28.35,27.51,27.65,470157,0.0,1.0,27.65,27.51,28.35
ZS,2018-05-08,27.65,27.91,27.27,27.53,266415,27.65,27.91,27.27,27.53,266415,0.0,1.0,27.53,27.27,27.91
ZS,2018-05-09,27.49,27.87,27.3339,27.85,325459,27.49,27.87,27.3339,27.85,325459,0.0,1.0,27.85,27.3339,27.87
ZS,2018-05-10,27.85,28.82,27.5,28.18,380911,27.85,28.82,27.5,28.18,380911,0.0,1.0,28.18,27.5,28.82
ZS,2018-05-11,28.25,29.46,28.01,29.32,604653,28.25,29.46,28.01,29.32,604653,0.0,1.0,29.32,28.01,29.46
ZS,2018-05-14,29.37,30.1,28.41,28.47,564752,29.37,30.1,28.41,28.47,564752,0.0,1.0,28.47,28.41,30.1
ZS,2018-05-15,28.42,28.76,27.25,27.41,753641,28.42,28.76,27.25,27.41,753641,0.0,1.0,27.41,27.25,28.76
ZS,2018-05-16,27.53,27.8,27.065,27.09,383086,27.53,27.8,27.065,27.09,383086,0.0,1.0,27.09,27.065,27.8
ZS,2018-05-17,27.07,28.51,26.7524,27.39,676303,27.07,28.51,26.7524,27.39,676303,0.0,1.0,27.39,26.7524,28.51
ZS,2018-05-18,27.4,27.81,27.21,27.28,227373,27.4,27.81,27.21,27.28,227373,0.0,1.0,27.28,27.21,27.81
ZS,2018-05-21,27.35,27.99,27.04,27.42,268343,27.35,27.99,27.04,27.42,268343,0.0,1.0,27.42,27.04,27.99
ZS,2018-05-22,27.56,27.56,27.0,27.09,348722,27.56,27.56,27.0,27.09,348722,0.0,1.0,27.09,27.0,27.56
ZS,2018-05-23,26.88,27.14,26.26,26.56,693412,26.88,27.14,26.26,26.56,693412,0.0,1.0,26.56,26.26,27.14
ZS,2018-05-24,26.45,27.03,26.35,26.55,467844,26.45,27.03,26.35,26.55,467844,0.0,1.0,26.55,26.35,27.03
ZS,2018-05-25,26.5,26.75,24.76,24.95,1033987,26.5,26.75,24.76,24.95,1033987,0.0,1.0,24.95,24.76,26.75
ZS,2018-05-29,25.0,26.14,25.0,25.63,731157,25.0,26.14,25.0,25.63,731157,0.0,1.0,25.63,25.0,26.14
ZS,2018-05-30,25.94,26.4,25.111,25.5,763332,25.94,26.4,25.111,25.5,763332,0.0,1.0,25.5,25.111,26.4
ZS,2018-05-31,25.62,26.33,25.07,26.26,725901,25.62,26.33,25.07,26.26,725901,0.0,1.0,26.26,25.07,26.33
ZS,2018-06-01,26.36,28.2,26.36,28.18,849101,26.36,28.2,26.36,28.18,849101,0.0,1.0,28.18,26.36,28.2
ZS,2018-06-04,28.39,29.4,28.39,29.21,1217699,28.39,29.4,28.39,29.21,1217699,0.0,1.0,29.21,28.39,29.4
