rank,ticker,discovery_score_0_100,promotion_eligible,gate_reasons,is_core_94,latest_date,data_fresh,market_date_context_valid,market_data_metadata_valid,data_source,market_timezone,source_report_generated_at_utc,data_timestamp,price_frequency,price_adjustment_policy,staleness_business_days,latest_price,history_rows,ret_20d_pct,ret_60d_pct,ret_120d_pct,alpha_60d_vs_qqq_pct,alpha_120d_vs_spy_pct,drawdown_52w_pct,volatility_60d_pct,avg_dollar_volume_20
1,PANW,82.5,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,325.91,3512,23.8165792872882,101.68946098149641,73.60571032866352,86.14543034457323,63.965769951798876,-8.844013089810632,53.07506578532107,2424036216.19775
2,SOXX,79.74,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,581.34,5413,7.403655008152943,44.95103485061473,72.5748705220032,29.407004213691554,62.93493014513855,-11.247156531961334,61.87345217072511,6118986040.787655
3,TXN,79.08,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,311.46,5413,10.44289209602496,43.02276510198653,66.61174410698207,27.47873446506335,56.97180373011743,-6.265799927771754,63.20676976923865,3034461223.1775007
4,CRWD,78.82,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,187.18,1779,15.589588415104828,87.88928203969988,64.55384615384617,72.3452514027767,54.91390577698152,-6.118968803290192,50.82236865967048,2018658955.2450004
5,DDOG,78.42,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,257.54,1710,13.13974432192595,132.9203219679841,113.08952507032934,117.37629133106093,103.4495846934647,-7.189448268406062,83.0963438034173,1160605210.8674998
6,SMH,75.39,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,611.03,5413,7.027377344940544,35.183628318584056,54.140914709517915,19.639597681660877,44.50097433265327,-8.65288304854166,51.44064608624274,7266327268.724501
7,AAPL,74.21,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,315.32,5413,8.141847863365115,21.93752100176416,22.346033946989262,6.393490364840982,12.70609357012462,-0.28461197900196966,28.4903823137139,18947460088.349003
8,LRCX,70.39,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,350.33,5413,8.941400796147025,28.693303389017032,61.393381345228406,13.149272752093854,51.75344096836376,-19.153993492257637,75.85752171298628,5418984209.223497
9,QQQ,67.63,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,725.51,5413,4.702356468109059,15.544030636923178,16.95695760932501,0.0,7.317017232460367,-2.6603172799907426,23.989275404804154,32878102489.130577
10,KLAC,66.45,True,[],True,2026-07-10,True,True,True,"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-13T16:56:52.314696+00:00,2026-07-10,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,0,231.52,5413,8.407784083459768,29.083955234493743,50.24516020250876,13.539924597570565,40.60521982564411,-23.264061516025315,81.94026930472764,3944528248.556999
