ticker,security_name,exchange,source,eligibility
A,"Agilent Technologies, Inc. Common Stock",NYSE,OTHER,eligible
AA,Alcoa Corporation Common Stock,NYSE,OTHER,eligible
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,NASDAQ,eligible
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,NASDAQ,eligible
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,NASDAQ,eligible
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,NASDAQ,eligible
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,OTHER,eligible
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
AAME,Atlantic American Corporation - Common Stock,NASDAQ,NASDAQ,eligible
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,OTHER,eligible
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
AAON,"AAON, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
AAP,Advance Auto Parts Inc.,NYSE,OTHER,eligible
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,NASDAQ,eligible
AAPL,Apple Inc. - Common Stock,NASDAQ,NASDAQ,eligible
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
AAT,"American Assets Trust, Inc. Common Stock",NYSE,OTHER,eligible
AAUC,Allied Gold Corporation Common Shares,NYSE,OTHER,eligible
ABAT,American Battery Technology Company - Common Stock,NASDAQ,NASDAQ,eligible
ABBV,AbbVie Inc. Common Stock,NYSE,OTHER,eligible
ABCB,Ameris Bancorp Common Stock,NYSE,OTHER,eligible
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,NASDAQ,eligible
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,NASDAQ,eligible
ABG,Asbury Automotive Group Inc Common Stock,NYSE,OTHER,eligible
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,NASDAQ,eligible
ABM,ABM Industries Incorporated Common Stock,NYSE,OTHER,eligible
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,NASDAQ,eligible
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ABR,Arbor Realty Trust Common Stock,NYSE,OTHER,eligible
ABSI,Absci Corporation - Common Stock,NASDAQ,NASDAQ,eligible
ABT,Abbott Laboratories Common Stock,NYSE,OTHER,eligible
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,NASDAQ,eligible
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,NASDAQ,eligible
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,NASDAQ,eligible
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,OTHER,eligible
ACA,"Arcosa, Inc. Common Stock",NYSE,OTHER,eligible
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,NASDAQ,eligible
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,NASDAQ,eligible
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,NASDAQ,eligible
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,NASDAQ,eligible
ACCO,Acco Brands Corporation Common Stock,NYSE,OTHER,eligible
ACCS,ACCESS Newswire Inc. Common Stock,NYSE American,OTHER,eligible
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,NASDAQ,eligible
ACEL,"Accel Entertainment, Inc.",NYSE,OTHER,eligible
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,NASDAQ,eligible
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,NASDAQ,eligible
ACH,"Accendra Health, Inc. Common Stock",NYSE,OTHER,eligible
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACHR,Archer Aviation Inc. Class A Common Stock,NYSE,OTHER,eligible
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,NASDAQ,eligible
ACI,"Albertsons Companies, Inc. Class A Common Stock",NYSE,OTHER,eligible
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,NASDAQ,eligible
ACIU,AC Immune SA - Common Stock,NASDAQ,NASDAQ,eligible
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACM,AECOM Common Stock,NYSE,OTHER,eligible
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,NASDAQ,eligible
ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,OTHER,eligible
ACNB,ACNB Corporation - Common Stock,NASDAQ,NASDAQ,eligible
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,NASDAQ,eligible
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,NASDAQ,eligible
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,OTHER,eligible
ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,OTHER,eligible
ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,OTHER,eligible
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,NASDAQ,eligible
