data_source,market_timezone,data_timestamp,price_frequency,price_adjustment_policy,ticker,rule,status,latest_date,signal_latest_date,technical_latest_date,latest_price,data_fresh,technical_data_fresh,signal_data_fresh,staleness_business_days,technical_staleness_business_days,signal_staleness_business_days,decision_eligible,horizon_days,samples,valid,win_rate_pct,avg_return_pct,median_return_pct,worst_return_pct,avg_mae_pct,worst_mae_pct,benchmark,avg_alpha_vs_benchmark_pct,evidence_score_0_100,fail_reasons,final_order_permission
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,QQQ,ma50_reclaim_bullish,QUANT_PASS_NEEDS_CHATGPT_REVIEW,2026-07-14,2026-07-14,2026-07-14,719.69,True,True,True,0,0,0,True,20,75,True,61.33,1.21,1.54,-11.45,-3.72,-12.42,SPY,0.23,51.8,[],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,AAPL,momentum_leader,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,314.86,True,True,True,0,0,0,True,20,146,True,65.07,3.08,3.43,-20.42,-4.85,-24.65,SPY,2.24,56.0,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,ANET,momentum_leader,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,182.57,True,True,True,0,0,0,True,20,95,True,63.16,2.82,3.45,-24.63,-8.07,-29.63,SPY,1.66,53.9,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,META,momentum_leader,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,661.04,True,True,True,0,0,0,True,20,93,True,63.44,2.9,2.86,-16.21,-6.15,-27.1,SPY,1.77,52.4,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,ETN,ma20_reclaim_bullish,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,415.52,True,True,True,0,0,0,True,20,82,True,64.63,1.4,2.27,-22.17,-5.33,-33.34,SPY,0.97,51.7,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,SMH,ma50_reclaim_bullish,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,600.31,True,True,True,0,0,0,True,20,79,True,62.03,2.33,2.32,-15.14,-5.03,-21.33,QQQ,0.93,51.1,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,SOXX,ma50_reclaim_bullish,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,567.92,True,True,True,0,0,0,True,20,77,True,62.34,2.25,2.2,-14.7,-4.72,-20.49,SMH,-0.31,50.8,"['alpha_vs_benchmark<=0', 'worst_MAE<-15%']",NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,AMD,momentum_leader,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,548.13,True,True,True,0,0,0,True,20,136,True,58.82,4.66,3.26,-29.16,-9.4,-41.67,SMH,2.93,49.0,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,ETN,momentum_leader,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,415.52,True,True,True,0,0,0,True,20,137,True,62.04,1.07,2.01,-23.56,-4.84,-26.42,SPY,0.16,48.3,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,IYW,ma20_reclaim_bullish,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,248.19,True,True,True,0,0,0,True,20,96,True,63.54,1.0,1.35,-11.38,-3.8,-29.93,SPY,0.31,47.8,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
"Tiingo Free API with local CSV cache fallback, tiered refresh, 429 circuit breaker, append-only cache updates",America/New_York,2026-07-14,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,XLK,ma50_reclaim_bullish,WATCH_ONLY_INSUFFICIENT_QUANT_EVIDENCE,2026-07-14,2026-07-14,2026-07-14,183.62,True,True,True,0,0,0,True,20,75,True,62.67,0.99,1.32,-10.63,-3.94,-26.58,SPY,0.02,44.9,['worst_MAE<-15%'],NOT_ALLOWED_UNTIL_CHATGPT_LIVE_REVIEW
