ticker,rule,rule_type,strategy_contract,strategy_contract_version,rule_fingerprint,strategy_fingerprint,cost_assumption_source,tested_rule,horizon_days,raw_signal_count,completed_signal_count,effective_samples,closed_trade_count,sample_count,valid,min_sample_required,lookback_start,lookback_end,measurement_assumption,benchmark_data_required_for_completed_sample,description,win_rate,avoidance_rate,avg_gross_forward_return,avg_forward_return,median_forward_return,worst_forward_return,best_forward_return,avg_mae,worst_mae,benchmark,paired_benchmark_sample_count,avg_gross_benchmark_same_dates,avg_benchmark_same_dates,alpha_vs_benchmark_same_dates,reason,data_source,market_timezone,report_generated_at_utc,price_frequency,price_adjustment_policy,data_timestamp,price_basis,evidence_score_0_100
AMD,relative_strength_rebound,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,relative_strength_rebound,60,40,39,24,0,24,True,20,2005-01-03,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,A short pullback rebounds while 20-day relative strength stays positive.,0.7083,,0.1976,0.1949,0.2155,-0.5931,0.9429,-0.1546,-0.7011,SMH,24.0,0.0892,0.0868,0.1081,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,100.0
SHOP,ma50_reclaim_bullish,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,ma50_reclaim_bullish,60,71,71,20,0,20,True,20,2015-05-21,2026-07-10,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price reclaims MA50 while remaining above MA200.,0.75,,0.1288,0.1263,0.2297,-0.6319,0.5323,-0.1904,-0.6334,QQQ,20.0,0.0528,0.0504,0.0759,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-10,adjusted,100.0
NVDA,momentum_leader,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,momentum_leader,60,1820,1820,68,0,68,True,20,2005-01-03,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Positive 20-day momentum and relative strength without extreme RSI.,0.75,,0.1341,0.1317,0.0968,-0.4838,0.5594,-0.119,-0.5249,SMH,68.0,0.062,0.0597,0.072,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,93.5
VRT,momentum_leader,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,momentum_leader,60,717,689,21,0,21,True,20,2018-07-30,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Positive 20-day momentum and relative strength without extreme RSI.,0.6667,,0.1927,0.1901,0.1554,-0.2917,0.7485,-0.1084,-0.3848,SPY,21.0,0.0293,0.027,0.1631,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,91.3
NET,momentum_leader,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,momentum_leader,60,577,565,21,0,21,True,20,2019-09-13,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Positive 20-day momentum and relative strength without extreme RSI.,0.7143,,0.1423,0.1398,0.1803,-0.5593,0.6626,-0.1555,-0.5748,QQQ,21.0,0.0497,0.0474,0.0924,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,91.1
PWR,pullback_reclaim_5dma,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,pullback_reclaim_5dma,60,51,49,26,0,26,True,20,2005-01-03,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Five-day pullback reclaims the 5-day average.,0.7308,,0.1173,0.1148,0.153,-0.4374,0.4264,-0.1289,-0.4874,SPY,26.0,0.0332,0.0309,0.0839,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,88.2
AVGO,pullback_reclaim_5dma,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,pullback_reclaim_5dma,60,31,31,23,0,23,True,20,2009-08-06,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Five-day pullback reclaims the 5-day average.,0.8261,,0.1577,0.1552,0.1375,-0.2138,0.7192,-0.0707,-0.259,SMH,23.0,0.105,0.1026,0.0526,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,88.2
ANET,rsi_oversold_reclaim_40,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,rsi_oversold_reclaim_40,60,96,96,21,0,21,True,20,2014-06-06,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,RSI recovers through 40 after an oversold reading while price is above MA5.,0.7143,,0.1625,0.1599,0.1479,-0.1393,0.465,-0.1047,-0.2305,SPY,21.0,0.0555,0.0531,0.1068,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,86.8
AVGO,ma50_reclaim_bullish,entry,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,ma50_reclaim_bullish,60,148,148,40,0,40,True,20,2009-08-06,2026-07-13,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price reclaims MA50 while remaining above MA200.,0.8,,0.1233,0.1208,0.1258,-0.1801,0.5003,-0.0872,-0.513,SMH,40.0,0.0997,0.0973,0.0236,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted,86.5
SMR,failed_rebound_risk,risk,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,failed_rebound_risk,5,216,212,78,0,78,True,20,2020-12-09,2026-07-09,Signal on bar t enters at t+1 close and exits horizon trading bars after that entry close; samples are chronological and non-overlapping.,True,Price breaks below MA5 and the prior 10-day close low.,0.3718,0.6282,-0.005,-0.0072,-0.0141,-0.2617,0.4023,-0.0853,-0.2894,SPY,78.0,0.0019,-0.0003,-0.007,,Tiingo daily local CSV cache,America/New_York,2026-07-14T13:09:12.161431+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted,86.2
