ticker,rule,engine,execution_assumption,strategy_contract_version,rule_fingerprint,strategy_fingerprint,cost_assumption_source,vectorbt_total_return_pct,vectorbt_max_drawdown_pct,vectorbt_sharpe,vectorbt_final_value,vectorbt_trade_count,vectorbt_closed_trade_count,vectorbt_open_trade_count,raw_entry_signal_count,shifted_entry_signal_count,executed_entry_count,raw_exit_signal_count,shifted_exit_signal_count,executed_exit_count,data_source,market_timezone,report_generated_at_utc,data_timestamp,price_frequency,price_adjustment_policy,price_basis
AAPL,ma20_reclaim_bullish,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,516.93,-26.52,0.823,61693.24,139.0,139.0,0.0,139,139,139.0,2058,2058,139.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AAPL,ma50_reclaim_bullish,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,590.06,-34.75,0.734,69006.35,132.0,131.0,1.0,132,132,132.0,1831,1831,131.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AAPL,momentum_leader,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,1876.28,-27.74,1.094,197628.01,148.0,147.0,1.0,1749,1748,148.0,2127,2127,147.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AAPL,pullback_reclaim_5dma,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,20.57,-13.87,0.333,12057.48,1.0,1.0,0.0,38,38,1.0,2058,2058,1.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AAPL,relative_strength_rebound,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,17.67,-13.87,0.286,11767.44,2.0,2.0,0.0,10,10,2.0,2058,2058,2.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AAPL,rsi_oversold_reclaim_40,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,8.59,-21.68,0.11,10859.12,30.0,29.0,1.0,236,236,30.0,2871,2871,29.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-13,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AMD,ma20_reclaim_bullish,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,51.5,-76.79,0.239,15149.79,107.0,107.0,0.0,108,107,107.0,2527,2527,107.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-09,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AMD,ma50_reclaim_bullish,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,1794.87,-64.06,0.696,189486.86,94.0,93.0,1.0,94,94,94.0,2549,2549,93.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-09,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AMD,momentum_leader,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,1115.27,-72.9,0.63,121526.85,144.0,144.0,0.0,1590,1589,144.0,2570,2570,144.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-09,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
AMD,pullback_reclaim_5dma,vectorbt,end-of-day signal executed at the next trading bar close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,237.05,-33.18,0.566,33705.02,17.0,17.0,0.0,110,110,17.0,2527,2527,17.0,Tiingo daily local CSV cache,America/New_York,2026-07-14T00:59:15.835158+00:00,2026-07-09,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,adjusted
