ticker,strategy,engine,strategy_contract,strategy_contract_version,rule_fingerprint,strategy_fingerprint,cost_assumption_source,execution_assumption,tested_entry_rule,tested_risk_rule,raw_signal_count,effective_samples,closed_trade_count,sample_count,trade_count,executed_entry_count,open_position_count,lookback_start,lookback_end,forward_horizon,valid,min_sample_required,description,strategy_total_return,strategy_cagr,strategy_sharpe,strategy_max_drawdown,strategy_worst_day,strategy_best_day,buy_hold_return_same_window,alpha_vs_buy_hold,trade_win_rate,avg_trade_return,median_trade_return,worst_trade_return,best_trade_return,latest_entry_signal_active,latest_exit_signal_active,latest_position_active,reason,data_source,market_timezone,report_generated_at_utc,price_frequency,price_adjustment_policy,data_timestamp,price_basis
MSTR,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,1470,146,146,146,146,146,0,2005-01-03,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,74.0466,0.2226,0.746,-0.6233,-0.213,0.2916,15.6946,58.352,0.4863,0.0435,-0.0022,-0.3675,1.1854,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
ASTS,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,430,50,50,50,50,50,0,2019-11-01,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,16.6047,0.538,0.9231,-0.5847,-0.2716,0.6923,5.9171,10.6876,0.52,0.1171,0.0106,-0.2852,3.088,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
SMR,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,276,32,32,32,32,32,0,2020-12-09,2026-07-09,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,2.871,0.2761,0.7024,-0.6727,-0.2753,0.4001,-0.0925,2.9635,0.3125,0.0925,-0.0403,-0.2435,1.2795,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted
HIMS,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,449,43,43,43,43,44,1,2019-09-13,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,4.4136,0.2819,0.7492,-0.6345,-0.2446,0.3102,2.5082,1.9054,0.4419,0.0526,-0.0155,-0.189,0.8429,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
APP,ma50_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma50_reclaim_bullish,close_below_ma50,21,21,21,21,21,21,0,2021-04-15,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA50 while remaining above MA200.,7.4521,0.5054,1.1569,-0.3731,-0.1468,0.4627,5.7922,1.6599,0.381,0.1872,-0.0086,-0.0932,2.7796,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
HOOD,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,424,31,31,31,31,32,1,2021-07-29,2026-07-09,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,3.4782,0.3562,0.9581,-0.5592,-0.1904,0.242,2.3059,1.1723,0.4516,0.0654,-0.0033,-0.2437,1.1469,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted
RBLX,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,391,28,28,28,28,29,1,2021-03-10,2026-07-09,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,0.9548,0.1346,0.5589,-0.4569,-0.1201,0.1426,-0.1881,1.1429,0.4643,0.025,-0.0119,-0.1403,0.3531,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted
COIN,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,26,26,26,26,26,26,0,2021-04-14,2026-07-07,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,0.2894,0.05,0.3155,-0.3824,-0.1078,0.1976,-0.5019,0.7913,0.3462,0.0251,-0.018,-0.1445,0.9958,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-07,adjusted
COIN,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,346,41,41,41,41,41,0,2021-04-14,2026-07-07,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,0.2817,0.0488,0.3366,-0.5865,-0.2108,0.2449,-0.5019,0.7836,0.3171,0.0226,-0.0374,-0.2202,0.7885,False,False,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-07,adjusted
GE,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,1204,114,114,114,114,114,0,2005-01-03,2026-07-13,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,2.861,0.0649,0.4762,-0.4345,-0.0905,0.1165,2.3566,0.5044,0.4123,0.015,-0.0102,-0.1093,0.5247,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-13,adjusted
SMR,ma20_reclaim_bullish,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,ma20_reclaim_bullish,close_below_ma20,29,29,29,29,29,29,0,2020-12-09,2026-07-09,next_close_to_next_close_after_exit_signal,True,20,Price reclaims MA20 in a bullish intermediate trend.,0.3118,0.0501,0.3249,-0.6136,-0.3485,0.2866,-0.0925,0.4043,0.3448,0.0175,-0.0022,-0.2435,0.439,False,True,False,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-09,adjusted
PATH,momentum_leader,vectorbt,v6-rc2-shared-rules-next-close,v6-rc2-shared-rules-next-close,58872b8925760906ed358f88a8ce7ab4a660bd2161a935df41649fec13705436,0bc190976cd62389f1d4cca6ba7c5d2359f01ee617c8bf764860c40cf2a84807,configured_not_observed,Signal on trading bar t; entry/exit can execute only at trading bar t+1 close.,momentum_leader,close_below_ma20_or_rsi_above_82,270,36,36,36,36,37,1,2021-04-21,2026-07-14,next_close_to_next_close_after_exit_signal,True,20,Positive 20-day momentum and relative strength without extreme RSI.,-0.4579,-0.111,-0.2126,-0.548,-0.112,0.2672,-0.827,0.3691,0.3056,-0.011,-0.029,-0.1329,0.4633,True,False,True,,Tiingo daily local CSV cache,America/New_York,2026-07-15T00:56:51.739909+00:00,end_of_day_daily,adjusted_ohlc_when_available_else_unadjusted,2026-07-14,adjusted
